"","Player","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","Prog_Passes","Succ_Dribbles","Att_Dribbles","Fls","Fld","Off","Crs","TklW","OG","PKwon","PKcon","Club"
"3207","Sebastiano Luperto",1084,0,0,0,0,5,2,3,2,623,11,17,17,0.1,0.1,0.5,7,1,427,505,1065,15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3208","Sébastien Corchia",371,0,0,0,0,1,0,1,0,211,7,4,4,0,0,0.1,7,2,116,169,883.2,9,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3209","Sehrou Guirassy",801,4,0,1,1,21,6,3,1,312,2,0,5,3.8,3,0.7,24,1,145,219,750.4,10,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3210","Seko Fofana",1113,3,2,1,2,28,9,0,0,786,11,10,8,4.5,2.9,1.4,39,3,599,666,1165.5,44,18,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3211","Sékou Gassama",36,0,0,0,0,2,0,0,0,12,0,0,0,0.4,0.4,0,1,0,7,9,77.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3212","Sekou Koita",20,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,2,0,7,8,185.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3213","Sekou Mara",214,0,1,0,0,11,2,0,0,72,5,0,2,0.7,0.7,0.4,7,2,22,33,NA,5,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3214","Sékou Sanogo",87,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3215","Selim Amallah",156,0,0,0,0,1,0,0,0,54,5,3,3,0,0,0.1,3,0,27,32,166.4,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3216","Senne Lynen",176,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3217","Sepe Elye Wahi",1168,6,1,0,0,27,15,4,0,329,5,3,5,4.5,4.5,0.4,20,3,133,200,945.1,7,7,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3218","Sepp van den Berg",322,0,0,0,0,3,0,1,0,194,2,8,4,0.5,0.5,0,2,0,127,152,328.9,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3219","Serafim Cojocari",1,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3220","Serdar Aziz",45,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3221","Serdar Dursun",64,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3222","Serge Aurier",530,0,0,0,0,0,0,1,0,354,23,6,8,0,0,0.2,6,0,193,280,475.5,14,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3223","Serge Gnabry",1248,9,6,0,0,57,27,0,0,768,16,7,16,6.8,6.8,3.8,62,12,467,591,1744.7,44,18,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3224","Sergej Milinković-Savić",1321,4,7,0,0,24,7,6,0,1073,29,15,22,1.9,1.9,3.7,41,13,630,842,1164.4,60,16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225","Serges Déblé",16,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3226","Sergi Canós",74,0,0,0,0,1,0,0,0,50,0,0,3,0.1,0.1,0,3,0,22,38,225.9,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3227","Sergi Darder",1233,2,1,0,0,18,4,2,0,779,26,13,8,1.1,1.1,2.6,61,4,462,645,992.5,66,16,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228","Sergi Gómez",895,0,0,0,0,2,0,0,1,559,11,12,8,0.4,0.4,0.1,3,0,390,451,925.1,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3229","Sergi Guardiola",377,0,0,0,0,10,3,0,0,132,11,2,3,1,1,0.1,6,0,45,77,NA,4,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3230","Sergi Moreno",22,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3231","Sergi Roberto",583,2,2,0,0,9,5,2,0,557,10,11,4,0.8,0.8,1.3,14,3,458,500,1099.6,16,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3232","Sergiño Dest",611,0,1,0,0,7,0,1,0,461,14,3,6,0.5,0.5,1,18,2,310,377,984.8,22,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3233","Sergio Akieme",1260,0,0,0,0,16,5,3,0,707,24,9,14,0.9,0.9,0.6,21,2,455,582,1084.7,22,17,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3234","Sergio Asenjo",450,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,1,0,121,181,334.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3235","Sergio Busquets",1348,0,1,0,0,4,1,10,1,1110,33,17,18,0.3,0.3,0.7,40,3,877,993,1587.3,79,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3236","Sergio Camello",934,2,2,0,0,29,9,0,0,280,8,0,4,2.6,2.6,1.4,25,3,148,182,1142.8,7,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3237","Sergio Canales",856,1,0,0,0,7,2,4,1,588,7,2,5,0.6,0.6,2.3,45,2,395,530,818.4,31,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3238","Sergio Escudero",709,0,0,0,0,11,4,2,0,443,22,10,14,0.5,0.5,0.4,17,0,258,356,634.5,14,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3239","Sergio Gómez",389,0,1,0,0,9,2,0,1,395,6,4,8,0.3,0.3,0.7,12,2,302,352,766.4,19,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3240","Sergio Herrera",900,0,0,0,0,0,0,3,0,380,0,1,1,0,0,0,4,0,219,358,604.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3241","Sergio León",625,5,1,1,2,14,11,0,0,164,2,0,4,3.3,1.7,0.6,13,3,58,90,860.3,8,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3242","Sergio Padt",405,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA
"3243","Sergio Peña",324,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3244","Sergio Ramos",1548,0,1,0,0,8,4,5,1,1408,19,22,19,0.5,0.5,0,10,1,1230,1303,1784.6,51,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3245","Sergio Reguilón",22,0,0,0,0,0,0,0,0,21,2,0,1,0,0,0,2,0,13,15,86.7,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3246","Sergio Rochet",180,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,35,50,141.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3247","Serhiy Kryvtsov",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3248","Serhiy Malyi",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3249","Serhiy Sydorchuk",495,0,0,0,0,3,0,3,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,1,5,0,NA,NA,NA
"3250","Serhiy Vakulenko",179,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3251","Serikzhan Muzhikov",36,0,0,0,0,0,0,2,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3252","Shandon Baptiste",431,0,0,0,0,2,1,1,0,231,7,5,4,0.2,0.2,0.7,11,2,154,186,NA,19,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3253","Shane Duffy",6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3254","Shaquell Moore",22,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,14,21,114.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3255","Sheraldo Becker",1051,7,3,0,0,24,13,1,0,347,3,0,4,1.8,1.8,1.5,42,7,155,254,897.7,15,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3256","Shon Weissman",561,1,0,0,0,14,7,0,0,119,1,1,7,1.6,1.6,0.2,4,0,49,64,862.6,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3257","Show",258,0,0,0,0,0,0,4,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3258","Shūichi Gonda",180,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,44,54,171.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3259","Sidi Sané",25,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,7,7,100,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3260","Siebe Van Der Heyden",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3261","Silas Katompa",1043,3,2,1,1,21,7,1,0,347,16,3,7,4,3.2,0.9,35,4,158,214,1037.8,16,25,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3262","Silvan Widmer",1100,1,0,0,0,16,5,0,0,715,21,20,15,2.3,2.2,0.8,22,0,423,591,1060.3,28,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3263","Silvère Ganvoula M'Boussy",153,0,0,0,0,7,3,1,0,69,2,0,0,0.4,0.4,0.4,8,0,28,48,474,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3264","Šime Vrsaljko",170,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3265","Simon Adingra",174,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3266","Simon Kjær",685,0,0,0,0,2,0,2,0,478,5,12,7,0.1,0.1,0.1,6,0,370,426,872.8,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3267","Simon Mignolet",540,0,0,0,0,0,0,2,0,286,0,1,0,0,0,0,0,0,183,256,431.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3268","Simon Sluga",135,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3269","Simon Terodde",1052,3,0,0,1,26,11,3,0,311,10,5,6,3.8,3,1,28,1,128,191,NA,13,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3270","Simon Zoller",978,3,1,0,0,25,8,3,0,297,5,4,7,3.7,3.7,0.9,14,1,129,215,811.9,13,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3271","Simone Bastoni",804,2,2,0,0,17,4,4,0,508,34,7,15,0.7,0.7,1,25,2,248,406,671.5,13,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3272","Simone Inzaghi",NA,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3273","Simone Verdi",451,1,0,0,0,12,3,0,0,249,7,0,4,0.7,0.7,1,20,0,114,186,491.7,17,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3274","Sinaly Diomande",365,0,0,0,0,1,0,0,1,344,11,9,5,0.1,0.1,0,1,0,252,288,429.4,15,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
