"","Player","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","Prog_Passes","Succ_Dribbles","Att_Dribbles","Fls","Fld","Off","Crs","TklW","OG","PKwon","PKcon","Club"
"1","Aaron Cresswell",1240,0,0,0,0,5,1,2,0,950,13,14,13,0.1,0.1,2.5,45,0,680,867,1103.4,56,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aaron Greene",212,1,0,0,0,1,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3","Aaron Hickey",679,0,0,0,0,3,1,4,0,369,20,10,9,0,0,0,7,0,229,287,715.7,14,7,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aarón Martín",1241,3,2,0,1,11,4,1,0,786,30,11,12,1.9,1.1,1.6,42,3,529,700,1125.4,52,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aaron Mooy",333,0,0,0,0,2,0,1,0,292,6,3,6,0.1,0.1,0.2,7,0,204,256,556.2,16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Aaron Ramsdale",1260,0,0,0,0,0,0,0,0,437,1,0,0,0,0,0,1,0,281,408,967,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Aaron Ramsey",844,1,0,0,0,10,4,1,0,600,18,9,12,1.3,1.3,0.3,27,1,414,499,1204.6,26,11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Aaron Wan-Bissaka",5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Abakar Sylla",402,1,0,0,0,1,1,3,0,303,5,4,7,0.1,0.1,0,1,0,230,260,444.1,9,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abbas Huseynov",33,1,0,0,0,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA
"11","Abdallah Sima",555,0,0,0,0,8,2,0,0,166,6,2,1,1,1,0.8,13,3,82,115,946.7,7,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Abdelhamid Sabiri",873,1,1,0,0,24,7,4,0,518,14,5,16,1.1,1.1,2.2,33,1,260,392,856.4,31,11,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Abdelkarim Hassan",270,0,0,0,0,6,0,0,0,193,7,1,3,0.3,0.3,0,4,1,122,161,224.8,8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Abdellah Zoubir",745,1,0,0,0,10,3,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,2,3,4,0,NA,NA,NA
"15","Abderrazak Hamdallah",28,0,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0,0,0,3,4,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Abdessamad Ezzalzouli",338,0,2,0,0,10,3,1,0,190,12,2,8,0.6,0.6,0.8,12,2,82,125,594.6,7,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Abdón Prats",137,0,0,0,0,5,3,0,0,56,1,0,1,0.4,0.4,0.1,0,0,26,34,NA,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Abdou Diallo",904,1,0,0,0,6,1,2,0,757,12,9,6,0.4,0.4,0.3,14,2,566,669,1053.2,45,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Abdou Harroui",291,1,0,0,0,9,3,1,0,166,7,0,3,0.5,0.5,0,4,0,105,133,878,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Abdoul Kader Bamba",NA,0,0,0,0,1,1,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Abdoulaye Bamba",375,0,0,0,0,0,0,2,0,208,12,7,3,0,0,0.3,4,0,134,170,546.3,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Abdoulaye Doucouré",186,0,0,0,0,2,1,0,0,108,6,0,2,0.1,0.1,0,4,0,72,94,454.3,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Abdoulaye Seck",397,2,0,0,0,4,2,2,0,236,7,4,9,0.4,0.4,0,2,0,158,188,495.6,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Abdu Conté",466,1,0,0,0,2,1,0,0,322,12,1,4,0.4,0.4,1.2,12,0,245,291,662,20,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Abdul Fatawu Issahaku",69,0,0,0,0,1,0,0,0,29,3,0,1,0.1,0.1,0,1,0,17,22,77.3,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Abdul Mumin",102,0,0,0,0,0,0,0,0,87,0,1,1,0,0,0,2,0,67,79,169.2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Abdulaziz Hatem",196,0,0,0,0,1,1,0,0,98,1,1,0,0,0,0,2,0,72,91,246.6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Abdulelah Al-Amri",92,0,0,0,0,0,0,1,0,76,0,3,1,0,0,0,0,0,51,63,NA,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Abdulellah Al-Malki",174,0,0,0,0,2,0,2,0,105,3,2,3,0.1,0.1,0,2,1,66,84,156.2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Abdülkadir Ömür",153,0,1,0,0,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,0,0,NA,NA,NA
"31","Abdulrahman Al-Aboud",6,0,0,0,0,1,0,0,0,9,1,0,0,0.1,0.1,0,0,0,2,6,33.3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Abolfazl Jalali",19,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,1,0,19,29,65.5,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Abou Ouattara",278,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"34","Aboubakar Kamara",45,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"35","Achraf Dari",721,1,0,0,0,4,2,1,0,492,11,11,9,0.3,0.3,0,4,1,336,412,807.5,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Achraf Hakimi",1678,3,3,0,0,14,7,3,0,1156,44,12,20,2.6,2.6,2.5,48,5,897,1005,1939,60,13,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Adam Armstrong",869,1,1,0,0,16,7,0,0,314,8,2,13,1,1,0.8,17,1,163,219,1064.5,14,7,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Adam Buksa",63,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,8,16,206.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Adam Forshaw",50,0,0,0,0,0,0,0,0,27,0,0,3,0,0,0.4,2,0,18,22,266.7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Ádám Gyurcsó",170,1,0,0,0,4,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,6,1,0,NA,NA,NA
"41","Adam Hložek",851,1,3,0,0,17,10,1,0,343,8,2,8,1.7,1.7,2.3,36,6,185,241,1486.1,25,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Adam Kronus",3,0,0,0,0,2,0,0,0,6,0,0,0,0.1,0.1,0,1,0,2,4,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Adam Lallana",489,1,1,0,0,6,4,0,0,250,8,2,4,0.9,0.9,0.7,17,1,178,212,915,13,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Adam Marušić",1301,0,1,0,0,6,4,4,0,907,12,13,4,0.1,0.1,0.3,13,1,715,825,1301,32,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Adam Masina",304,1,0,0,0,1,1,0,0,175,4,7,2,0,0,0.1,1,0,112,148,313,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Adam Ounas",678,1,1,0,0,20,7,1,0,441,9,4,8,1.8,1.8,1.9,42,6,239,339,836.1,38,27,62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Adam Smith",1305,0,1,0,0,3,1,4,0,719,29,12,19,0.5,0.5,0.4,12,1,475,600,1155.6,31,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Adam Vlkanova",458,1,1,0,0,10,3,0,0,195,5,2,3,0.4,0.4,0.6,12,1,99,135,438.5,8,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Adam Webster",1170,0,0,0,0,12,1,1,0,995,10,13,16,1.2,1.2,0,10,1,770,894,1095.3,45,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Adama Soumaoro",782,0,0,0,0,2,1,3,1,417,12,8,7,0.3,0.3,0,6,1,315,347,879.7,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Adama Traoré",1128,5,1,0,0,12,6,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Ademola Lookman",858,7,1,2,2,22,8,1,0,362,3,1,8,5.5,3.9,3,43,5,215,280,1127.4,25,14,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Adil Aouchiche",43,0,0,0,0,1,0,0,0,23,0,0,0,0.2,0.2,0,0,0,14,19,225,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Adil Rami",539,0,0,0,0,4,2,1,0,274,9,9,2,0.1,0.1,0,5,0,189,223,578.3,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Adnan Januzaj",99,0,0,0,0,0,0,0,0,56,2,2,0,0,0,0,2,0,30,43,419.1,4,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Adnan Kovačević",336,0,0,0,0,0,0,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"57","Ado Onaiwu",288,0,1,0,0,7,1,0,0,134,5,0,1,0.5,0.5,0.2,9,1,79,104,936.8,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Adri Embarba",458,1,3,0,0,13,4,4,1,248,17,3,8,0.6,0.6,1.7,18,3,108,171,647.4,14,13,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Adrián Chovan",390,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"60","Adrian Cieślewicz",59,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"61","Adriàn Gallego",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"62","Adrian Grbić",25,0,0,0,0,3,0,0,0,10,0,0,3,0.2,0.2,0,0,0,1,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Adrián Guerrero",159,0,1,0,0,1,1,0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,5,2,0,NA,NA,NA
"64","Adrian Rudovic",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"65","Adriel Loua",29,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"66","Adrien Hunou",1088,3,1,0,0,21,9,1,0,465,24,0,15,3,3,1.6,22,3,255,346,1023.6,25,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Adrien Rabiot",1558,6,3,0,0,22,12,1,0,948,44,20,33,2.7,2.7,2,43,5,631,741,1531.6,54,14,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Adrien Tameze",1061,0,0,0,0,6,1,1,0,466,16,10,18,0.6,0.6,0.3,22,1,260,354,1006.5,31,8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Adrien Thomasson",757,0,2,0,0,16,5,2,0,533,17,2,15,1.4,1.4,1.3,28,2,356,433,1077.7,21,8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Adrien Truffert",1115,0,4,0,0,7,2,1,0,905,34,17,22,0.5,0.5,0.5,29,6,603,760,1184,47,8,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Aguibou Camara",45,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"72","Agustín Álvarez Martínez",170,1,1,0,0,11,3,1,0,79,2,2,3,1.3,1.3,0.3,5,2,34,41,NA,3,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Agustín Marchesín",1260,0,0,0,0,0,0,3,0,485,0,0,0,0,0,0,2,0,322,453,1004.9,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Agustín Rogel",675,0,0,0,0,2,0,4,0,380,9,9,8,0.4,0.4,0,2,0,242,312,604.1,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Ahmad Nourollahi",223,0,0,0,0,5,1,0,0,85,4,6,3,0.1,0.1,0,0,0,35,54,194.4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Ahmed Alaaeldin",6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Ahmed Belhadji",105,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"78","Aidomo Emakhu",48,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"79","Aihen Muñoz",666,0,0,0,0,2,1,0,0,431,17,3,12,0,0,0.1,13,1,302,368,695.1,11,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Aimar Oroz",774,2,1,1,1,8,3,3,0,383,9,11,9,2.2,1.4,0.3,30,4,229,291,905.5,19,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Aimen Dahmen",180,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,40,61,129.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Ainsley Maitland-Niles",412,0,0,0,0,0,0,2,0,261,11,3,9,0,0,0.2,9,0,175,207,591.4,15,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Aïssa Laïdouni",671,2,0,0,0,3,2,3,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Aïssa Mandi",261,0,0,0,0,0,0,0,0,197,4,7,3,0,0,0,2,1,158,176,645.3,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Aitor Fernández",360,0,0,0,0,0,0,1,0,143,0,0,0,0,0,0,2,0,93,136,272.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Aitor Paredes",23,0,0,0,0,0,0,0,0,19,2,2,0,0,0,0,1,0,14,15,285.7,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Aitor Ruibal",563,0,0,0,0,7,1,1,0,374,17,13,4,0.5,0.5,1,17,1,223,288,1014.1,14,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Ajdin Hrustic",248,0,0,0,0,3,0,0,0,131,2,1,1,0.3,0.3,0.7,7,1,81,102,431.3,7,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Akim Zedadka",354,1,0,0,0,3,1,1,0,249,1,2,3,0.3,0.3,0.5,7,0,185,222,697.6,11,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Akram Afif",270,0,0,0,0,2,0,1,0,181,0,0,0,0,0,0.3,7,0,139,165,254.2,7,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Alan Aussi",12,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"92","Alan Czerwiński",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"93","Alan Franco",46,0,0,0,0,0,0,0,0,16,1,2,0,0,0,0,0,0,10,11,180,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Alan Mannus",360,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"95","Alan Virginius",66,0,0,0,0,2,1,0,0,35,1,1,0,0.2,0.2,0,2,0,18,24,360.7,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Alassane Pléa",825,2,7,1,1,14,6,2,0,461,6,9,10,2.3,1.5,2.2,36,9,248,365,741.4,44,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Alban Lafont",1259,0,0,0,0,0,0,2,1,511,0,0,0,0,0,0.1,3,0,318,461,964.6,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Albano Aleksi",180,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"99","Albert Gronbaek Erlykke",68,1,0,0,0,2,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,4,1,0,NA,NA,NA
"100","Albert Sambi Lokonga",198,0,0,0,0,0,0,0,0,154,1,5,1,0,0,0,4,0,132,140,583.1,9,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Alberto Del Moral",5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Alberto Grassi",324,0,0,0,0,4,1,1,0,219,12,11,6,0.1,0.1,0.1,5,1,129,161,594.5,11,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Alberto Moreno",368,0,0,0,0,3,1,3,0,245,7,7,5,0.2,0.2,0.2,5,0,168,203,485.6,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Alberto Perea",45,0,0,0,0,0,0,0,0,21,2,0,2,0,0,0,1,0,10,12,83.3,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Albin Berisha",126,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"106","Albin Ekdal",495,0,1,0,0,6,1,3,1,259,10,5,5,0.6,0.6,0.5,17,0,140,199,747.3,19,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Albion Rrahmani",46,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"108","Aldin Skenderovic",332,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"109","Aleix García",1245,0,3,0,0,20,9,1,0,998,19,17,13,0.8,0.8,3.3,70,8,764,902,1170.4,47,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Aleix Vidal",446,0,0,0,0,2,1,3,0,183,4,4,11,0,0,0.7,8,1,101,140,625.9,8,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Alejandro Alfaro",15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Alejandro Balde",1175,0,3,0,0,7,2,2,0,990,19,6,14,0.3,0.3,1.7,26,5,791,873,1614.5,20,16,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Alejandro Garnacho",84,1,0,0,0,2,2,1,0,46,2,0,0,0.4,0.4,0,3,1,25,31,NA,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Alejandro Pozo Pozo",580,0,1,0,0,3,1,0,0,407,9,11,9,0.1,0.1,1.1,13,2,252,350,672.1,21,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Alejandro Revuelta Montero",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Aleks Pihler",71,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"117","Aleks Zlatkov",60,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"118","Aleksa Amanović",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"119","Aleksa Terzić",262,0,0,0,0,2,1,0,0,268,7,3,6,0,0,0.3,10,1,199,241,598.5,13,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Aleksandar Čavrić",101,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"121","Aleksandar Dragović",360,0,0,0,0,0,0,3,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,1,0,NA,NA,NA
"122","Aleksandar Jovanović",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"123","Aleksandar Katai",274,0,1,0,1,4,2,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,NA,NA,NA
"124","Aleksandar Mitrović",1189,10,0,3,4,59,19,4,0,461,10,1,9,9.2,6.2,1.4,40,7,172,284,835.1,19,14,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Aleksandar Pešić",216,2,2,0,0,6,4,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,0,0,NA,NA,NA
"126","Aleksandr Golovin",1089,3,3,0,0,28,13,2,0,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Aleksandr Mokin",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"128","Aleksei Miranchuk",676,2,1,0,0,12,4,0,0,290,4,1,2,1.2,1.2,1.2,28,3,190,228,740.3,20,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Alen Mustafić",7,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"130","Aleš Čermák",32,0,0,0,0,1,0,0,0,36,2,2,1,0,0,0,1,0,24,30,240.3,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Alessandro Bastoni",1124,0,3,0,0,4,2,4,0,912,17,14,15,0.4,0.4,2,31,6,718,831,1346.2,46,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Alessandro Buongiorno",906,0,0,0,0,6,0,5,0,574,9,23,13,0.5,0.5,0.3,8,1,361,450,939.2,21,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Alessandro Cortinovis",6,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,5,6,83.3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Alessandro Florenzi",97,0,0,0,0,0,0,0,0,85,3,1,0,0,0,0,2,0,62,79,146.7,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Alessandro Tuia",180,0,0,0,0,2,1,0,0,87,2,4,1,0.1,0.1,0,4,0,53,72,145.2,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Alessandro Zanoli",24,0,0,0,0,1,1,0,0,24,3,1,0,0.1,0.1,0.1,2,0,15,19,248.5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Alessio Romagnoli",1194,1,0,0,0,7,2,0,0,803,19,18,14,0.6,0.6,0.1,5,2,615,687,1220.3,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Alessio Zerbin",111,0,0,0,0,3,3,1,0,78,5,0,4,0.2,0.2,0.2,1,0,35,51,NA,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Alex Baena",630,4,0,0,0,18,9,6,1,284,11,2,5,1.1,1.1,1.5,20,3,156,207,954.1,22,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Álex Berenguer",1026,3,1,0,0,26,10,0,0,560,25,2,13,2.5,2.5,2.5,35,1,283,417,886.2,23,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Álex Centelles",NA,0,0,0,0,0,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Álex Collado",514,1,1,0,0,11,5,0,0,282,21,1,9,0.4,0.4,0.7,17,2,167,206,630.8,8,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Álex Fernández",699,2,0,0,0,9,6,0,0,352,5,4,7,1.4,1.4,0.6,17,1,253,299,1012.2,11,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Alex Ferrari",868,0,0,0,0,5,0,3,0,559,9,19,21,0.2,0.2,0.3,5,0,384,456,991.5,16,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Álex Grimaldo",900,2,2,0,0,9,5,0,0,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
