"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"720","Edouard Mendy",1125,1,0,0,0,2,0,0,0,0,0,0,0,19,5,1,NA
"721","Edson Álvarez",706,3,0,0,16,5,1,0,15,10,0,1,0,47,28,24,409.6
"722","Edu Expósito",772,0,0,0,11,15,0,22,9,15,0,0,0,47,8,9,NA
"723","Eduard Sobol",109,1,0,0,1,0,1,7,2,1,0,0,0,6,8,1,NA
"724","Eduardo Camavinga",813,1,0,0,13,30,1,3,6,23,0,0,0,51,8,5,NA
"725","Eduardo Simões",88,0,0,0,1,1,0,0,0,3,0,0,0,10,1,1,NA
"726","Ehsan Hajsafi",237,0,0,0,1,3,0,11,2,3,0,0,0,10,2,0,NA
"727","El Bilal Touré",659,0,0,0,13,2,4,1,0,1,0,0,0,22,23,20,NA
"728","El Chadaille Bitshiabu",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"729","Elba Rashani",766,1,0,0,13,10,1,30,10,6,1,0,0,45,9,13,NA
"730","Eldor Shomurodov",119,0,0,0,1,2,2,0,1,0,0,0,0,2,2,2,NA
"731","Elias Jelert",192,0,0,0,2,0,0,4,1,2,0,0,0,8,1,2,NA
"732","Elif Elmas",675,1,0,0,7,7,1,7,6,4,0,0,0,36,1,7,NA
"733","Eliot Matazo",355,2,0,0,4,1,0,0,2,0,0,0,0,21,2,4,NA
"734","Elliot Anderson",103,0,0,0,2,7,0,3,2,3,0,0,0,10,3,2,NA
"735","Ellyes Skhiri",1530,2,0,0,22,8,3,11,28,25,0,0,0,115,19,7,NA
"736","Elseid Hysaj",385,1,0,0,4,2,0,2,4,4,0,0,0,26,5,5,NA
"737","Elvis Rexhbeçaj",1219,5,0,0,18,34,0,11,7,17,0,0,0,71,20,17,NA
"738","Emanuel Aiwum",967,2,0,0,12,7,0,4,19,26,0,0,0,71,16,7,NA
"739","Emanuel Vignato",242,1,0,0,3,1,0,2,3,4,0,0,0,10,2,2,NA
"740","Emanuele Valeri",1003,1,0,0,12,11,1,54,11,10,0,0,0,78,7,11,NA
"741","Emerson",1283,2,1,0,17,24,1,44,11,19,0,0,0,73,19,18,NA
"742","Emerson Palmieri",224,1,0,0,3,1,0,5,2,1,0,0,0,14,6,2,NA
"743","Emi Buendía",726,0,0,0,12,15,1,11,5,9,0,0,0,49,9,15,NA
"744","Emil Audero",1350,0,0,0,0,1,0,0,0,0,0,0,1,20,3,0,NA
"745","Emil Bohinen",145,0,0,0,3,3,0,1,1,3,0,0,0,15,0,2,NA
"746","Emil Ceide",263,0,0,0,3,5,0,3,1,1,1,0,0,8,1,2,NA
"747","Emil Forsberg",860,2,0,0,14,13,3,8,1,9,0,0,0,31,4,8,NA
"748","Emil Holm",1032,4,0,0,19,11,2,41,6,13,0,0,0,56,47,48,NA
"749","Emil Krafth",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"750","Emile Smith Rowe",51,0,0,0,1,0,0,2,0,1,0,0,0,3,0,1,NA
"751","Emiliano Marcondes",9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA
"752","Emiliano Martínez",1564,2,0,0,0,3,0,0,1,0,0,0,0,11,6,0,NA
"753","Emirhan İlkhan",87,1,0,0,5,0,0,0,2,1,0,0,0,7,1,2,NA
"754","Emmanuel Agbadou",969,2,2,0,15,3,0,0,13,18,0,0,0,87,23,15,797.1
"755","Emmanuel Dennis",345,2,0,0,6,15,4,4,0,2,0,0,0,13,5,8,NA
"756","Emmanuel Ekong",20,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,NA
"757","Emmanuel Gyasi",1034,4,0,0,15,10,13,8,3,4,0,0,0,38,6,25,NA
"758","Emre Can",784,5,0,0,16,3,0,1,13,18,0,1,0,61,5,7,NA
"759","Enes Ünal",1212,3,0,0,21,39,10,9,0,6,0,0,0,38,62,64,653.7
"760","Enner Valencia",255,0,0,0,3,7,2,3,1,0,1,0,0,8,2,8,53.3
"761","Enock Mwepu",213,0,0,0,2,1,2,3,1,5,0,0,0,9,0,7,NA
"762","Enrique Valiente",458,2,1,0,6,2,0,1,2,3,0,1,0,15,11,7,475
"763","Enzo Barrenechea",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"764","Enzo Ebosse",767,3,0,0,7,2,1,13,8,4,0,0,0,38,13,13,NA
"765","Enzo Fernández",571,3,0,0,16,6,0,11,11,9,0,0,0,45,9,3,NA
"766","Enzo Le Fée",1331,1,0,0,18,28,2,64,14,28,0,0,0,113,5,11,NA
"767","Enzo Millot",354,2,0,0,5,5,0,9,9,7,0,0,0,20,2,9,NA
"768","Enzo Roco",795,2,0,0,17,7,0,0,6,6,0,1,0,40,14,5,NA
"769","Enzo Tchato",692,0,0,0,5,6,2,29,4,9,0,0,0,36,11,10,NA
"770","Eray Cömert",872,3,1,0,16,9,0,1,12,7,0,0,0,66,29,19,NA
"771","Eren Dinkçi",52,0,0,0,1,1,0,2,0,2,0,0,0,2,2,2,NA
"772","Erhan Mašović",724,0,0,0,6,2,0,1,5,12,0,1,1,52,14,13,NA
"773","Eric Bailly",513,3,0,0,9,6,0,0,20,10,0,0,0,39,13,9,NA
"774","Eric Dier",1833,3,0,0,16,4,1,13,27,12,0,0,0,93,41,24,NA
"775","Eric García",833,2,0,0,13,1,1,2,13,9,0,1,0,53,9,6,NA
"776","Eric Martel",767,1,0,0,9,9,0,8,12,10,0,0,0,56,27,20,NA
"777","Eric Maxim Choupo-Moting",908,0,0,0,4,6,4,1,1,7,0,0,0,27,20,19,NA
"778","Erick Gutiérrez",49,1,0,0,2,3,0,0,2,1,0,0,0,3,1,0,100
"779","Erik Botheim",334,1,0,0,7,6,0,3,0,3,0,0,0,11,11,11,NA
"780","Erik Jirka",266,0,0,0,2,5,0,4,7,0,0,0,0,16,1,5,NA
"781","Érik Lamela",1234,7,1,1,42,10,5,17,4,13,0,0,0,55,7,18,NA
"782","Erik Palmer-Brown",1247,2,0,0,8,7,0,2,12,13,0,1,1,79,22,10,NA
"783","Erling Haaland",1285,2,0,0,9,11,4,3,2,1,1,0,0,13,13,16,NA
"784","Ermedin Demirović",1142,4,0,0,28,16,5,13,10,5,0,0,0,30,33,60,559.3
"785","Esteban Saveljich",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"786","Ethan Ampadu",1088,3,0,0,20,11,1,8,12,18,0,1,0,70,27,21,629
"787","Ethan Nwaneri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"788","Ethan Pinnock",630,0,0,0,2,3,0,1,7,3,0,0,1,27,27,12,486.7
"789","Étienne Capoue",836,1,0,0,7,10,0,4,10,8,0,0,0,44,15,9,NA
"790","Evanilson",403,0,0,0,4,10,6,1,1,1,0,0,0,17,8,13,208.3
"791","Evann Guessand",636,1,0,0,16,9,2,15,0,9,0,0,0,26,11,17,NA
"792","Exequiel Palacios",675,3,0,0,13,15,1,8,14,12,0,0,0,73,8,5,NA
"793","Ezequiel Ávila",838,3,1,0,8,23,9,43,4,3,0,0,0,30,19,20,NA
"794","Ezequiel Ponce",512,2,0,0,18,3,4,1,0,4,0,0,0,13,16,19,NA
"795","Ezri Konsa",1261,2,0,0,5,23,0,3,12,6,0,0,0,62,27,17,NA
"796","Fabian Frei",25,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,NA
"797","Fabian Rieder",68,1,0,0,4,2,0,1,0,2,0,0,0,4,0,1,NA
"798","Fabián Ruiz Peña",579,1,0,0,10,8,1,0,4,6,0,0,0,50,2,4,NA
"799","Fabian Schär",1243,4,0,0,8,10,2,7,20,6,0,0,0,91,34,19,NA
"800","Fabiano Parisi",1220,3,0,0,9,29,0,28,19,17,0,0,0,98,11,6,NA
"801","Fabien Centonze",173,0,0,0,1,3,0,7,7,3,0,0,0,13,3,2,200
"802","Fabinho",1449,2,0,0,25,14,0,3,22,15,0,0,0,106,20,16,NA
"803","Fábio",224,1,1,0,3,1,0,6,3,2,0,0,0,12,4,3,NA
"804","Fábio Cardoso",270,1,0,0,1,1,0,0,3,1,0,0,0,7,7,7,147.1
"805","Fabio Carvalho",451,0,0,0,5,7,0,3,5,9,0,0,0,27,4,10,NA
"806","Fabio Chiarodia",3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100
"807","Fabio Depaoli",804,3,0,0,10,19,0,26,6,9,0,0,0,47,5,18,NA
"808","Fabio Miretti",837,3,0,0,16,14,0,15,2,7,0,1,0,59,4,13,NA
"809","Fabio Quagliarella",328,2,0,0,3,8,4,7,0,1,0,0,0,8,5,16,NA
"810","Fabio Vieira",246,0,0,0,3,1,0,8,3,2,0,0,0,18,1,1,NA
"811","Fabrizio Angileri",510,2,1,0,6,1,0,9,6,5,0,1,0,16,14,7,NA
"812","Facundo Medina",1225,3,0,0,17,6,0,10,14,5,0,0,0,86,15,18,NA
"813","Facundo Pellistri",116,0,0,0,2,1,0,3,0,1,0,0,0,6,0,5,NA
"814","Faitout Maouassa",655,0,0,0,10,11,0,31,11,13,0,0,0,28,3,5,NA
"815","Falaye Sacko",881,1,0,0,8,8,3,14,14,7,0,2,1,55,2,6,NA
"816","Fali",556,2,0,0,3,6,0,0,3,6,0,0,0,33,8,8,NA
"817","Famara Diedhiou",73,0,0,0,2,1,1,0,0,0,0,0,0,2,4,2,66.7
"818","Fares Chaïbi",832,1,0,0,15,12,3,16,9,5,0,0,0,34,14,23,NA
"819","Farid El Melali",190,0,0,0,4,9,1,3,3,4,0,0,0,13,0,2,NA
"820","Faride Alidou",156,0,0,0,8,1,2,3,2,6,0,0,0,13,1,7,NA
"821","Fashion Sakala",235,0,0,0,2,6,2,8,2,3,0,0,0,4,4,5,NA
"822","Fede San Emeterio",789,4,0,0,24,13,0,0,3,4,0,0,0,26,9,8,NA
"823","Federico Baschirotto",1260,2,0,0,6,4,0,6,18,12,0,0,0,69,31,24,812.6
"824","Federico Bonazzoli",732,1,0,0,9,14,6,2,3,1,0,0,0,21,2,9,NA
"825","Federico Ceccherini",634,5,1,0,20,7,0,3,9,9,0,0,0,42,14,8,NA
"826","Federico Chiesa",62,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,NA
"827","Federico Di Francesco",577,3,0,0,14,10,4,9,2,5,1,0,0,30,3,6,NA
"828","Federico Dimarco",1280,1,0,0,11,15,1,124,15,11,0,1,0,85,2,8,NA
"829","Federico Fazio",809,2,1,0,7,3,0,3,20,8,0,1,0,58,31,9,724.7
"830","Federico Fernández",90,0,0,0,0,0,0,0,2,1,0,0,0,3,1,2,33.3
"831","Federico Gatti",540,3,0,0,7,8,0,2,8,4,0,0,0,28,16,10,NA
"832","Federico Valverde",1715,1,0,0,10,12,2,30,14,13,0,0,0,90,13,8,NA
"833","Felipe",270,0,0,0,4,3,0,0,1,6,0,0,0,21,10,5,155
"834","Felipe Anderson",1217,1,0,0,17,14,3,14,9,17,0,0,0,54,5,11,NA
"835","Felix Afena-Gyan",220,1,0,0,7,2,4,1,0,2,0,0,0,12,4,13,158.3
"836","Felix Agu",49,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,NA
"837","Felix Kalu Nmecha",665,2,0,0,12,18,1,2,8,7,1,0,0,31,15,13,NA
"838","Felix Passlack",139,0,0,0,0,4,0,4,0,1,0,0,0,11,2,2,150
"839","Félix Torres Caicedo",270,0,0,0,1,0,0,0,4,2,0,0,0,17,9,4,191.7
"840","Ferjani Sassi",48,1,0,0,1,1,0,0,1,0,0,0,0,5,2,0,NA
"841","Ferland Mendy",1231,3,0,0,7,18,0,8,13,8,0,1,0,69,7,4,NA
"842","Fernand Mayembo",284,1,0,0,3,2,0,0,3,1,1,0,0,16,7,2,NA
"843","Fernando",1819,3,0,0,7,14,0,2,11,9,0,0,0,63,6,7,NA
"844","Fernando Calero",873,1,0,0,8,5,1,4,8,15,0,0,0,46,14,12,NA
"845","Fernando Pacheco",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"846","Ferrán Torres",866,4,0,0,10,19,4,15,1,4,0,0,0,32,1,5,NA
"847","Festy Ebosele",10,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,NA
"848","Fidel",165,2,0,0,0,3,1,12,1,1,0,0,0,7,1,0,NA
"849","Fikayo Tomori",1661,3,1,0,19,15,0,3,16,26,0,1,0,115,35,19,NA
"850","Filip Đuričić",1011,5,0,0,18,29,0,20,5,10,0,0,0,53,7,11,NA
"851","Filip Kostić",1656,2,0,0,22,8,2,160,7,17,0,0,0,89,3,6,NA
"852","Filip Mladenović",65,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,100
"853","Filip Uremović",555,4,1,1,9,4,0,0,15,4,0,1,0,33,19,15,NA
"854","Filippo Bandinelli",1050,3,0,0,24,28,0,46,8,14,0,0,0,59,4,7,NA
"855","Filippo Ranocchia",332,1,0,0,4,7,0,7,3,5,0,0,0,14,0,4,NA
"856","Filippo Terracciano",461,0,0,0,4,10,0,13,3,6,0,0,0,25,10,11,NA
"857","Finn Ole Becker",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"858","Firas Al-Buraikan",268,0,0,0,2,3,1,2,2,3,0,0,0,7,5,7,183.3
"859","Fisnik Asllani",42,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,NA
"860","Flavien Tait",1044,2,0,0,16,13,0,5,7,13,0,0,0,82,4,6,NA
"861","Flávio Nazinho",120,0,0,0,0,1,0,1,1,2,0,0,0,3,1,3,NA
"862","Flavius Daniliuc",936,3,0,0,13,1,0,2,10,11,0,0,0,57,21,11,NA
"863","Florent Mollet",410,1,0,0,4,7,2,9,1,1,0,0,0,25,1,11,NA
"864","Florent Ogier",672,2,0,0,5,2,0,2,5,6,0,1,0,41,14,10,NA
"865","Florentino Luís",526,2,0,0,8,0,0,0,19,12,0,0,0,38,7,3,NA
"866","Florian Dietz",395,1,0,0,11,1,1,4,0,1,0,0,0,8,24,12,NA
"867","Florian Flick",512,1,0,0,6,4,0,1,4,3,0,0,0,32,14,7,NA
"868","Florian Grillitsch",59,0,0,0,0,1,0,3,0,1,0,0,0,4,0,1,NA
"869","Florian Kainz",1031,3,1,1,12,19,1,121,11,4,1,1,0,58,6,13,NA
"870","Florian Lejeune",948,4,1,1,9,3,2,1,6,5,0,0,0,41,20,8,NA
"871","Florian Müller",1350,0,0,0,0,2,0,0,0,0,0,0,0,32,3,0,NA
"872","Florian Neuhaus",468,0,0,0,4,6,0,4,5,0,0,0,0,21,0,4,NA
"873","Florian Niederlechner",910,1,0,0,13,12,8,4,1,5,0,0,0,28,29,39,511.3
"874","Florian Sotoca",1234,3,0,0,18,17,1,33,18,6,1,0,0,44,20,18,NA
"875","Florian Tardieu",877,2,0,0,11,18,0,41,23,18,0,0,0,77,7,5,NA
"876","Flynn Downes",265,0,0,0,2,4,0,2,1,2,0,0,0,13,3,3,NA
"877","Fodé Ballo-Touré",331,2,0,0,5,5,0,11,6,3,0,0,0,25,3,3,NA
"878","Folarin Balogun",1076,1,0,0,13,26,11,9,1,2,2,0,0,41,7,23,NA
"879","Fortune Bassey",134,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,NA
"880","Fran Beltrán",1123,1,0,0,10,3,2,7,14,6,0,0,0,75,7,20,NA
"881","Fran Delgado",12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
"882","Fran Karačić",74,0,0,0,2,0,0,4,2,1,0,0,0,8,3,3,50
"883","Francesco Acerbi",951,1,0,0,8,8,1,2,9,5,0,0,0,52,22,13,NA
"884","Francesco Caputo",1094,0,0,0,5,24,11,3,1,1,0,0,0,18,6,21,NA
"885","Francis Coquelin",523,2,0,0,6,5,0,4,6,9,0,0,0,27,6,3,NA
"886","Francisco Calvo",180,2,0,0,6,0,1,0,2,4,0,0,0,12,2,1,150
"887","Francisco Conceição",17,1,0,0,1,3,0,0,0,0,0,0,0,3,0,1,NA
"888","Francisco Garcia",1259,0,0,0,11,9,2,72,16,14,0,1,0,76,2,11,NA
"889","Francisco Perez",21,1,0,0,2,1,1,1,0,0,0,0,0,2,0,0,NA
"890","Francisco Portillo",201,0,0,0,0,1,1,4,2,2,0,0,0,14,1,1,NA
"891","Francisco Trincão",386,0,0,0,2,3,1,5,2,4,0,0,0,16,1,9,NA
"892","Franck Honorat",1162,1,0,0,12,8,5,92,10,15,0,1,0,70,8,13,NA
"893","Franck Kessié",490,3,0,0,13,11,1,6,3,4,0,0,0,29,2,4,NA
"894","Franck Ribéry",37,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,NA
"895","Franco Cervi",1017,0,1,0,13,18,1,44,20,19,0,0,0,71,3,14,NA
"896","Franco Israel",155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"897","Franco Russo",77,0,0,0,0,2,0,0,2,1,0,0,0,11,1,2,NA
"898","François-Joseph Sollacaro",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"899","Frank Onyeka",442,0,0,0,9,11,1,1,5,9,0,0,0,31,5,10,NA
"900","Frank Tsadjout",103,1,0,0,4,3,0,0,1,1,0,0,0,5,2,6,NA
"901","Frantzdy Pierrot",481,1,0,0,7,6,10,2,1,1,0,0,0,11,16,12,312.5
"902","Fred",471,3,0,0,11,4,0,3,8,8,0,0,0,42,1,6,NA
"903","Frederik Rønnow",990,1,0,0,0,2,0,0,0,0,0,0,0,19,3,0,NA
"904","Frederik Winther",90,0,0,0,0,0,0,0,0,2,0,0,0,2,6,3,66.7
"905","Fredrik Aursnes",260,0,0,0,1,1,0,2,1,6,0,0,0,13,3,3,NA
"906","Fredrik Jensen",617,0,0,0,13,5,0,22,3,7,0,0,0,19,16,18,NA
"907","Frenkie de Jong",1402,0,0,0,15,21,1,13,22,17,0,0,0,103,15,7,NA
"908","Gabriel Dos Santos",1260,2,0,0,5,14,0,2,12,13,0,1,0,66,30,23,800.4
"909","Gabriel Gudmundsson",109,0,0,0,2,4,1,6,2,3,0,0,0,3,1,0,NA
"910","Gabriel Jesus",1249,4,0,0,25,40,8,8,9,16,1,0,0,43,25,46,NA
"911","Gabriel Paulista",579,1,0,0,4,6,0,0,8,5,0,0,0,32,20,10,NA
"912","Gabriel Strefezza",889,2,0,0,18,29,0,38,7,6,0,0,0,44,6,12,NA
"913","Gabriel Veiga",577,3,1,0,12,5,0,8,5,7,0,0,0,27,8,4,NA
"914","Gabriel Veron",47,0,0,0,1,0,0,2,0,0,0,0,0,3,0,2,NA
"915","Gabriel Vidovic",19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
"916","Gaël Kakuta",22,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,NA
"917","Gaël Ondoua",47,0,0,0,2,1,0,0,2,1,0,0,0,2,1,2,100
"918","Gaëtan Charbonnier",254,1,0,0,3,1,3,1,0,1,0,0,0,6,3,7,NA
"919","Gaëtan Laborde",983,0,0,0,5,10,4,15,3,7,0,0,0,33,23,27,661.2
"920","Gaëtan Perrin",440,1,0,0,5,5,2,3,3,1,0,0,0,23,7,7,NA
"921","Galeno",423,0,0,0,3,13,1,9,9,1,2,0,0,24,8,7,NA
"922","Garang Kuol",18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"923","Gareth Bale",225,1,0,0,2,5,2,2,1,1,1,0,0,9,4,7,NA
"924","Gary Medel",1135,4,0,0,12,16,0,4,22,11,0,0,0,101,12,11,NA
"925","Gastón Álvarez",429,0,1,0,5,6,0,3,9,8,0,0,0,19,8,10,NA
"926","Gauthier Gallon",1080,3,0,0,1,1,0,0,2,1,0,1,0,15,2,0,NA
"927","Gauthier Hein",669,0,0,0,7,5,0,26,4,9,0,0,0,40,1,9,NA
"928","Gavi",1287,4,0,0,43,32,5,26,14,19,0,0,0,68,19,14,NA
"929","Gavin Bazunu",1350,0,0,0,0,0,0,0,1,0,0,0,0,19,7,0,NA
"930","Gedeon Kalulu",1080,2,0,0,12,9,0,13,15,12,0,0,0,59,8,9,NA
"931","Gelson Martins",111,0,0,0,2,3,2,1,0,2,0,0,0,11,0,3,NA
"932","Genki Haraguchi",362,0,0,0,2,7,0,2,3,5,0,0,0,14,7,3,NA
"933","Geoffrey Kondogbia",944,5,0,0,14,10,1,2,25,16,0,0,0,102,13,11,NA
"934","Georges-Kévin N'Koudou",27,0,0,0,1,1,0,2,0,0,0,0,0,3,0,1,NA
"935","Georginio Rutter",1009,2,0,0,17,19,17,11,5,4,1,0,0,25,9,22,NA
"936","Georginio Wijnaldum",13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA
"937","Gerard Deulofeu",1198,1,0,0,8,11,8,57,2,5,0,0,0,42,1,4,NA
"938","Gerard Gumbau",831,5,0,0,19,6,0,41,6,7,0,0,0,45,5,9,NA
"939","Gerard Moreno",382,1,0,0,4,2,4,3,1,3,0,0,0,11,9,6,423.4
"940","Gerard Piqué",642,3,0,0,8,3,0,0,5,6,0,0,0,35,28,10,586
"941","Gerard Yepes",198,2,0,0,7,4,0,0,4,3,0,0,0,13,5,2,NA
"942","Germán Pezzella",923,2,2,0,7,7,0,2,22,11,0,0,0,40,16,8,NA
"943","Gerónimo Rulli",1260,1,0,0,0,1,0,0,1,0,0,0,0,20,3,0,NA
"944","Gerrit Holtmann",736,0,0,0,6,5,3,47,2,6,0,0,0,47,12,15,NA
"945","Gerson",538,1,0,0,18,22,1,5,2,5,0,0,0,24,10,9,NA
"946","Gerson Torres",64,0,0,0,1,8,0,0,0,0,0,0,0,4,0,0,NA
"947","Gerzino Nyamsi",657,2,1,0,12,3,0,1,6,5,0,1,0,47,12,8,NA
"948","Ghaylène Chaalali",17,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,100
"949","Ghjuvanni Quilichini",82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"950","Giacomo Bonaventura",930,3,0,0,10,20,2,15,11,13,1,0,0,70,8,9,NA
"951","Giacomo Quagliata",412,0,0,0,8,8,0,34,5,7,0,0,0,37,0,7,NA
"952","Giacomo Raspadori",770,2,0,0,5,8,2,15,3,8,0,0,0,31,2,3,NA
"953","Gian Marco Ferrari",1258,5,0,0,12,20,0,0,13,8,0,2,0,52,18,8,NA
"954","Giangiacomo Magnani",142,1,1,0,4,1,0,0,4,0,0,0,0,10,7,4,NA
"955","Gianluca Caprari",900,1,0,0,17,22,3,19,1,4,0,0,0,41,3,7,NA
"956","Gianluca Gaetano",64,0,0,0,3,0,0,0,0,1,0,0,0,4,1,0,NA
"957","Gianluca Mancini",1193,4,0,0,20,10,1,9,19,11,0,0,0,45,25,11,NA
"958","Gianluca Scamacca",755,3,0,0,14,8,5,1,2,3,0,0,0,20,12,17,NA
"959","Gianluigi Donnarumma",1890,1,0,0,0,2,0,0,0,0,0,0,0,28,2,0,NA
"960","Gideon Mensah",717,1,0,0,14,4,1,19,16,9,0,0,0,56,13,10,566.8
"961","Gilberto",38,1,0,0,1,0,0,0,2,3,0,0,0,2,1,0,NA
"962","Gio Reyna",672,1,0,0,4,16,4,21,4,5,0,0,0,24,7,14,NA
"963","Giorgi Mamardashvili",1260,1,0,0,1,2,0,0,0,0,0,1,0,26,3,1,NA
"964","Giorgian De Arrascaeta",29,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0
"965","Giorgio Scalvini",647,3,0,0,15,0,2,5,12,9,0,0,0,53,4,3,NA
"966","Giorgos Giakoumakis",246,0,0,0,8,4,0,0,4,3,0,0,0,13,6,3,400
"967","Giorgos Kyriakopoulos",721,2,0,0,9,11,0,38,11,8,1,0,0,35,6,12,NA
"968","Giovani Lo Celso",521,1,0,0,7,14,3,5,5,17,0,0,0,26,1,2,NA
"969","Giovanni Di Lorenzo",1866,1,0,0,18,18,2,54,21,20,0,0,0,100,18,23,NA
"970","Giovanni González",344,2,0,0,6,9,0,7,3,3,0,0,0,20,7,3,400
"971","Giovanni Simeone",394,1,0,0,6,6,5,6,1,4,1,0,0,8,4,10,NA
"972","Giulian Biancone",17,0,0,0,0,0,0,1,1,1,0,0,0,5,2,0,200
"973","Giulio Donati",212,1,0,0,2,2,0,5,4,1,0,0,0,13,2,1,NA
"974","Giulio Maggiore",653,1,0,0,11,9,0,2,8,6,0,1,0,59,6,9,NA
"975","Giuseppe Pezzella",373,1,0,0,5,4,0,7,4,5,0,0,0,17,4,2,NA
"976","Gleison Bremer",1394,4,0,0,18,9,0,0,29,8,0,1,0,90,32,26,NA
"977","Glen Kamara",127,0,0,0,2,1,0,0,4,0,0,0,0,10,0,1,NA
"978","Gonçalo Borges",38,1,0,0,2,1,0,1,0,0,0,0,0,2,1,0,NA
"979","Gonçalo Guedes",689,1,0,0,10,23,5,27,1,5,0,0,0,34,7,11,NA
"980","Gonçalo Inácio",540,1,0,0,3,2,0,0,5,1,0,0,0,23,5,6,300
"981","Gonçalo Paciência",331,1,1,0,10,9,0,2,0,3,0,0,0,11,14,12,NA
"982","Gonçalo Ramos",407,2,0,0,11,7,0,3,0,4,1,0,0,5,18,33,225.5
"983","Gonzalo Escalante",555,0,1,0,6,5,0,1,10,8,0,0,0,39,9,9,NA
"984","Gonzalo Melero",536,2,0,0,8,16,1,0,2,5,0,0,0,35,3,5,NA
"985","Gonzalo Montiel",873,6,1,0,16,8,6,30,12,8,0,0,0,53,9,7,NA
"986","Gonzalo Plata",861,0,0,0,8,17,1,23,6,10,1,0,0,39,7,17,NA
"987","Gonzalo Verdú",388,0,1,0,6,2,0,0,4,1,0,0,0,17,11,8,NA
"988","Gonzalo Villar",659,2,0,0,17,17,0,7,4,7,0,1,0,52,9,5,NA
"989","Gorka Guruzeta",203,1,0,0,6,1,4,0,1,2,0,0,0,5,5,6,NA
"990","Granit Xhaka",1346,2,0,0,9,13,2,13,7,10,0,0,0,66,19,11,NA
"991","Greg Taylor",540,0,0,0,1,6,0,8,7,9,0,0,0,26,4,7,NA
"992","Grégoire Defrel",126,1,0,0,3,1,2,0,0,0,0,0,0,8,1,3,NA
"993","Gregor Kobel",1215,0,0,0,0,2,0,0,0,0,0,0,0,15,3,0,NA
"994","Grejohn Kyei",596,2,0,0,23,9,6,4,1,0,0,0,0,12,10,23,NA
"995","Grigoris Kastanos",261,2,0,0,6,10,0,4,2,5,0,0,0,10,4,1,NA
"996","Grischa Prömel",1071,3,0,0,21,22,1,4,5,18,0,0,0,62,12,12,NA
"997","Grzegorz Krychowiak",262,1,0,0,5,6,0,1,3,4,0,0,0,19,2,2,150
"998","Guglielmo Vicario",1350,1,0,0,0,3,0,0,0,0,0,0,0,14,5,1,NA
"999","Guido Rodríguez",1099,2,0,0,16,20,1,3,13,25,0,0,0,76,13,12,NA
"1000","Guillermo Maripán",765,2,1,1,10,1,0,0,13,8,0,2,0,40,16,14,NA
"1001","Guillermo Ochoa",270,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,NA
"1002","Guillermo Varela",93,0,0,0,1,3,0,5,1,0,0,0,0,4,0,2,NA
"1003","Habib Diallo",1131,0,0,0,14,22,6,2,6,3,0,0,0,31,38,56,588.6
"1004","Haji Wright",113,0,0,0,1,3,0,1,0,0,0,0,0,1,6,6,133.3
"1005","Hakan Çalhanoğlu",1431,2,0,0,26,16,2,80,19,20,0,0,0,108,7,10,NA
"1006","Hakim Ziyech",465,0,0,0,10,8,2,35,6,8,0,0,0,21,1,5,NA
"1007","Hákon Arnar Haraldsson",298,0,0,0,4,8,1,3,0,3,0,0,0,16,0,9,NA
"1008","Halid Šabanović",258,1,1,0,4,1,0,3,3,2,0,0,0,14,3,1,NA
"1009","Halil Dervişoğlu",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
