"","Player","Min","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"2450","Sami Al-Najei",45,21,18,3,0,0,0,5,0,3,1,2,0,13,0,0
"2451","Samir Handanović",720,314,253,58,13,0,0,0,0,0,0,0,0,280,3,0
"2452","Samu Castillejo",612,253,238,15,3,1,3,27,3,9,3,4,0,201,0,2
"2453","Samu Costa",768,359,342,14,13,1,6,2,1,0,0,0,0,285,3,8
"2454","Samuel",1215,503,486,15,0,1,0,39,14,1,0,0,0,387,2,27
"2455","Samuel Chukwueze",538,192,187,5,1,0,0,7,2,2,0,0,0,145,0,7
"2456","Samuel Di Carmine",28,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0
"2457","Samuel Edozie",159,56,55,0,0,1,0,2,0,0,0,0,0,40,1,4
"2458","Samuel Gigot",965,590,564,24,12,0,0,2,7,0,0,0,0,519,2,1
"2459","Samuel Iling-Junior",46,18,17,1,1,0,0,4,0,0,0,0,0,13,0,0
"2460","Samuel Moutoussamy",832,359,351,7,5,0,2,3,2,0,0,0,0,304,1,7
"2461","Samuel Oum Gouet",100,59,59,0,0,0,1,1,0,0,0,0,0,52,0,0
"2462","Samuel Sáiz",193,120,110,6,0,2,0,5,1,1,0,1,0,93,4,6
"2463","Samuel Umtiti",332,114,102,11,11,0,0,0,0,0,0,0,0,93,1,3
"2464","Samuele Birindelli",640,327,284,43,0,0,2,40,43,0,0,0,0,231,0,8
"2465","Samuele Ricci",711,388,372,15,14,1,1,1,1,0,0,0,0,353,1,3
"2466","Samuele Vignato",9,11,11,0,0,0,0,1,0,0,0,0,0,11,0,0
"2467","Sandi Lovrić",768,342,334,5,2,2,6,13,2,1,0,0,0,273,3,5
"2468","Sandro Tonali",1451,722,615,99,44,5,2,69,14,39,16,18,0,514,8,18
"2469","Sanjin Prcić",788,529,490,39,32,2,6,19,0,7,5,2,0,434,0,3
"2470","Sanoussy Ba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2471","Santi Comesaña",728,355,344,10,8,0,7,5,1,0,0,0,0,294,1,7
