"","Player","Min","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"1","Aaron Cresswell",1240,867,704,161,20,1,3,81,109,32,2,26,0,680,2,19
"2","Aaron Hickey",679,287,256,31,6,0,1,13,25,0,0,0,0,229,0,7
"3","Aarón Martín",1241,700,486,212,28,0,2,108,141,43,31,11,0,529,2,16
"4","Aaron Mooy",423,295,279,16,7,0,3,20,2,7,1,3,0,226,0,8
"5","Aaron Ramsdale",1260,408,323,84,26,0,4,0,0,0,0,0,0,281,1,1
"6","Aaron Ramsey",844,499,453,45,19,0,10,29,1,19,7,9,0,414,1,6
"7","Aaron Wan-Bissaka",5,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"8","Abakar Sylla",314,181,174,7,7,0,0,0,0,0,0,0,0,160,0,1
"9","Abdallah Sima",555,115,96,19,0,1,0,6,0,0,0,0,0,82,0,5
"10","Abdelhamid Sabiri",873,392,333,57,28,3,8,45,2,26,5,17,0,260,2,11
"11","Abdelkarim Hassan",270,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8
"12","Abderrazak Hamdallah",28,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
"13","Abdessamad Ezzalzouli",338,125,121,4,2,1,0,12,2,0,0,0,0,82,0,10
"14","Abdón Prats",137,34,30,4,0,0,1,0,0,0,0,0,0,26,0,0
"15","Abdou Diallo",904,669,632,34,21,1,8,5,12,0,0,0,0,566,3,3
"16","Abdou Harroui",291,133,130,3,0,1,1,7,1,0,0,0,0,105,0,5
"17","Abdoul Kader Bamba",78,44,39,5,2,0,1,3,2,1,1,0,0,36,0,1
"18","Abdoulaye Bamba",375,170,146,24,6,0,0,7,18,0,0,0,0,134,0,3
"19","Abdoulaye Doucouré",186,94,94,0,0,0,0,0,0,0,0,0,0,72,0,1
"20","Abdoulaye Seck",397,188,178,8,4,0,2,0,4,0,0,0,0,158,2,2
"21","Abdu Conté",466,291,251,40,4,2,5,16,36,0,0,0,0,245,0,7
"22","Abdul Fatawu Issahaku",89,27,19,8,0,0,0,2,5,3,2,0,0,20,0,0
"23","Abdul Mumin",102,79,76,3,3,0,0,0,0,0,0,0,0,67,0,0
"24","Abdulaziz Hatem",196,91,84,6,4,0,0,1,0,1,1,0,0,72,1,4
"25","Abdulelah Al-Amri",92,63,60,3,2,0,4,1,1,0,0,0,0,51,0,0
"26","Abdulellah Al-Malki",174,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1
"27","Abdulrahman Al-Aboud",6,6,6,0,0,0,0,1,0,0,0,0,0,2,0,1
"28","Abolfazl Jalali",19,29,21,8,1,0,0,2,7,0,0,0,0,19,0,1
"29","Achraf Dari",721,412,397,15,15,0,4,0,0,0,0,0,0,336,0,3
"30","Achraf Hakimi",1678,1005,930,72,7,0,1,22,64,1,0,0,0,897,3,23
"31","Adam Armstrong",869,219,190,29,0,0,4,12,3,0,0,0,0,163,0,14
"32","Adam Buksa",63,16,16,0,0,0,0,1,0,0,0,0,0,8,0,0
"33","Adam Forshaw",50,22,19,3,2,0,0,3,0,1,0,1,0,18,0,0
"34","Adam Hložek",851,241,223,18,1,2,0,15,2,9,5,4,0,185,0,5
"35","Adam Kronus",3,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
"36","Adam Lallana",489,212,203,9,1,0,0,3,1,1,0,0,0,178,0,5
"37","Adam Marušić",1301,825,720,104,15,0,3,6,89,0,0,0,0,715,1,8
"38","Adam Masina",304,148,128,18,5,0,3,5,13,0,0,0,0,112,2,0
"39","Adam Ounas",678,339,300,34,7,2,4,47,3,24,9,5,0,239,5,10
"40","Adam Smith",1305,600,486,114,12,0,2,17,102,0,0,0,0,475,0,12
"41","Adam Vlkanova",458,135,106,29,2,0,1,14,2,6,1,4,0,99,0,2
"42","Adam Webster",1170,894,843,51,17,0,6,2,34,0,0,0,0,770,0,5
"43","Adama Soumaoro",782,347,332,10,9,0,0,0,1,0,0,0,0,315,5,2
"44","Adama Traoré",622,212,211,0,0,0,0,40,0,0,0,0,0,136,1,10
"45","Ademola Lookman",858,280,257,23,3,5,2,22,5,12,2,4,0,215,0,5
"46","Adil Aouchiche",43,19,15,4,0,0,1,2,0,2,1,0,0,14,0,1
"47","Adil Rami",539,223,205,18,15,0,3,3,2,0,0,0,0,189,0,1
"48","Adnan Januzaj",99,43,40,2,0,0,0,2,0,2,1,1,0,30,1,4
"49","Ado Onaiwu",288,104,100,2,0,0,0,1,0,0,0,0,0,79,2,3
"50","Adri Embarba",458,171,142,29,7,0,4,40,1,21,10,9,0,108,0,8
"51","Adrian Grbić",25,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
"52","Adrien Hunou",1088,346,328,16,1,1,0,6,8,3,1,0,0,255,2,7
"53","Adrien Rabiot",1586,758,735,21,9,2,4,19,12,0,0,0,0,644,2,12
"54","Adrien Tameze",1061,354,340,11,4,0,0,6,2,0,0,0,0,260,3,6
"55","Adrien Thomasson",757,433,416,16,9,1,3,5,2,1,0,0,0,356,1,11
"56","Adrien Truffert",1115,760,633,126,5,0,2,17,121,0,0,0,0,603,1,15
"57","Agustín Álvarez Martínez",170,41,39,2,0,0,1,2,0,1,0,1,0,34,0,0
"58","Agustín Marchesín",1260,453,315,136,37,0,1,0,0,0,0,0,0,322,2,0
"59","Agustín Rogel",675,312,290,21,21,0,3,0,0,0,0,0,0,242,1,3
"60","Ahmad Nourollahi",223,54,52,1,0,0,0,3,0,0,0,0,0,35,1,0
"61","Ahmed Alaaeldin",6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"62","Aihen Muñoz",666,368,303,63,6,0,0,17,57,0,0,0,0,302,2,6
"63","Aimar Oroz",774,291,275,14,3,0,2,3,0,0,0,0,0,229,2,8
"64","Aimen Dahmen",270,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0
"65","Ainsley Maitland-Niles",412,207,197,10,2,1,2,4,8,0,0,0,0,175,0,2
"66","Aïssa Laïdouni",243,123,118,5,3,0,1,3,2,0,0,0,0,99,0,3
"67","Aïssa Mandi",261,176,148,27,10,0,1,1,15,0,0,0,0,158,1,0
"68","Aitor Fernández",360,136,94,41,17,0,0,0,0,0,0,0,0,93,1,0
"69","Aitor Paredes",23,15,14,1,1,0,2,0,0,0,0,0,0,14,0,0
"70","Aitor Ruibal",563,288,247,41,5,1,4,7,36,0,0,0,0,223,0,7
"71","Ajdin Hrustic",250,103,91,12,6,0,1,7,0,4,2,0,0,82,0,4
"72","Akim Zedadka",354,222,194,28,4,0,2,7,24,0,0,0,0,185,0,4
"73","Akram Afif",270,165,142,22,8,1,2,13,2,6,4,1,0,139,1,4
"74","Alan Franco",46,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
"75","Alan Virginius",66,24,24,0,0,0,0,2,0,0,0,0,0,18,0,2
"76","Alassane Pléa",825,365,351,12,5,9,2,25,7,0,0,0,0,248,2,18
"77","Alban Lafont",1259,461,320,141,39,0,6,0,0,0,0,0,0,318,0,2
"78","Albert Sambi Lokonga",198,140,135,5,5,1,1,0,0,0,0,0,0,132,0,1
"79","Alberto Del Moral",5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Alberto Grassi",324,161,156,5,5,0,1,0,0,0,0,0,0,129,0,1
"81","Alberto Moreno",368,203,175,28,5,0,1,11,22,1,1,0,0,168,0,4
"82","Alberto Perea",45,12,12,0,0,0,0,1,0,0,0,0,0,10,0,0
"83","Albin Ekdal",495,199,193,4,3,0,1,1,0,0,0,0,0,140,2,5
"84","Aleix García",1245,902,784,113,59,2,22,94,8,46,20,21,0,764,5,14
"85","Aleix Vidal",446,140,127,13,2,0,1,11,11,0,0,0,0,101,0,9
"86","Alejandro Alfaro",15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"87","Alejandro Balde",1156,859,740,115,14,1,3,19,101,0,0,0,0,778,4,9
"88","Alejandro Garnacho",84,31,31,0,0,0,0,1,0,0,0,0,0,25,0,2
"89","Alejandro Pozo Pozo",580,350,292,56,1,0,3,25,55,0,0,0,0,252,2,10
"90","Alejandro Revuelta Montero",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Aleksa Terzić",262,241,201,39,4,0,0,21,33,2,0,1,0,199,1,6
"92","Aleksandar Mitrović",1189,284,274,9,0,3,5,3,0,0,0,0,0,172,1,11
"93","Aleksandr Golovin",963,413,373,40,10,3,4,40,8,22,12,7,1,294,0,12
"94","Aleksei Miranchuk",676,228,216,11,3,1,1,4,4,4,2,0,0,190,1,1
"95","Aleš Čermák",32,30,27,2,0,0,0,2,0,2,1,0,0,24,1,0
"96","Alessandro Bastoni",1040,799,752,42,27,0,13,15,13,0,0,0,0,693,5,6
"97","Alessandro Buongiorno",906,450,434,13,9,0,0,3,2,0,0,0,0,361,3,6
"98","Alessandro Cortinovis",6,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0
"99","Alessandro Florenzi",97,79,58,20,3,0,0,5,14,3,0,3,0,62,1,0
"100","Alessandro Tuia",180,72,66,6,5,0,0,0,0,0,0,0,0,53,0,0
"101","Alessandro Zanoli",24,19,18,1,0,0,0,4,1,0,0,0,0,15,0,2
"102","Alessio Romagnoli",1194,687,623,64,41,1,6,0,1,0,0,0,0,615,0,2
"103","Alessio Zerbin",111,51,49,0,0,0,0,0,0,0,0,0,0,35,2,2
"104","Alex Baena",630,207,195,9,3,6,0,7,0,3,2,0,0,156,3,11
"105","Álex Berenguer",1026,417,360,54,17,0,1,53,5,32,18,4,1,283,3,14
"106","Álex Collado",514,206,197,9,1,1,3,10,1,7,4,0,0,167,0,8
"107","Álex Fernández",699,299,270,29,17,0,2,15,0,8,3,4,0,253,0,2
"108","Alex Ferrari",868,456,433,23,21,0,3,4,2,0,0,0,0,384,0,8
"109","Álex Grimaldo",540,381,328,53,8,1,1,13,45,0,0,0,0,318,0,9
"110","Alex Iwobi",1332,632,616,11,2,7,8,19,8,1,0,0,0,504,5,11
"111","Alex Král",904,311,305,4,3,2,2,2,0,0,0,0,0,214,2,10
"112","Alex Meret",1890,606,430,175,33,0,0,0,0,0,0,0,0,518,1,0
"113","Álex Moreno",1170,620,485,134,12,0,4,24,122,0,0,0,0,476,1,21
"114","Alex Oxlade-Chamberlain",32,7,7,0,0,0,1,1,0,0,0,0,0,5,0,0
"115","Álex Remiro",1260,483,358,119,36,0,1,0,0,0,0,0,0,358,6,0
"116","Alex Sandro",1194,905,790,111,15,0,8,20,96,0,0,0,0,787,4,11
"117","Alex Sola",275,151,120,31,4,0,0,6,27,0,0,0,0,120,0,3
"118","Alex Telles",1149,674,526,146,28,1,2,84,95,23,7,15,0,501,2,10
"119","Alexander Bah",548,437,380,56,4,1,2,21,52,0,0,0,0,347,1,7
"120","Alexander Djiku",1276,794,747,44,32,0,19,4,8,0,0,0,0,649,3,6
"121","Alexander Hack",988,500,465,32,29,0,6,1,3,0,0,0,0,369,3,10
"122","Alexander Isak",394,65,58,6,0,0,0,2,0,0,0,0,0,40,1,3
"123","Alexander lowry",8,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
"124","Alexander Meyer",675,351,269,80,18,0,1,0,0,0,0,0,0,305,2,1
"125","Alexander Mighten",8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"126","Alexander Nübel",1350,461,306,155,36,0,2,0,0,0,0,0,0,333,0,0
"127","Alexander Schwolow",1350,545,380,162,40,0,0,0,0,0,0,0,0,347,3,0
"128","Alexander Sørloth",826,164,148,16,0,1,0,1,1,0,0,0,0,114,0,6
"129","Alexandre Coeff",586,353,340,12,4,0,4,5,8,0,0,0,0,287,1,3
"130","Alexandre Lacazette",1297,413,382,24,7,6,2,23,0,5,1,4,0,283,7,16
"131","Alexandro Bernabei",11,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
"132","Alexis Beka Beka",276,174,173,1,1,0,2,5,0,0,0,0,0,141,0,2
"133","Alexis Blin",690,309,298,11,7,0,4,9,2,0,0,0,0,252,0,2
"134","Alexis Claude-Maurice",283,119,117,1,0,1,1,5,0,1,1,0,0,93,1,3
"135","Alexis Flips",642,359,276,83,16,1,1,54,45,21,3,14,0,236,0,12
"136","Alexis Mac Allister",1324,861,836,25,15,2,6,14,3,7,5,2,0,758,0,22
"137","Alexis Saelemaekers",403,176,173,2,0,1,0,16,2,0,0,0,0,126,1,3
"138","Alexis Sánchez",1272,467,434,30,4,4,6,16,0,4,3,0,0,370,3,10
"139","Alexis Vega",148,43,39,4,1,2,0,5,0,3,0,2,0,29,0,2
"140","Alexsandro Ribeiro",393,280,264,14,7,0,1,1,0,0,0,0,0,250,2,3
"141","Alfonso Espino",1142,535,418,113,13,0,3,23,100,0,0,0,0,342,4,24
"142","Alfonso Pedraza",805,377,299,77,4,0,1,34,73,0,0,0,0,285,1,22
"143","Alfred Duncan",285,161,155,5,3,2,0,5,2,0,0,0,0,125,1,5
"144","Alfredo Morelos",256,63,57,6,0,1,2,1,1,0,0,0,0,41,0,4
"145","Ali Abdi",188,116,87,28,0,0,0,5,27,1,1,0,0,72,1,5
"146","Ali Al-Bulaihi",180,83,79,4,3,0,1,0,1,0,0,0,0,67,0,0
"147","Ali Assadalla",27,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0
"148","Ali Gholizadeh",199,72,66,6,0,1,2,4,3,3,2,0,0,46,0,3
"149","Ali Karimi",99,45,44,1,1,0,0,2,0,0,0,0,0,34,0,2
"150","Ali Maâloul",90,63,43,19,1,0,1,13,12,6,5,1,0,40,1,2
"151","Ali Mohamed",356,224,219,4,2,0,3,1,0,1,0,0,0,190,1,5
"152","Alidu Seidu",1278,678,638,39,9,0,2,19,30,0,0,0,0,595,1,8
"153","Alireza Beiranvand",109,31,22,9,0,0,0,0,0,0,0,0,0,20,0,0
"154","Alireza Jahanbakhsh",59,17,14,2,1,0,0,1,0,0,0,0,0,11,1,1
"155","Alisson",1980,778,637,138,28,0,1,0,0,0,0,0,0,663,3,2
"156","Alistair Johnston",180,119,91,28,3,0,1,8,25,0,0,0,0,91,0,2
"157","Allan McGregor",450,196,132,62,11,0,0,0,0,0,0,0,0,121,2,0
"158","Allan Saint-Maximin",378,147,145,1,0,0,2,10,1,0,0,0,0,98,1,8
"159","Almamy Touré",163,101,98,3,2,0,1,2,1,0,0,0,0,80,0,2
"160","Almoez Ali",224,45,42,3,0,0,0,0,0,0,0,0,0,33,0,1
"161","Alphonse Areola",107,42,30,11,1,0,0,0,0,0,0,0,0,29,1,0
"162","Alphonso Davies",1542,1058,916,134,21,1,6,13,110,3,2,0,0,929,8,12
"163","Álvaro Aguado",747,426,400,26,15,2,16,18,1,10,0,7,0,357,0,6
"164","Álvaro Fernández",360,123,74,49,15,0,0,0,0,0,0,0,0,84,0,0
"165","Álvaro García",1095,350,331,16,2,0,1,57,11,3,2,0,0,225,3,14
"166","Álvaro Giménez",17,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
"167","Álvaro Morata",1146,238,228,9,0,2,5,5,0,0,0,0,0,147,1,6
"168","Álvaro Negredo",410,100,91,9,0,2,2,0,0,0,0,0,0,58,0,2
"169","Alvaro Sanz",14,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
"170","Álvaro Zamora",30,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
"171","Amadou Haidara",736,454,442,8,4,2,0,2,4,0,0,0,0,385,4,3
"172","Amadou Onana",1139,448,444,2,1,4,5,2,1,0,0,0,0,366,2,2
"173","Amar Dedić",540,283,200,83,4,0,1,9,79,0,0,0,0,183,0,8
"174","Amath",243,58,58,0,0,1,0,2,0,0,0,0,0,43,0,2
"175","Amine Adli",476,177,170,7,0,2,0,7,3,3,0,0,0,136,0,8
"176","Amine Gouiri",1014,290,274,13,1,1,2,11,0,3,3,0,0,227,3,14
"177","Amine Harit",895,486,444,39,6,4,3,29,6,23,6,10,0,402,3,12
"178","Amine Salama",532,128,117,9,0,0,0,3,0,0,0,0,0,92,2,7
"179","Amir Rrahmani",981,736,704,32,32,0,13,1,0,0,0,0,0,656,0,2
"180","Amos Pieper",1102,655,628,24,16,0,8,8,8,0,0,0,0,508,3,3
"181","Anatolii Trubin",540,260,196,63,9,0,1,0,0,0,0,0,0,200,1,0
"182","Ander Barrenetxea",62,20,19,1,0,0,0,0,0,1,0,0,0,14,0,3
"183","Ander Capa",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"184","Ander Guevara",126,116,116,0,0,0,0,0,0,0,0,0,0,106,0,1
"185","Ander Herrera",238,141,138,1,1,3,0,1,0,0,0,0,0,126,2,1
"186","Andoni Gorosabel",713,450,353,97,11,0,1,16,86,0,0,0,0,385,0,11
"187","András Schäfer",702,213,203,10,2,1,0,5,1,0,0,0,0,160,0,9
"188","Andre-Frank Zambo Anguissa",1672,1058,1036,17,14,4,0,7,3,0,0,0,0,920,5,18
"189","André Ayew",153,31,24,7,1,0,0,0,1,0,0,0,0,26,0,0
"190","André Gomes",536,400,390,9,5,1,2,4,2,2,0,2,0,337,1,5
"191","André Hahn",391,83,80,2,0,0,2,6,2,0,0,0,0,33,1,5
"192","André Onana",1160,525,407,117,19,0,2,0,0,0,0,0,0,406,1,0
"193","André Silva",1218,387,353,33,2,4,1,7,6,0,0,0,0,286,1,17
"194","Andrea Barberis",316,158,150,8,5,0,0,4,1,2,0,2,0,133,0,2
"195","Andrea Belotti",368,86,78,6,0,0,0,3,2,0,0,0,0,57,2,3
"196","Andrea Cambiaso",906,544,438,104,9,0,2,33,94,1,1,0,0,419,2,20
"197","Andrea Carboni",167,87,74,13,1,0,1,5,11,1,0,1,0,69,0,3
"198","Andrea Colpani",339,151,142,7,1,1,2,7,0,6,1,5,0,124,2,1
"199","Andrea Consigli",1350,697,509,187,48,0,2,0,0,0,0,0,0,550,1,0
"200","Andrea Conti",23,11,7,4,0,0,0,0,4,0,0,0,0,6,0,0
"201","Andrea Petagna",529,128,110,17,0,0,3,1,0,0,0,0,0,93,1,4
"202","Andrea Pinamonti",1157,247,218,29,0,1,1,7,0,0,0,0,0,154,0,11
"203","Andrea Ranocchia",47,19,15,4,1,0,0,0,0,0,0,0,0,16,0,0
"204","Andreas Bruus",506,245,191,54,6,0,1,43,39,9,6,2,0,168,0,9
"205","Andreas Christensen",804,789,767,22,18,2,2,0,3,0,0,0,0,740,0,0
"206","Andreas Cornelius",201,64,63,1,0,0,1,1,0,0,0,0,0,39,0,0
"207","Andreas Pereira",1240,474,361,107,36,0,6,92,0,54,24,24,0,291,6,26
"208","Andreas Skov Olsen",427,162,146,16,4,0,1,24,6,6,5,0,0,111,0,11
"209","Andreas Ulmer",375,187,139,48,3,0,0,11,42,3,3,0,0,123,0,4
"210","Andrei Girotto",1242,662,646,14,13,1,4,4,1,0,0,0,0,556,2,2
"211","Andrej Kramarić",1168,471,449,20,1,0,6,16,9,1,0,0,0,372,2,11
"212","Andrés Guardado",344,180,161,18,8,0,4,7,2,7,1,5,0,145,1,5
"213","Andrew Gravillon",1032,440,381,56,19,2,5,16,37,0,0,0,0,325,3,7
"214","Andrew Robertson",1060,963,794,169,17,0,5,98,106,46,12,30,0,767,0,22
"215","Andrey Lunyov",90,44,39,5,2,0,0,0,0,0,0,0,0,35,0,0
"216","Andries Noppert",270,101,73,28,4,0,0,0,0,0,0,0,0,87,0,1
"217","Andrija Živković",133,67,54,12,1,2,0,5,11,0,0,0,0,50,1,2
"218","Andriy Lunin",540,173,135,38,5,0,1,0,0,0,0,0,0,159,0,1
"219","Andriy Totovytskyi",17,6,5,1,0,0,0,1,0,1,0,1,0,5,0,0
"220","Andy Delort",746,217,199,16,1,1,2,15,0,0,0,0,0,131,2,4
"221","Ángel Algobia",362,151,146,4,3,0,1,4,0,0,0,0,0,123,1,4
"222","Ángel Correa",770,310,293,16,3,0,2,20,0,9,1,5,0,247,1,9
"223","Ángel Di María",551,249,229,18,5,5,5,28,2,11,5,5,0,183,2,5
"224","Angel Gomes",1097,732,683,48,24,1,7,31,0,22,7,10,0,625,1,7
"225","Ángel Rodríguez",149,26,24,2,0,0,0,1,0,0,0,0,0,19,0,1
"226","Angeliño",1174,706,536,160,11,1,4,93,129,20,4,13,0,471,10,18
"227","Angelo Fulgini",493,216,209,6,0,1,1,7,5,1,0,0,0,172,1,3
"228","Angelo Ogbonna",27,8,7,1,1,0,0,0,0,0,0,0,0,4,0,0
"229","Ángelo Preciado",264,129,98,30,2,0,0,8,28,0,0,0,0,94,1,0
"230","Angelo Stiller",241,146,141,4,2,1,2,3,2,0,0,0,0,114,1,3
"231","Anis Ben Slimane",148,47,38,8,0,0,0,8,2,6,2,3,1,30,1,2
"232","Ansgar Knauff",848,429,330,99,6,0,0,9,93,0,0,0,0,285,0,14
"233","Ansu Fati",686,305,300,3,0,0,0,8,0,3,2,0,0,258,2,7
"234","Ante Budimir",554,87,83,4,0,0,0,1,0,0,0,0,0,53,0,1
"235","Ante Palaversa",10,7,6,1,1,0,0,1,0,0,0,0,0,6,0,0
"236","Ante Rebić",636,229,221,5,1,5,1,23,1,0,0,0,0,129,3,13
"237","Anthony Caci",620,372,343,29,9,0,11,15,13,7,6,1,0,273,0,10
"238","Anthony Contreras",124,20,18,2,0,0,0,1,0,0,0,0,0,10,0,2
"239","Anthony Elanga",369,112,110,2,0,0,1,5,2,0,0,0,0,85,0,2
"240","Anthony Gordon",983,249,241,7,0,1,1,19,1,2,2,0,0,179,1,10
"241","Anthony Jung",1142,636,551,84,4,0,0,15,80,0,0,0,0,509,1,15
"242","Anthony Lopes",1016,332,239,91,20,0,1,0,0,0,0,0,0,267,2,0
"243","Anthony Losilla",1329,506,500,4,4,1,1,7,0,0,0,0,0,356,2,10
"244","Anthony Lozano",756,143,138,5,0,0,1,3,0,0,0,0,0,96,0,7
"245","Anthony Martial",201,62,53,9,2,2,0,1,2,0,0,0,0,48,0,4
"246","Anthony Modeste",1036,139,133,4,0,0,0,3,0,0,0,0,0,84,2,2
"247","Anthony Rouault",1342,785,710,74,28,1,10,0,8,0,0,0,0,688,1,7
"248","Antoine Griezmann",1286,791,703,86,20,11,8,88,4,53,35,11,1,616,2,16
"249","Antoine Mendy",12,14,10,4,0,0,0,0,4,0,0,0,0,7,0,0
"250","Antoine Semenyo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251","Anton Stach",1011,420,390,29,15,5,3,27,2,12,9,1,0,282,1,14
"252","Antonee Robinson",1378,796,646,150,13,0,2,58,137,0,0,0,0,573,0,24
"253","Antonín Barák",729,303,297,6,2,2,1,5,1,0,0,0,0,239,0,10
"254","Antonin Bobichon",18,20,19,1,0,1,0,2,0,1,1,0,0,12,0,2
"255","Antonino Gallo",915,492,378,110,14,0,6,31,96,0,0,0,0,333,4,11
"256","Antonio Adán",382,219,164,55,20,0,1,0,0,0,0,0,0,153,0,0
"257","Antonio Candreva",1163,731,605,124,21,3,17,100,77,26,3,15,0,539,2,20
"258","Antonio Čolak",284,42,32,10,0,0,0,1,0,0,0,0,0,27,0,0
"259","Antonio Marin",7,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
"260","Antonio Nusa",36,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0
"261","Antonio Raillo",1170,475,438,36,33,0,0,0,2,0,0,0,0,410,1,4
"262","Antonio Rüdiger",1181,896,873,22,12,1,12,2,5,0,0,0,0,825,1,4
"263","Antonio Sanabria",679,186,169,17,2,0,1,0,0,0,0,0,0,137,0,6
"264","Antonio Sánchez",580,209,198,10,1,0,3,13,4,0,0,0,0,163,1,8
"265","António Silva",537,276,264,12,10,0,2,0,2,0,0,0,0,248,0,1
"266","Antonios Papadopoulos",23,25,25,0,0,0,1,0,0,0,0,0,0,19,0,1
"267","Antony",520,252,245,7,1,1,0,14,3,3,1,0,0,203,0,5
"268","Anuar",210,40,39,1,0,0,0,1,1,0,0,0,0,30,0,4
"269","Ao Tanaka",70,29,28,1,0,0,0,2,0,0,0,0,0,22,0,0
"270","Arber Zeneli",669,288,234,52,10,2,0,36,9,28,15,8,0,201,2,11
"271","Ardian Ismajli",935,407,386,21,13,0,3,0,1,0,0,0,0,332,0,8
"272","Arial Mendy",223,120,100,20,3,0,0,10,17,0,0,0,0,82,0,4
"273","Aridane Hernández",144,59,54,5,4,0,1,0,1,0,0,0,0,47,0,0
"274","Arijan Ademi",471,147,141,6,2,0,1,0,0,0,0,0,0,122,0,5
"275","Aritz Elustondo",618,382,347,32,5,0,0,3,27,0,0,0,0,319,3,2
"276","Arkadiusz Milik",1251,350,329,17,2,2,3,5,0,0,0,0,0,267,4,10
"277","Arkadiusz Reca",791,401,321,78,2,0,5,27,76,0,0,0,0,282,2,11
"278","Armand Lauriente",1014,384,344,40,9,3,1,57,4,26,16,8,0,280,0,11
"279","Armando Broja",393,78,76,2,0,0,1,0,0,0,0,0,0,52,0,0
"280","Armando Izzo",603,385,360,22,18,1,5,3,4,0,0,0,0,329,3,3
"281","Armel Bella Kotchap",903,420,410,10,7,0,7,3,3,0,0,0,0,320,0,5
"282","Arnau Martinez",811,474,386,88,8,0,1,22,80,0,0,0,0,380,0,12
"283","Arnau Puigmal",241,109,85,23,2,1,0,7,16,5,0,2,0,79,1,1
"284","Arnaud Kalimuendo",605,139,127,12,0,0,0,5,2,0,0,0,0,111,0,8
"285","Arnaud Nordin",807,216,200,15,1,0,1,18,6,4,1,2,0,162,1,8
"286","Arnaud Souquet",342,130,107,23,3,1,0,7,20,0,0,0,0,98,0,1
"287","Arnaut Groeneveld",476,89,77,12,1,0,0,6,2,2,0,0,0,64,0,1
"288","Arne Maier",528,219,188,30,13,3,1,20,0,14,5,8,0,157,1,6
"289","Artem Bondarenko",484,277,268,9,6,1,0,2,1,2,2,0,0,242,0,5
"290","Arthur",608,138,123,15,0,1,0,4,3,1,1,0,0,104,0,8
"291","Arthur Melo",14,13,12,1,1,0,0,0,0,0,0,0,0,11,0,0
"292","Arthur Theate",1350,1058,1038,19,14,0,5,0,5,0,0,0,0,942,1,7
"293","Ashley Young",729,407,311,91,14,2,5,19,73,4,2,0,2,302,5,8
"294","Asier Illarramendi",153,85,82,3,1,0,2,0,2,0,0,0,0,70,0,2
"295","Asier Villalibre",92,15,15,0,0,0,0,0,0,0,0,0,0,8,0,0
"296","Asiri Haitham",2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"297","Asmir Begović",90,30,21,9,1,0,0,0,0,0,0,0,0,21,0,0
"298","Assan Ceesay",887,179,165,13,0,0,0,4,3,1,0,0,0,108,1,5
"299","Assim Madibo",153,70,67,3,3,0,0,0,0,0,0,0,0,58,0,1
"300","Aster Vranckx",57,30,30,0,0,0,0,2,0,0,0,0,0,20,0,0
"301","Atakan Karazor",486,256,248,7,6,0,2,0,1,0,0,0,0,215,1,5
"302","Atiba Hutchinson",128,81,80,1,1,0,0,0,0,0,0,0,0,73,0,3
"303","Augusto Solari",187,95,92,1,0,0,0,2,1,0,0,0,0,76,2,3
"304","Aurélien Tchouaméni",1536,1244,1217,25,25,7,7,7,0,0,0,0,0,1159,2,4
"305","Awer Mabil",189,68,61,7,3,0,1,9,2,2,1,1,0,44,0,5
"306","Axel Camblan",35,8,8,0,0,0,0,1,0,0,0,0,0,6,0,0
"307","Axel Disasi",1440,828,772,55,24,0,9,13,31,0,0,0,0,673,1,8
"308","Axel Gueguin",14,9,8,1,0,0,0,1,0,1,1,0,0,6,0,0
"309","Axel Witsel",1619,1071,1026,45,41,0,1,2,4,0,0,0,0,1003,0,4
"310","Ayase Ueda",45,12,12,0,0,1,0,0,0,0,0,0,0,7,0,0
