"","player_name","citizenship"
"824","Koke","Spain"
"825","Saúl Ñíguez","Spain"
"826","Thomas Lemar","France"
"827","Thomas Lemar","Guadeloupe"
"828","Yannick Carrasco","Belgium"
"829","Yannick Carrasco","Spain"
"830","Ángel Correa","Argentina"
"831","Ángel Correa","Spain"
"832","João Félix","Portugal"
"833","Antoine Griezmann","France"
"834","Álvaro Morata","Spain"
"835","Matheus Cunha","Brazil"
"836","Álex Remiro","Spain"
"837","Andoni Zubiaurre","Spain"
"838","Robin Le Normand","France"
"839","Igor Zubeldia","Spain"
"840","Aritz Elustondo","Spain"
"841","Jon Pacheco","Spain"
"842","Aihen Muñoz","Spain"
"843","Diego Rico","Spain"
"844","Andoni Gorosabel","Spain"
"845","Álex Sola","Spain"
"846","Martín Zubimendi","Spain"
"847","Asier Illarramendi","Spain"
"848","Mikel Merino","Spain"
"849","Brais Méndez","Spain"
"850","Ander Guevara","Spain"
"851","Beñat Turrientes","Spain"
"852","Robert Navarro","Spain"
"853","David Silva","Spain"
"854","Mikel Oyarzabal","Spain"
"855","Ander Barrenetxea","Spain"
"856","Martín Merquelanz","Spain"
"857","Takefusa Kubo","Japan"
"858","Umar Sadiq","Nigeria"
"859","Momo Cho","France"
"860","Momo Cho","England"
"861","Alexander Sörloth","Norway"
"862","Jon Karrikaburu","Spain"
"863","Carlos Fernández","Spain"
"864","Gerónimo Rulli","Argentina"
"865","Gerónimo Rulli","Italy"
"866","Filip Jörgensen","Denmark"
"867","Filip Jörgensen","Sweden"
"868","Pepe Reina","Spain"
"869","Pau Torres","Spain"
"870","Jorge Cuenca","Spain"
"871","Aïssa Mandi","Algeria"
"872","Aïssa Mandi","France"
"873","Raúl Albiol","Spain"
"874","Alfonso Pedraza","Spain"
"875","Johan Mojica","Colombia"
"876","Johan Mojica","Spain"
"877","Alberto Moreno","Spain"
"878","Juan Foyth","Argentina"
"879","Juan Foyth","Spain"
"880","Kiko Femenía","Spain"
"881","Francis Coquelin","France"
"882","Francis Coquelin","Réunion"
"883","Étienne Capoue","France"
"884","Étienne Capoue","Guadeloupe"
"885","Giovani Lo Celso","Argentina"
"886","Giovani Lo Celso","Italy"
"887","Dani Parejo","Spain"
"888","Manu Trigueros","Spain"
"889","Manu Morlanes","Spain"
"890","Álex Baena","Spain"
"891","Yéremy Pino","Spain"
"892","Samuel Chukwueze","Nigeria"
"893","Nicolas Jackson","Senegal"
"894","Nicolas Jackson","The"
"895","Gerard Moreno","Spain"
"896","Arnaut Danjuma","Netherlands"
"897","Arnaut Danjuma","Nigeria"
"898","José Luis Morales","Spain"
"899","Rui Silva","Portugal"
"900","Dani Martín","Spain"
"901","Claudio Bravo","Chile"
"902","Claudio Bravo","Spain"
"903","Luiz Felipe","Italy"
"904","Luiz Felipe","Brazil"
"905","Edgar González","Spain"
"906","Germán Pezzella","Argentina"
"907","Germán Pezzella","Italy"
"908","Víctor Ruiz","Spain"
"909","Álex Moreno","Spain"
"910","Juan Miranda","Spain"
"911","Aitor Ruibal","Spain"
"912","Youssouf Sabaly","Senegal"
"913","Youssouf Sabaly","France"
"914","Martín Montoya","Spain"
"915","Guido Rodríguez","Argentina"
"916","Guido Rodríguez","Italy"
"917","William Carvalho","Portugal"
"918","William Carvalho","Angola"
"919","Paul Akouokou","Cote"
"920","Paul Akouokou","d'Ivoire"
"921","Andrés Guardado","Mexico"
"922","Andrés Guardado","Spain"
"923","Víctor Camarasa","Spain"
"924","Nabil Fekir","France"
"925","Nabil Fekir","Algeria"
"926","Sergio Canales","Spain"
"927","Rodri Sánchez","Spain"
"928","Juanmi","Spain"
"929","Luiz Henrique","Brazil"
"930","Joaquín","Spain"
"931","Juan Cruz","Spain"
"932","Juan Cruz","Argentina"
"933","Borja Iglesias","Spain"
"934","Willian José","Brazil"
"935","Willian José","Spain"
"936","Loren Morón","Spain"
"937","Giorgi Mamardashvili","Georgia"
"938","Jaume Doménech","Spain"
"939","Iago Herrerín","Spain"
"940","Cristian Rivero","Spain"
"941","Mouctar Diakhaby","Guinea"
"942","Mouctar Diakhaby","France"
"943","Gabriel Paulista","Brazil"
"944","Gabriel Paulista","Spain"
"945","Eray Cömert","Switzerland"
"946","Eray Cömert","Turkey"
"947","Cenk Özkacar","Turkey"
"948","Cristhian Mosquera","Spain"
"949","Cristhian Mosquera","Colombia"
"950","José Gayà","Spain"
"951","Jesús Vázquez","Spain"
"952","Toni Lato","Spain"
"953","Thierry Correia","Portugal"
"954","Thierry Correia","Cape"
"955","Dimitri Foulquier","Guadeloupe"
"956","Dimitri Foulquier","France"
"957","Hugo Guillamón","Spain"
"958","Yunus Musah","United"
"959","Yunus Musah","States"
"960","Nico González","Spain"
"961","André Almeida","Portugal"
"962","Ilaix Moriba","Guinea"
"963","Ilaix Moriba","Spain"
"964","Samuel Lino","Brazil"
"965","Justin Kluivert","Netherlands"
"966","Justin Kluivert","Suriname"
"967","Samu Castillejo","Spain"
"968","Hugo Duro","Spain"
"969","Edinson Cavani","Uruguay"
"970","Edinson Cavani","Italy"
"971","Marcos André","Brazil"
"972","Marcos André","Spain"
"973","Bono","Morocco"
"974","Bono","Canada"
"975","Marko Dmitrović","Serbia"
"976","Marcão","Brazil"
"977","Tanguy Nianzou","France"
"978","Tanguy Nianzou","Cote"
"979","Karim Rekik","Netherlands"
"980","Karim Rekik","Tunisia"
"981","Kike Salas","Spain"
"982","Alex Telles","Brazil"
"983","Alex Telles","Italy"
"984","Marcos Acuña","Argentina"
"985","Gonzalo Montiel","Argentina"
"986","José Ángel Carmona","Spain"
"987","Jesús Navas","Spain"
"988","Nemanja Gudelj","Serbia"
"989","Nemanja Gudelj","Netherlands"
"990","Fernando","Brazil"
"991","Fernando","Portugal"
"992","Joan Jordán","Spain"
"993","Óliver Torres","Spain"
"994","Ivan Rakitic","Croatia"
"995","Ivan Rakitic","Switzerland"
"996","Thomas Delaney","Denmark"
"997","Thomas Delaney","United"
"998","Isco","Spain"
"999","Papu Gómez","Argentina"
"1000","Papu Gómez","Italy"
"1001","Tecatito","Mexico"
"1002","Tecatito","Portugal"
"1003","Erik Lamela","Argentina"
"1004","Erik Lamela","Spain"
"1005","Suso","Spain"
"1006","Adnan Januzaj","Belgium"
"1007","Adnan Januzaj","Kosovo"
"1008","Kasper Dolberg","Denmark"
"1009","Rafa Mir","Spain"
"1010","Youssef En-Nesyri","Morocco"
"1011","Unai Simón","Spain"
"1012","Julen Agirrezabala","Spain"
"1013","Iñigo Martínez","Spain"
"1014","Yeray Álvarez","Spain"
"1015","Dani Vivian","Spain"
"1016","Aitor Paredes","Spain"
"1017","Yuri Berchiche","Spain"
"1018","Yuri Berchiche","Algeria"
"1019","Mikel Balenziaga","Spain"
"1020","Iñigo Lekue","Spain"
"1021","Ander Capa","Spain"
"1022","Óscar de Marcos","Spain"
"1023","Mikel Vesga","Spain"
"1024","Unai Vencedor","Spain"
"1025","Ander Herrera","Spain"
"1026","Oier Zarraga","Spain"
"1027","Dani García","Spain"
"1028","Oihan Sancet","Spain"
"1029","Iker Muniain","Spain"
"1030","Álex Berenguer","Spain"
"1031","Jon Morcillo","Spain"
"1032","Nico Williams","Spain"
"1033","Nico Williams","Ghana"
"1034","Iñaki Williams","Ghana"
"1035","Iñaki Williams","Spain"
"1036","Asier Villalibre","Spain"
"1037","Raúl García","Spain"
"1038","Gorka Guruzeta","Spain"
"1039","David Soria","Spain"
"1040","Kiko Casilla","Spain"
"1041","Diego Conde","Spain"
"1042","Domingos Duarte","Portugal"
"1043","Djené","Togo"
"1044","Gastón Álvarez","Uruguay"
"1045","Omar Alderete","Paraguay"
"1046","Stefan Mitrović","Serbia"
"1047","Fabrizio Angileri","Argentina"
"1048","Fabrizio Angileri","Italy"
"1049","Jordan Amavi","France"
"1050","Jordan Amavi","Senegal"
"1051","Juan Iglesias","Spain"
"1052","Damián Suárez","Uruguay"
"1053","Damián Suárez","Spain"
"1054","Nemanja Maksimović","Serbia"
"1055","Mauro Arambarri","Uruguay"
"1056","Carles Aleñá","Spain"
"1057","Luis Milla","Spain"
"1058","Jaime Seoane","Spain"
"1059","Ángel Algobia","Spain"
"1060","Ángel Algobia","Portugal"
"1061","Portu","Spain"
"1062","Enes Ünal","Turkey"
"1063","Borja Mayoral","Spain"
"1064","Munir El Haddadi","Morocco"
"1065","Munir El Haddadi","Spain"
"1066","Jaime Mata","Spain"
"1067","Juanmi Latasa","Spain"
"1068","Sergio Herrera","Spain"
"1069","Aitor Fernández","Spain"
"1070","Juan Pérez","Spain"
"1071","David García","Spain"
"1072","Unai García","Spain"
"1073","Aridane Hernández","Spain"
"1074","Manu Sánchez","Spain"
"1075","Juan Cruz","Spain"
"1076","Nacho Vidal","Spain"
"1077","Rubén Peña","Spain"
"1078","Lucas Torró","Spain"
"1079","Jon Moncayola","Spain"
"1080","Darko Brasanac","Serbia"
"1081","Pablo Ibáñez","Spain"
"1082","Aimar Oroz","Spain"
"1083","Roberto Torres","Spain"
"1084","Ez Abde","Morocco"
"1085","Ez Abde","Spain"
"1086","Moi Gómez","Spain"
"1087","Rubén García","Spain"
"1088","Kike Saverio","Ecuador"
"1089","Kike Saverio","Spain"
"1090","Kike Barja","Spain"
"1091","Chimy Ávila","Argentina"
"1092","Chimy Ávila","Spain"
"1093","Ante Budimir","Croatia"
"1094","Kike García","Spain"
"1095","Agustín Marchesín","Argentina"
"1096","Agustín Marchesín","Italy"
"1097","Iván Villar","Spain"
"1098","Joseph Aidoo","Ghana"
"1099","Unai Núñez","Spain"
"1100","Óscar Mingueza","Spain"
"1101","Carlos Domínguez","Spain"
"1102","Javi Galán","Spain"
"1103","Hugo Mallo","Spain"
"1104","Kevin Vázquez","Spain"
"1105","Renato Tapia","Peru"
"1106","Renato Tapia","Netherlands"
"1107","Fran Beltrán","Spain"
"1108","Williot Swedberg","Sweden"
"1109","Luca de la Torre","United"
"1110","Luca de la Torre","States"
"1111","Óscar Rodríguez","Spain"
"1112","Gabri Veiga","Spain"
"1113","Denis Suárez","Spain"
"1114","Franco Cervi","Argentina"
"1115","Franco Cervi","Italy"
"1116","Carles Pérez","Spain"
"1117","Augusto Solari","Argentina"
"1118","Augusto Solari","Italy"
"1119","Jörgen Strand Larsen","Norway"
"1120","Iago Aspas","Spain"
"1121","Gonçalo Paciência","Portugal"
"1122","Paulo Gazzaniga","Argentina"
"1123","Paulo Gazzaniga","Italy"
"1124","Juan Carlos","Spain"
"1125","Toni Fuidias","Spain"
"1126","Santiago Bueno","Uruguay"
"1127","Santiago Bueno","Italy"
"1128","David López","Spain"
"1129","Bernardo Espinosa","Colombia"
"1130","Bernardo Espinosa","Spain"
"1131","Juanpe","Spain"
"1132","Miguel Gutiérrez","Spain"
"1133","Javi Hernández","Spain"
"1134","Arnau Martínez","Spain"
"1135","Yan Couto","Brazil"
"1136","Yan Couto","Portugal"
"1137","Oriol Romeu","Spain"
"1138","Ramón Terrats","Spain"
"1139","Ibrahima Kébé","Mali"
"1140","Yangel Herrera","Venezuela"
"1141","Aleix García","Spain"
"1142","Reinier","Brazil"
"1143","Iván Martín","Spain"
"1144","Borja García","Spain"
"1145","Manu Vallejo","Spain"
"1146","Toni Villa","Spain"
"1147","Samu Saiz","Spain"
"1148","Rodrigo Riquelme","Spain"
"1149","Valery Fernández","Spain"
"1150","Taty Castellanos","Argentina"
"1151","Cristhian Stuani","Uruguay"
"1152","Cristhian Stuani","Italy"
"1153","Stole Dimitrievski","North"
"1154","Stole Dimitrievski","Macedonia"
"1155","Miguel Ángel Morro","Spain"
"1156","Diego López","Spain"
"1157","Alejandro Catena","Spain"
"1158","Florian Lejeune","France"
"1159","Abdul Mumin","Ghana"
"1160","Abdul Mumin","Nigeria"
"1161","Esteban Saveljich","Montenegro"
"1162","Esteban Saveljich","Argentina"
"1163","Mario Suárez","Spain"
"1164","Fran García","Spain"
"1165","Pep Chavarría","Spain"
"1166","Iván Balliu","Albania"
"1167","Iván Balliu","Spain"
"1168","Mario Hernández","Spain"
"1169","Pathé Ciss","Senegal"
"1170","Óscar Valentín","Spain"
"1171","Santi Comesaña","Spain"
"1172","Unai López","Spain"
"1173","Óscar Trejo","Argentina"
"1174","Óscar Trejo","Italy"
"1175","Randy Nteka","France"
"1176","Randy Nteka","Angola"
"1177","José Pozo","Spain"
"1178","Álvaro García","Spain"
"1179","Bebé","Cape"
"1180","Bebé","Verde"
"1181","Isi Palazón","Spain"
"1182","Salvi Sánchez","Spain"
"1183","Raúl de Tomás","Spain"
"1184","Raúl de Tomás","Dominican"
"1185","Sergio Camello","Spain"
"1186","Radamel Falcao","Colombia"
"1187","Andrés Martín","Spain"
"1188","Benjamin Lecomte","France"
"1189","Álvaro Fernández","Spain"
"1190","Joan García","Spain"
"1191","Leandro Cabrera","Uruguay"
"1192","Leandro Cabrera","Spain"
"1193","Fernando Calero","Spain"
"1194","Sergi Gómez","Spain"
"1195","Simo Keddari","Spain"
"1196","Simo Keddari","Algeria"
"1197","Adrià Pedrosa","Spain"
"1198","Brian Oliván","Spain"
"1199","Óscar Gil","Spain"
"1200","Aleix Vidal","Spain"
"1201","Omar El Hilali","Morocco"
"1202","Omar El Hilali","Spain"
"1203","Vinicius Souza","Brazil"
"1204","Sergi Darder","Spain"
"1205","Edu Expósito","Spain"
"1206","Keidi Bare","Albania"
"1207","Pol Lozano","Spain"
"1208","Javi Puado","Spain"
"1209","Nico Melamed","Spain"
"1210","Nico Melamed","Argentina"
"1211","José Carlos Lazo","Spain"
"1212","Joselu","Spain"
"1213","Martin Braithwaite","Denmark"
"1214","Dani Gómez","Spain"
"1215","Fernando Pacheco","Spain"
"1216","Fernando Martínez","Spain"
"1217","Diego Fuoli","Spain"
"1218","Kaiky","Brazil"
"1219","Rodrigo Ely","Brazil"
"1220","Rodrigo Ely","Italy"
"1221","Srdjan Babic","Serbia"
"1222","Srdjan Babic","Bosnia-Herzegovina"
"1223","Chumi","Spain"
"1224","Iván Martos","Spain"
"1225","Sergio Akieme","Spain"
"1226","Sergio Akieme","Equatorial"
"1227","Álex Centelles","Spain"
"1228","Alejandro Pozo","Spain"
"1229","Houboulang Mendes","Guinea-Bissau"
"1230","Houboulang Mendes","France"
"1231","Juanjo Nieto","Spain"
"1232","Samú Costa","Portugal"
"1233","Iñigo Eguaras","Spain"
"1234","Lucas Robertone","Argentina"
"1235","Lucas Robertone","Italy"
"1236","Gonzalo Melero","Spain"
"1237","Arnau Puigmal","Spain"
"1238","Gui Guedes","Portugal"
"1239","César de la Hoz","Spain"
"1240","Largie Ramazani","Belgium"
"1241","Largie Ramazani","Burundi"
"1242","Lázaro","Brazil"
"1243","Adrián Embarba","Spain"
"1244","Francisco Portillo","Spain"
"1245","Léo Baptistão","Brazil"
"1246","Léo Baptistão","Spain"
"1247","El Bilal Touré","Mali"
"1248","El Bilal Touré","Cote"
"1249","Marko Milovanovic","Serbia"
"1250","Dyego Sousa","Portugal"
"1251","Dyego Sousa","Brazil"
"1252","Predrag Rajković","Serbia"
"1253","Dominik Greif","Slovakia"
"1254","Leo Román","Spain"
"1255","Martin Valjent","Slovakia"
"1256","Antonio Raíllo","Spain"
"1257","José Copete","Spain"
"1258","Matija Nastasić","Serbia"
"1259","Franco Russo","Argentina"
"1260","Franco Russo","Italy"
"1261","Braian Cufré","Argentina"
"1262","Jaume Costa","Spain"
"1263","Pablo Maffeo","Spain"
"1264","Giovanni González","Uruguay"
"1265","Giovanni González","Italy"
"1266","Rodrigo Battaglia","Argentina"
"1267","Rodrigo Battaglia","Italy"
"1268","Iddrisu Baba","Ghana"
"1269","Iddrisu Baba","Spain"
"1270","Iñigo Ruiz de Galarreta","Spain"
"1271","Antonio Sánchez","Spain"
"1272","Clément Grenier","France"
"1273","Kang-in Lee","Korea,"
"1274","Kang-in Lee","South"
"1275","Dani Rodríguez","Spain"
"1276","Amath Ndiaye","Senegal"
"1277","Amath Ndiaye","Spain"
"1278","Lago Júnior","Cote"
"1279","Lago Júnior","d'Ivoire"
"1280","Vedat Muriqi","Kosovo"
"1281","Vedat Muriqi","Albania"
"1282","Tino Kadewere","Zimbabwe"
"1283","Abdón Prats","Spain"
"1284","Ángel Rodríguez","Spain"
"1285","Jeremías Ledesma","Argentina"
"1286","Jeremías Ledesma","Italy"
"1287","David Gil","Spain"
"1288","Víctor Chust","Spain"
"1289","Fali","Spain"
"1290","Luis Hernández","Spain"
"1291","Juan Cala","Spain"
"1292","Momo Mbaye","Senegal"
"1293","Alfonso Espino","Uruguay"
"1294","Alfonso Espino","Spain"
"1295","Santiago Arzamendia","Paraguay"
"1296","Santiago Arzamendia","Argentina"
"1297","Joseba Zaldua","Spain"
"1298","Iza Carcelén","Spain"
"1299","Antonio Blanco","Spain"
"1300","Tomás Alarcón","Chile"
"1301","José Mari","Spain"
"1302","Jon Ander Garrido","Spain"
"1303","Rubén Alcaraz","Spain"
"1304","Fede San Emeterio","Spain"
"1305","Álex Fernández","Spain"
"1306","Théo Bongonda","DR"
"1307","Théo Bongonda","Congo"
"1308","Awer Mabil","Australia"
"1309","Awer Mabil","Southern"
"1310","Brian Ocampo","Uruguay"
"1311","Iván Alejo","Spain"
"1312","Choco Lozano","Honduras"
"1313","Choco Lozano","Spain"
"1314","Rubén Sobrino","Spain"
"1315","Lucas Pérez","Spain"
"1316","Álvaro Negredo","Spain"
"1317","Álvaro Giménez","Spain"
"1318","Sergio Asenjo","Spain"
"1319","Jordi Masip","Spain"
"1320","Javi Sánchez","Spain"
"1321","Joaquín Fernández","Spain"
"1322","Zouhair Feddal","Morocco"
"1323","Zouhair Feddal","Spain"
"1324","Jawad El Yamiq","Morocco"
"1325","Lucas Olaza","Uruguay"
"1326","Lucas Olaza","Spain"
"1327","Sergio Escudero","Spain"
"1328","Luis Pérez","Spain"
"1329","Iván Fresneda","Spain"
"1330","Lucas Rosa","Brazil"
"1331","Lucas Rosa","Italy"
"1332","Mickaël Malsa","Martinique"
"1333","Mickaël Malsa","France"
"1334","Monchu","Spain"
"1335","Kike Pérez","Spain"
"1336","Álvaro Aguado","Spain"
"1337","Roque Mesa","Spain"
"1338","Anuar","Morocco"
"1339","Anuar","Spain"
"1340","Kenedy","Brazil"
"1341","Gonzalo Plata","Ecuador"
"1342","Óscar Plano","Spain"
"1343","Iván Sánchez","Spain"
"1344","Shon Weissman","Israel"
"1345","Shon Weissman","Portugal"
"1346","Sergi Guardiola","Spain"
"1347","Sergio León","Spain"
"1348","Juanjo Narváez","Colombia"
"1349","Juanjo Narváez","Spain"
"1350","Édgar Badía","Spain"
"1351","Axel Werner","Argentina"
"1352","Axel Werner","Italy"
"1353","Enzo Roco","Chile"
"1354","Diego González","Spain"
"1355","Federico Fernández","Argentina"
"1356","Federico Fernández","Italy"
"1357","Pedro Bigas","Spain"
"1358","Gonzalo Verdú","Spain"
"1359","John Nwankwo","Spain"
"1360","John Nwankwo","Nigeria"
"1361","Nicolás Fernández Mercau","Argentina"
"1362","Carlos Clerc","Spain"
"1363","Pol Lirola","Spain"
"1364","Helibelton Palacios","Colombia"
"1365","Omar Mascarell","Spain"
"1366","Omar Mascarell","Equatorial"
"1367","Gerard Gumbau","Spain"
"1368","Raúl Guti","Spain"
"1369","Domingos Quina","Portugal"
"1370","Domingos Quina","Guinea-Bissau"
"1371","Javier Pastore","Argentina"
"1372","Javier Pastore","Italy"
"1373","Pere Milla","Spain"
"1374","Tete Morente","Spain"
"1375","Fidel","Spain"
"1376","Álex Collado","Spain"
"1377","Josan","Spain"
"1378","Lucas Boyé","Argentina"
"1379","Lucas Boyé","Italy"
"1380","Ezequiel Ponce","Argentina"
"1381","Ezequiel Ponce","Spain"
"1382","Roger Martí","Spain"
"1383","Gianluigi Donnarumma","Italy"
"1384","Keylor Navas","Costa"
"1385","Keylor Navas","Rica"
"1386","Sergio Rico","Spain"
"1387","Alexandre Letellier","France"
"1388","Lucas Lavallée","France"
"1389","Marquinhos","Brazil"
"1390","Marquinhos","Portugal"
"1391","Presnel Kimpembe","France"
"1392","Presnel Kimpembe","DR"
"1393","Sergio Ramos","Spain"
"1394","El Chadaille Bitshiabu","France"
"1395","El Chadaille Bitshiabu","DR"
"1396","Nuno Mendes","Portugal"
"1397","Juan Bernat","Spain"
"1398","Achraf Hakimi","Morocco"
"1399","Achraf Hakimi","Spain"
"1400","Nordi Mukiele","France"
"1401","Nordi Mukiele","DR"
"1402","Timothée Pembélé","France"
"1403","Timothée Pembélé","DR"
"1404","Danilo Pereira","Portugal"
"1405","Danilo Pereira","Guinea-Bissau"
"1406","Warren Zaïre-Emery","France"
"1407","Warren Zaïre-Emery","Martinique"
"1408","Marco Verratti","Italy"
"1409","Fabián Ruiz","Spain"
"1410","Vitinha","Portugal"
"1411","Carlos Soler","Spain"
"1412","Renato Sanches","Portugal"
"1413","Renato Sanches","Sao"
"1414","Ayman Kari","France"
"1415","Ayman Kari","Comoros"
"1416","Ismaël Gharbi","Spain"
"1417","Ismaël Gharbi","France"
"1418","Neymar","Brazil"
"1419","Lionel Messi","Argentina"
"1420","Lionel Messi","Spain"
"1421","Pablo Sarabia","Spain"
"1422","Kylian Mbappé","France"
"1423","Hugo Ekitiké","France"
"1424","Hugo Ekitiké","Cameroon"
"1425","Alexander Nübel","Germany"
"1426","Thomas Didillon","France"
"1427","Yann Lienard","France"
"1428","Benoît Badiashile","France"
"1429","Benoît Badiashile","DR"
"1430","Axel Disasi","France"
"1431","Axel Disasi","DR"
"1432","Guillermo Maripán","Chile"
"1433","Malang Sarr","France"
"1434","Malang Sarr","Senegal"
"1435","Yllan Okou","France"
"1436","Yllan Okou","Cote"
"1437","Caio Henrique","Brazil"
"1438","Caio Henrique","Spain"
"1439","Ismail Jakobs","Senegal"
"1440","Ismail Jakobs","Germany"
"1441","Vanderson","Brazil"
"1442","Ruben Aguilar","France"
"1443","Ruben Aguilar","Spain"
"1444","Mohamed Camara","Mali"
"1445","Soungoutou Magassa","France"
"1446","Soungoutou Magassa","Mali"
"1447","Youssouf Fofana","France"
"1448","Youssouf Fofana","Mali"
"1449","Jean Lucas","Brazil"
"1450","Eliot Matazo","Belgium"
"1451","Eliot Matazo","DR"
"1452","Félix Lemaréchal","France"
"1453","Félix Lemaréchal","Cote"
"1454","Aleksandr Golovin","Russia"
"1455","Maghnes Akliouche","France"
"1456","Maghnes Akliouche","Algeria"
"1457","Takumi Minamino","Japan"
"1458","Willem Geubbels","France"
"1459","Willem Geubbels","Netherlands"
"1460","Krépin Diatta","Senegal"
"1461","Gelson Martins","Portugal"
"1462","Gelson Martins","Cape"
"1463","Wissam Ben Yedder","France"
"1464","Wissam Ben Yedder","Tunisia"
"1465","Breel Embolo","Switzerland"
"1466","Breel Embolo","Cameroon"
"1467","Kevin Volland","Germany"
"1468","Myron Boadu","Netherlands"
"1469","Myron Boadu","Ghana"
"1470","Dogan Alemdar","Turkey"
"1471","Alfred Gomis","Senegal"
"1472","Alfred Gomis","Italy"
"1473","Steve Mandanda","France"
"1474","Steve Mandanda","DR"
"1475","Romain Salin","France"
"1476","Elias Damergy","Tunisia"
"1477","Elias Damergy","France"
"1478","Arthur Theate","Belgium"
"1479","Joe Rodon","Wales"
"1480","Warmed Omari","France"
"1481","Warmed Omari","Comoros"
"1482","Christopher Wooh","Cameroon"
"1483","Christopher Wooh","France"
"1484","Jeanuël Belocian","France"
"1485","Jeanuël Belocian","Guadeloupe"
"1486","Adrien Truffert","France"
"1487","Birger Meling","Norway"
"1488","Hamari Traoré","Mali"
"1489","Lorenz Assignon","France"
"1490","Lorenz Assignon","Togo"
"1491","Guéla Doué","France"
"1492","Guéla Doué","Cote"
"1493","Lesley Ugochukwu","France"
"1494","Lesley Ugochukwu","Nigeria"
"1495","Noah Françoise","France"
"1496","Noah Françoise","Senegal"
"1497","Baptiste Santamaria","France"
"1498","Flavien Tait","France"
"1499","Xeka","Portugal"
"1500","Benjamin Bourigeaud","France"
"1501","Lovro Majer","Croatia"
"1502","Désiré Doué","France"
"1503","Désiré Doué","Cote"
"1504","Martin Terrier","France"
"1505","Kamaldeen Sulemana","Ghana"
"1506","Jérémy Doku","Belgium"
"1507","Jérémy Doku","Ghana"
"1508","Amine Gouiri","France"
"1509","Amine Gouiri","Algeria"
"1510","Arnaud Kalimuendo","France"
"1511","Arnaud Kalimuendo","DR"
"1512","Matthis Abline","France"
"1513","Anthony Lopes","Portugal"
"1514","Anthony Lopes","France"
"1515","Julian Pollersbeck","Germany"
"1516","Rémy Riou","France"
"1517","Kayne Bonnevie","France"
"1518","Kayne Bonnevie","French"
"1519","Castello Lukeba","France"
"1520","Castello Lukeba","Angola"
"1521","Sinaly Diomandé","Cote"
"1522","Sinaly Diomandé","d'Ivoire"
"1523","Jérôme Boateng","Germany"
"1524","Damien Da Silva","France"
"1525","Damien Da Silva","Portugal"
"1526","Nicolás Tagliafico","Argentina"
"1527","Nicolás Tagliafico","Italy"
"1528","Henrique Silva","Brazil"
"1529","Malo Gusto","France"
"1530","Malo Gusto","Portugal"
"1531","Saël Kumbedi","France"
"1532","Johann Lepenant","France"
"1533","Thiago Mendes","Brazil"
"1534","Maxence Caqueret","France"
"1535","Houssem Aouar","France"
"1536","Houssem Aouar","Algeria"
"1537","Corentin Tolisso","France"
"1538","Corentin Tolisso","Togo"
"1539","Mohamed El Arouch","France"
"1540","Mohamed El Arouch","Morocco"
"1541","Florent Sanchez","France"
"1542","Florent Sanchez","Spain"
"1543","Romain Faivre","France"
"1544","Romain Faivre","Algeria"
"1545","Jeff Reine-Adélaïde","France"
"1546","Jeff Reine-Adélaïde","Martinique"
"1547","Karl Toko Ekambi","Cameroon"
"1548","Karl Toko Ekambi","France"
"1549","Bradley Barcola","France"
"1550","Bradley Barcola","Togo"
"1551","Tetê","Brazil"
"1552","Rayan Cherki","France"
"1553","Rayan Cherki","Algeria"
"1554","Moussa Dembélé","France"
"1555","Moussa Dembélé","Mali"
"1556","Alexandre Lacazette","France"
"1557","Alexandre Lacazette","Guadeloupe"
"1558","Pau López","Spain"
"1559","Rubén Blanco","Spain"
"1560","Simon Ngapandouetnbu","Cameroon"
"1561","Simon Ngapandouetnbu","France"
"1562","Jelle Van Neck","Belgium"
"1563","Chancel Mbemba","DR"
"1564","Chancel Mbemba","Congo"
"1565","Samuel Gigot","France"
"1566","Leonardo Balerdi","Argentina"
"1567","Leonardo Balerdi","Italy"
"1568","Eric Bailly","Cote"
"1569","Eric Bailly","d'Ivoire"
"1570","Isaak Touré","France"
"1571","Isaak Touré","Cote"
"1572","Sead Kolasinac","Bosnia-Herzegovina"
"1573","Sead Kolasinac","Germany"
"1574","Issa Kaboré","Burkina"
"1575","Issa Kaboré","Faso"
"1576","Pape Gueye","Senegal"
"1577","Pape Gueye","France"
"1578","Bartug Elmaz","Turkey"
"1579","Mattéo Guendouzi","France"
"1580","Mattéo Guendouzi","Morocco"
"1581","Valentin Rongier","France"
"1582","Jordan Veretout","France"
"1583","Jonathan Clauss","France"
"1584","Nuno Tavares","Portugal"
"1585","Nuno Tavares","Cape"
"1586","Gerson","Brazil"
"1587","Amine Harit","Morocco"
"1588","Amine Harit","France"
"1589","Dimitri Payet","France"
"1590","Dimitri Payet","Réunion"
"1591","Salim Ben Seghir","France"
"1592","Salim Ben Seghir","Morocco"
"1593","Cengiz Ünder","Turkey"
"1594","Luis Suárez","Colombia"
"1595","Luis Suárez","Spain"
"1596","Bamba Dieng","Senegal"
"1597","Alexis Sánchez","Chile"
"1598","Aylan Benyahia-Tani","France"
"1599","Aylan Benyahia-Tani","Algeria"
"1600","Kasper Schmeichel","Denmark"
"1601","Marcin Bulka","Poland"
"1602","Teddy Boulhendi","Algeria"
"1603","Teddy Boulhendi","France"
"1604","Jean-Clair Todibo","France"
"1605","Jean-Clair Todibo","French"
"1606","Mattia Viti","Italy"
