"","player_name","citizenship"
"189","Clément Lenglet","France"
"190","Japhet Tanganga","England"
"191","Japhet Tanganga","DR"
"192","Ben Davies","Wales"
"193","Emerson Royal","Brazil"
"194","Emerson Royal","Spain"
"195","Djed Spence","England"
"196","Djed Spence","Jamaica"
"197","Matt Doherty","Ireland"
"198","Oliver Skipp","England"
"199","Pierre-Emile Höjbjerg","Denmark"
"200","Pierre-Emile Höjbjerg","France"
"201","Rodrigo Bentancur","Uruguay"
"202","Yves Bissouma","Mali"
"203","Yves Bissouma","Cote"
"204","Pape Matar Sarr","Senegal"
"205","Ryan Sessegnon","England"
"206","Ivan Perisic","Croatia"
"207","Heung-min Son","Korea,"
"208","Heung-min Son","South"
"209","Bryan Gil","Spain"
"210","Dejan Kulusevski","Sweden"
"211","Dejan Kulusevski","North"
"212","Lucas Moura","Brazil"
"213","Harry Kane","England"
"214","Richarlison","Brazil"
"215","Emiliano Martínez","Argentina"
"216","Emiliano Martínez","Spain"
"217","Robin Olsen","Sweden"
"218","Robin Olsen","Denmark"
"219","Jed Steer","England"
"220","Jed Steer","Scotland"
"221","Diego Carlos","Brazil"
"222","Diego Carlos","Spain"
"223","Tyrone Mings","England"
"224","Ezri Konsa","England"
"225","Ezri Konsa","DR"
"226","Jan Bednarek","Poland"
"227","Calum Chambers","England"
"228","Lucas Digne","France"
"229","Ludwig Augustinsson","Sweden"
"230","Ashley Young","England"
"231","Ashley Young","Jamaica"
"232","Matty Cash","Poland"
"233","Matty Cash","England"
"234","Frédéric Guilbert","France"
"235","Douglas Luiz","Brazil"
"236","Boubacar Kamara","France"
"237","Boubacar Kamara","Senegal"
"238","Leander Dendoncker","Belgium"
"239","Marvelous Nakamba","Zimbabwe"
"240","John McGinn","Scotland"
"241","Jacob Ramsey","England"
"242","Morgan Sanson","France"
"243","Leon Bailey","Jamaica"
"244","Philippe Coutinho","Brazil"
"245","Philippe Coutinho","Portugal"
"246","Emiliano Buendía","Argentina"
"247","Emiliano Buendía","Spain"
"248","Ollie Watkins","England"
"249","Danny Ings","England"
"250","Cameron Archer","England"
"251","Cameron Archer","Jamaica"
"252","Alphonse Areola","France"
"253","Alphonse Areola","Philippines"
"254","Lukasz Fabianski","Poland"
"255","Darren Randolph","Ireland"
"256","Darren Randolph","United"
"257","Kurt Zouma","France"
"258","Kurt Zouma","Central"
"259","Nayef Aguerd","Morocco"
"260","Thilo Kehrer","Germany"
"261","Thilo Kehrer","Burundi"
"262","Craig Dawson","England"
"263","Angelo Ogbonna","Italy"
"264","Angelo Ogbonna","Nigeria"
"265","Emerson","Italy"
"266","Emerson","Brazil"
"267","Aaron Cresswell","England"
"268","Ben Johnson","England"
"269","Vladimir Coufal","Czech"
"270","Vladimir Coufal","Republic"
"271","Declan Rice","England"
"272","Declan Rice","Ireland"
"273","Tomas Soucek","Czech"
"274","Tomas Soucek","Republic"
"275","Conor Coventry","Ireland"
"276","Conor Coventry","England"
"277","Flynn Downes","England"
"278","Lucas Paquetá","Brazil"
"279","Lucas Paquetá","Portugal"
"280","Pablo Fornals","Spain"
"281","Manuel Lanzini","Argentina"
"282","Manuel Lanzini","Italy"
"283","Saïd Benrahma","Algeria"
"284","Saïd Benrahma","France"
"285","Maxwel Cornet","Cote"
"286","Maxwel Cornet","d'Ivoire"
"287","Jarrod Bowen","England"
"288","Gianluca Scamacca","Italy"
"289","Michail Antonio","Jamaica"
"290","Michail Antonio","England"
"291","Nick Pope","England"
"292","Karl Darlow","England"
"293","Karl Darlow","Wales"
"294","Loris Karius","Germany"
"295","Mark Gillespie","England"
"296","Sven Botman","Netherlands"
"297","Dan Burn","England"
"298","Fabian Schär","Switzerland"
"299","Jamaal Lascelles","England"
"300","Jamaal Lascelles","Barbados"
"301","Matt Targett","England"
"302","Matt Targett","Scotland"
"303","Jamal Lewis","Northern"
"304","Jamal Lewis","Ireland"
"305","Paul Dummett","Wales"
"306","Paul Dummett","England"
"307","Kieran Trippier","England"
"308","Emil Krafth","Sweden"
"309","Javier Manquillo","Spain"
"310","Bruno Guimarães","Brazil"
"311","Bruno Guimarães","Spain"
"312","Joe Willock","England"
"313","Joe Willock","Montserrat"
"314","Sean Longstaff","England"
"315","Jonjo Shelvey","England"
"316","Jonjo Shelvey","Ireland"
"317","Matt Ritchie","Scotland"
"318","Matt Ritchie","England"
"319","Joelinton","Brazil"
"320","Miguel Almirón","Paraguay"
"321","Elliot Anderson","Scotland"
"322","Elliot Anderson","England"
"323","Allan Saint-Maximin","France"
"324","Allan Saint-Maximin","Guadeloupe"
"325","Ryan Fraser","Scotland"
"326","Jacob Murphy","England"
"327","Alexander Isak","Sweden"
"328","Alexander Isak","Eritrea"
"329","Callum Wilson","England"
"330","Chris Wood","New"
"331","Chris Wood","Zealand"
"332","Danny Ward","Wales"
"333","Daniel Iversen","Denmark"
"334","Alex Smithies","England"
"335","Caglar Söyüncü","Turkey"
"336","Wout Faes","Belgium"
"337","Daniel Amartey","Ghana"
"338","Jannik Vestergaard","Denmark"
"339","Jannik Vestergaard","Germany"
"340","Jonny Evans","Northern"
"341","Jonny Evans","Ireland"
"342","Luke Thomas","England"
"343","Ryan Bertrand","England"
