"","Player","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"645","Diego Demme",22,47,47,300,747,174,23,23,NA,15,15,300,7,7,300,0,0,0,0,5,1,0,4
"646","Diego Godín",151,87,103,167.6,1827,515,26,32,179.3,47,54,169.5,13,16,178.6,0,0,0,0,7,0,0,3
"647","Diego González",327,107,136,450.7,2299,951,26,32,NA,57,63,521.2,20,36,312.2,0,0,0,0,8,1,0,2
"648","Diego Llorente",630,348,419,573.9,6829,2242,115,127,627.9,198,221,613.5,33,59,406.4,0,0,0,0,17,0,0,19
"649","Diego López",90,22,29,75.9,462,309,7,8,87.5,11,11,100,4,10,40,0,0,0,0,0,0,0,0
"650","Diego Noguerol",10,3,3,100,28,0,3,3,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"651","Diego Rico",594,266,358,510.3,4272,1753,140,159,604,100,138,507,18,42,298.2,0,0.6,0.7,5,18,9,4,13
"652","Diego Valencia",144,33,45,NA,514,123,21,26,NA,6,10,NA,4,4,NA,0,0.1,0,2,1,1,1,0
"653","Dijon Kameri",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"654","Dimitri Foulquier",287,85,121,613.9,1433,531,40,52,650.5,38,50,574.8,6,13,NA,1,0.5,0.6,2,11,4,3,10
"655","Dimitri Liénard",744,383,506,972.8,6933,2067,163,188,1130,157,191,1001.1,49,106,NA,0,0.9,0.9,13,26,15,6,33
"656","Dimitri Payet",544,228,313,1023.8,3961,1330,109,135,1111.8,88,112,NA,24,46,NA,3,2.8,2.3,21,27,15,1,36
"657","Dimitris Nikolaou",1149,535,666,1042.6,9750,4078,235,251,NA,237,268,1153.8,54,125,NA,0,0.5,0.3,4,47,2,1,39
"658","Dino Perić",540,260,304,508.9,4370,1807,117,129,543,124,144,511.1,14,24,325,0,0.2,0.3,2,5,2,0,14
"659","Diogo Costa",720,239,336,580.3,6938,4746,34,34,800,113,114,793.3,91,182,394,1,0.2,0,1,7,0,0,0
"660","Diogo Dalot",1165,571,743,990.7,10230,3385,250,286,1126.8,246,301,1046.7,63,114,729.3,1,1.4,1.1,20,48,20,11,30
"661","Diogo Gonçalves",40,14,19,310,191,53,11,12,366.7,2,3,NA,1,3,NA,0,0,0.1,0,0,2,0,2
"662","Diogo Jota",376,93,133,556.3,1277,462,49,67,578.3,30,39,625.7,4,9,NA,5,2,0.6,18,10,6,2,15
"663","Diogo Leite",1098,544,681,1024.4,11550,4188,155,188,1087.2,302,337,1149.2,83,138,690.3,1,0.3,0.3,4,56,2,0,45
"664","Dion Lopy",604,223,269,894.3,4082,978,92,111,886.2,95,107,980.4,29,41,NA,0,0.6,0.3,6,28,1,0,27
"665","Divock Origi",510,69,105,872.1,905,251,39,51,NA,20,33,NA,2,6,NA,1,0.7,0.2,7,5,3,0,7
"666","Djed Spence",4,3,5,NA,39,0,2,2,NA,1,1,NA,0,0,NA,0,0,0,0,0,0,0,0
"667","Djené",1002,326,389,990.8,6309,2603,119,128,NA,161,174,1093.2,42,74,721.3,0,0.1,0.2,1,22,3,2,18
"668","Djibril Sow",1854,915,1074,1944.2,15283,4812,420,466,1993.4,412,456,2076,63,95,NA,0,1.1,0.8,18,91,16,2,100
"669","Djorkaeff Reasco",27,2,2,100,21,9,2,2,100,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0
"670","Dmytro Kryskiv",10,4,4,100,73,12,1,1,100,3,3,100,0,0,NA,0,0,0,0,1,0,0,1
"671","Dodi Lukebakio",1258,222,330,1008.6,3433,802,126,169,1137.7,54,82,985.2,27,46,NA,1,2.5,3,13,8,14,4,16
"672","Dodô",868,501,598,1011.6,8719,2414,229,248,1100.6,219,259,1024.7,46,71,756.7,1,0.3,0.5,6,30,10,1,41
"673","Doğan Alemdar",225,49,72,223.5,1486,1243,10,10,300,23,23,300,16,38,NA,0,0,0,0,2,0,0,0
"674","Dolev Haziz",211,101,140,219.5,1569,461,57,63,271.3,32,46,210.5,8,17,133.4,1,0.3,0.5,3,6,4,2,6
"675","Domagoj Bradarić",501,205,262,811.1,3222,779,106,117,920.1,83,96,871.5,11,36,NA,1,1.1,0.9,5,8,5,3,11
"676","Domenico Berardi",384,135,195,509.1,2672,610,60,72,NA,52,71,548,21,43,407.8,0,0.7,1,10,7,15,2,20
"677","Domingos André Ribeiro Almeida",706,287,349,899.8,4369,1466,158,173,972.1,94,110,955.2,20,40,NA,2,1.2,1.1,10,34,13,3,31
"678","Domingos Duarte",1125,320,403,1030.2,6646,2641,104,127,1039.5,157,185,1117.4,55,83,926.9,2,0.7,0,3,25,0,0,22
"679","Domingos Quina",268,116,141,745.8,2048,654,52,58,815.5,53,59,792.5,9,14,NA,0,0.4,0.5,3,16,4,1,13
"680","Dominic Calvert-Lewin",339,39,66,383.5,400,79,23,37,441.7,7,14,NA,1,3,NA,0,0.2,0.1,1,1,0,0,2
"681","Dominic Solanke",1071,133,185,918,1764,395,84,104,1079.9,37,47,NA,7,9,NA,3,1.1,0.8,7,7,5,0,13
"682","Dominick Drexler",726,161,250,777,2485,812,77,114,776.1,52,74,NA,14,22,NA,3,1.4,0.8,10,19,10,3,22
"683","Dominik Kohr",1175,440,609,1003.2,7124,2412,215,263,1154.2,180,235,1038.8,28,73,489.5,0,0.3,0.4,8,59,5,0,55
"684","Dominik Livaković",720,213,299,582.2,5876,4406,45,45,800,98,99,794.1,69,154,423.2,0,0,0,0,3,0,0,0
"685","Dominik Szoboszlai",1438,717,890,1516.9,11951,3242,380,434,1667,227,273,1586.6,81,121,NA,9,5.8,5.4,44,56,28,2,79
"686","Dominique Heintz",341,103,118,349.2,2075,603,36,39,367.1,52,54,389,14,24,213.6,0,0,0,0,5,1,0,6
"687","Donny van de Beek",87,25,29,371.3,243,49,19,20,390,3,3,NA,0,0,NA,0,0,0,1,0,2,0,3
"688","Donyell Malen",905,207,289,1081.6,3026,797,120,140,1302.8,60,84,NA,15,37,NA,1,1.6,2.2,14,17,11,4,14
"689","Douglas Luiz",930,441,548,1136.5,7792,2054,182,209,1206.2,194,224,1225.1,44,86,692.3,2,1.4,0.6,13,30,5,2,29
"690","Dries Mertens",31,10,16,62.5,129,50,8,11,72.7,1,1,100,1,3,33.3,0,0,0,1,0,0,0,1
"691","Duccio Degli Innocenti",3,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"692","Duje Ćaleta-Car",494,226,265,686,4496,1499,69,74,NA,129,137,725.3,27,47,NA,0,0,0.1,1,7,0,0,11
"693","Dušan Tadić",612,223,300,503.5,3707,1164,104,128,569,98,115,537.7,15,35,280,2,1.9,2.2,15,15,20,4,29
"694","Dušan Vlahović",1285,192,272,1121.1,3294,522,89,117,1218.1,76,95,1310.4,18,29,NA,2,1.8,0.4,12,18,9,1,21
"695","Duván Zapata",510,96,146,547.5,1473,287,50,72,580.1,37,50,NA,6,10,NA,0,0,0.2,3,5,4,0,10
"696","Dwight McNeil",734,215,293,1085.7,3400,917,122,148,1223.9,63,77,NA,23,46,NA,0,1.2,1.2,10,13,9,2,17
"697","Dyego Sousa",306,64,92,703.2,856,196,34,48,704.5,25,30,NA,1,4,NA,1,0.8,0.6,5,0,3,0,7
"698","Dylan Batubinsika",450,174,198,440.1,3190,1074,67,71,476.4,92,100,467.3,13,22,246.4,0,0,0.1,0,6,0,0,6
"699","Dylan Bronn",1140,592,714,1380.6,10928,4268,234,258,NA,291,322,NA,59,108,909.3,0,0.3,0.7,5,47,4,1,48
"700","Eberechi Eze",1139,422,530,1113.8,6596,1837,248,276,1270.9,124,149,1167.6,35,76,628.1,3,2,1.4,24,41,12,1,35
"701","Eddie Nketiah",152,42,50,1033.5,633,88,26,29,NA,14,15,NA,2,4,NA,0,0.1,0,3,1,2,0,4
"702","Eden Hazard",351,165,191,686.7,2133,413,104,115,698.9,41,47,729.2,6,7,NA,0,0.4,0.4,9,11,3,0,11
"703","Éder Álvarez Balanta",50,13,17,233.3,197,53,6,8,300,5,7,NA,1,1,NA,0,0,0,1,1,1,0,1
"704","Éder Militão",1300,757,855,1502.4,13907,4901,315,329,1632.4,344,370,1586.2,77,124,1142.6,0,0.3,0.1,4,44,1,0,25
"705","Ederson",1620,575,654,1601.6,13798,8733,117,119,1763.9,313,315,1791.1,144,218,1218.8,1,0.2,0.2,1,3,0,0,0
"706","Éderson",740,228,295,989.4,3798,1053,111,129,1110.4,86,107,1036.4,20,31,NA,0,1.4,1,10,15,7,2,16
"707","Édgar Badía",1260,315,431,1042.5,10178,7980,33,34,NA,145,151,1354.7,136,244,809.4,0,0,0,0,9,0,0,0
"708","Édgar González",845,382,433,944.6,7001,2686,159,172,NA,183,199,968.6,37,53,NA,0,0,0,1,6,0,0,12
"709","Edimilson Fernandes",851,321,440,1030.4,6582,2469,127,140,1275.1,129,161,1015.8,57,114,NA,1,0.6,0.6,7,23,7,3,19
"710","Edin Džeko",1306,267,378,1476.9,4663,1154,126,164,1604.3,99,133,1541.5,31,47,NA,3,2.8,2.3,17,31,13,0,38
"711","Edinson Cavani",529,99,132,689.6,1726,289,53,69,699.4,29,40,642.3,14,16,NA,1,0.9,0.3,7,7,3,0,8
"712","Edmond Tapsoba",1661,1121,1283,1750.7,21476,8701,413,452,1818.1,561,601,1874.2,138,209,1349.5,0,1,1,5,79,6,0,71
"713","Edoardo Bove",47,16,20,NA,235,56,13,16,NA,1,1,NA,2,3,NA,0,0,0,0,0,1,0,2
"714","Edon Zhegrova",234,96,120,524.4,1298,298,61,68,NA,25,33,NA,6,10,NA,0,0.3,0.3,1,3,6,1,8
"715","Edouard Mendy",1125,304,387,1030.9,7339,4832,94,94,1300,126,127,1293.3,79,161,729.4,0,0,0,1,5,0,0,0
"716","Edson Álvarez",621,357,423,583.3,6796,1542,128,150,596.1,187,201,643.6,39,61,368.3,0,0.3,0.5,3,29,3,0,17
"717","Edu Expósito",772,231,315,957.4,4159,1107,90,108,1062.5,107,131,1040.3,24,53,687.1,2,1.8,1.2,14,27,10,1,28
"718","Eduard Sobol",109,43,59,307.8,685,347,21,25,NA,15,21,275.9,4,8,NA,0,0,0,1,3,2,1,6
"719","Eduardo Camavinga",813,503,558,1725.7,7878,1909,266,288,NA,192,208,1745.2,33,39,NA,0,0.5,0.6,10,57,6,2,45
"720","Eduardo Simões",88,60,68,372.1,1119,317,21,24,366.7,36,39,NA,3,5,NA,0,0,0,0,5,1,0,9
"721","Ehsan Hajsafi",237,60,97,184.4,1078,451,23,36,191.5,26,30,253.2,6,23,71,0,0.2,0.3,2,6,1,0,6
"722","El Bilal Touré",659,83,123,NA,1046,130,57,77,NA,22,32,NA,0,1,NA,1,0.4,0.3,6,3,2,0,4
"723","El Chadaille Bitshiabu",8,8,8,100,168,67,3,3,100,4,4,100,1,1,100,0,0,0,0,1,0,0,0
"724","Elba Rashani",766,205,289,NA,2935,686,111,131,NA,76,98,NA,6,26,NA,1,1.2,0.5,6,10,4,1,16
"725","Eldor Shomurodov",119,25,33,411.5,371,69,15,19,NA,9,11,NA,1,1,NA,0,0,0,0,0,1,0,2
"726","Elias Jelert",192,72,90,314.7,1168,359,36,40,345,31,40,306.5,3,5,NA,0,0.1,0,1,4,1,0,4
"727","Elif Elmas",675,314,367,1594.1,3959,881,207,229,NA,67,85,NA,13,17,NA,1,0.4,0.5,11,18,7,1,19
"728","Eliot Matazo",355,106,131,NA,1923,469,42,52,NA,52,60,NA,10,14,NA,0,0,0,0,12,1,0,14
"729","Elliot Anderson",103,36,50,360,577,214,19,23,NA,14,18,NA,2,2,NA,0,0.5,0.6,3,6,1,0,3
"730","Ellyes Skhiri",1530,757,864,1485,13737,4365,298,325,1565.3,372,409,1548.7,78,95,1378.2,0,0.9,0.6,18,65,7,1,65
"731","Elseid Hysaj",385,243,286,972.6,3370,1482,151,164,1098.4,77,92,985.2,8,19,NA,1,0.3,0.1,4,18,3,1,13
"732","Elvis Rexhbeçaj",1219,217,373,810.3,3700,1445,97,140,961.5,89,136,888.1,21,60,507.8,0,0.5,0.2,4,31,5,1,35
"733","Emanuel Aiwum",967,379,492,997,6472,2404,176,193,1176,167,208,NA,28,65,NA,0,0.3,0.7,3,33,7,1,26
"734","Emanuel Vignato",242,79,99,629.5,1201,338,40,48,701.4,29,34,NA,5,8,NA,1,0.3,0.5,3,9,2,1,5
"735","Emanuele Valeri",1003,228,410,824.2,4108,2021,99,125,1137.2,88,148,895.4,31,90,NA,0,0.9,1,15,18,21,10,27
"736","Emerson",1283,609,778,1373.2,9837,2806,309,353,1552,237,283,1408.9,41,72,NA,1,0.5,0.8,8,41,14,4,48
"737","Emerson Palmieri",224,98,123,560.7,1363,455,65,71,618.4,21,28,NA,6,11,NA,0,0,0,1,6,4,0,7
"738","Emi Buendía",726,287,363,1218.4,4741,1380,141,163,NA,97,124,NA,33,40,1160,0,1.3,0.7,13,39,17,0,43
"739","Emil Audero",1350,361,535,1007.5,10817,7864,60,60,NA,148,149,1495.5,153,321,726.5,0,0,0,0,10,0,0,0
"740","Emil Bohinen",145,70,81,456.5,1042,259,38,42,390,28,32,502.4,2,2,NA,0,0.1,0,1,2,2,1,2
"741","Emil Ceide",263,58,78,592.8,863,261,33,40,682.9,20,24,633.3,3,5,NA,0,0.7,0.4,6,3,7,1,9
"742","Emil Forsberg",860,300,354,1526.7,3998,1110,193,216,1560.2,79,89,NA,12,19,NA,2,1.1,1,9,38,14,0,34
"743","Emil Holm",1032,268,434,868.6,4024,1207,140,187,1042.8,105,166,NA,10,42,NA,1,1.2,1.1,12,19,9,3,23
"744","Emil Krafth",1,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"745","Emile Smith Rowe",51,19,22,344,279,75,9,9,NA,7,7,NA,2,3,NA,0,0.3,0.1,3,1,2,0,2
"746","Emiliano Marcondes",9,1,1,100,56,37,0,0,NA,0,0,NA,1,1,100,0,0,0,0,1,0,0,1
"747","Emiliano Martínez",1474,390,541,1234.9,10516,7250,70,70,1700,206,206,1700,113,259,789.5,0,0.2,0.2,2,11,0,0,0
"748","Emirhan İlkhan",87,36,43,331.3,671,140,16,19,334.6,12,13,NA,7,9,NA,0,0.1,0,1,6,2,0,4
"749","Emmanuel Agbadou",969,406,482,985.9,8330,3236,136,152,1073.1,203,227,986.4,62,93,822,0,0.5,0.7,2,26,5,0,22
"750","Emmanuel Dennis",345,66,91,NA,1021,206,38,44,NA,18,25,NA,6,8,NA,1,0.4,0.2,4,3,2,1,5
"751","Emmanuel Ekong",20,3,4,NA,54,0,2,3,NA,0,0,NA,1,1,NA,0,0,0,0,0,0,0,0
"752","Emmanuel Gyasi",1034,203,254,1018.3,2560,477,141,160,1145.9,53,67,1006.1,3,7,NA,0,0.4,0.4,8,1,4,0,5
"753","Emre Can",784,364,419,1298.4,6279,1707,152,165,NA,159,174,NA,36,54,NA,0,0,0.2,0,30,0,0,18
"754","Enes Ünal",1212,184,296,876.9,2228,512,118,166,1009,38,78,729.2,8,14,NA,2,1.2,0.4,10,16,7,2,14
"755","Enner Valencia",255,40,57,213.2,534,70,25,34,230,14,14,300,0,1,NA,0,0.3,0.2,3,2,1,1,1
"756","Enock Mwepu",213,61,78,448.5,819,126,42,50,499.2,15,17,NA,3,5,NA,1,0.4,0.2,3,5,2,0,4
"757","Enrique Valiente",458,249,303,558.4,4832,1801,81,89,644.6,144,160,536.4,23,48,316.6,1,0.5,0,2,16,0,0,10
"758","Enzo Barrenechea",3,3,5,60,66,7,1,2,50,1,2,50,1,1,100,0,0,0,0,0,0,0,0
"759","Enzo Ebosse",767,379,474,1044.8,7413,2687,142,159,NA,174,208,1049.5,57,93,NA,0,0,0,1,30,4,1,32
"760","Enzo Fernández",493,352,401,606.7,6190,1800,157,171,634.8,127,144,613.2,53,66,562,1,0.3,0.4,3,45,5,2,29
"761","Enzo Le Fée",1331,729,906,1206.5,12639,4218,308,344,1344.1,284,331,1279.1,87,154,867.6,3,4.5,2.6,40,82,11,1,79
"762","Enzo Millot",354,118,149,NA,1673,435,62,72,NA,44,54,NA,4,9,NA,0,0.1,1,3,10,4,0,7
"763","Enzo Roco",795,348,409,908.4,6845,2769,106,120,953,195,210,NA,42,68,NA,0,0,0.2,0,23,2,0,18
"764","Enzo Tchato",692,235,326,874.2,3605,1272,135,158,1016.8,72,106,779.3,16,38,NA,1,0.9,0.5,4,15,6,5,14
"765","Eray Cömert",872,485,556,1023.6,10151,3388,139,155,1051.9,274,293,1115.7,66,91,NA,0,0,0,2,24,1,0,21
"766","Eren Dinkçi",52,11,22,146.9,153,54,6,9,200.1,5,10,115,0,1,NA,0,0,0,1,0,1,0,1
"767","Erhan Mašović",724,286,344,956.3,5749,1857,85,94,NA,168,184,1111.7,30,57,NA,0,0.3,0,5,19,0,0,16
"768","Eric Bailly",513,263,308,786,5350,1893,77,91,776.8,141,155,824,42,55,722.9,0,0,0,0,18,0,0,12
"769","Eric Dier",1833,1292,1472,1931.3,25561,10107,452,489,2027.8,663,705,2058.5,156,235,1481.6,0,0.7,0.5,5,62,6,2,57
"770","Eric García",833,643,696,1218.3,12187,4458,228,236,NA,343,359,1250.8,64,89,NA,1,0.1,0.2,1,61,6,2,47
"771","Eric Martel",767,291,365,859.2,4779,1186,123,146,NA,141,164,975.9,16,32,NA,0,0.4,0.3,3,19,5,2,23
"772","Eric Maxim Choupo-Moting",908,183,244,1190.8,2378,572,118,146,NA,45,61,NA,6,9,NA,2,1.2,1.6,14,18,11,1,26
"773","Erick Gutiérrez",49,24,29,82.8,340,56,13,14,92.9,11,12,91.7,0,2,0,0,0,0,0,2,0,0,1
"774","Erik Botheim",334,54,85,911.3,707,146,28,41,905.6,17,25,NA,2,3,NA,1,1.2,0.3,6,4,2,0,5
"775","Erik Jirka",266,49,74,389.1,725,233,26,34,451.4,19,22,505.6,1,10,NA,0,0.1,0.2,5,10,2,0,4
"776","Érik Lamela",1234,411,525,1421.5,6114,1114,226,268,1506.8,136,167,1491.3,28,38,1258.3,0,1.5,1.3,20,23,19,1,32
"777","Erik Palmer-Brown",1247,455,534,1252.3,8229,3841,187,200,1386.9,222,242,1354.3,35,73,743.1,0,0.3,1.1,5,28,4,1,18
"778","Erling Haaland",1285,172,228,1327.1,2281,495,93,114,NA,58,73,NA,5,6,NA,3,3.6,2.1,18,11,13,0,21
"779","Ermedin Demirović",1142,120,255,687.6,1630,603,72,125,819.9,37,69,849.7,4,13,NA,2,2,1.2,13,14,11,4,16
"780","Esteban Saveljich",1,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"781","Ethan Ampadu",1088,462,613,972.9,9078,3683,168,197,1112.9,237,277,1111.1,55,112,638.9,1,0.5,0.2,9,59,6,2,61
"782","Ethan Nwaneri",1,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"783","Ethan Pinnock",630,217,286,500,3914,1562,90,106,497.7,99,116,596.9,23,50,298.7,0,0.1,0.3,2,17,0,0,11
"784","Étienne Capoue",836,398,454,878.7,6587,1609,181,201,899,186,200,926.9,20,36,501.7,0,0.2,0.2,3,53,2,0,25
"785","Evanilson",403,81,98,481.7,845,169,54,58,562.5,14,19,383.3,2,3,NA,1,0.9,0.1,3,6,1,0,4
"786","Evann Guessand",636,117,162,NA,1749,534,61,77,NA,41,60,NA,8,14,NA,2,0.6,0.5,8,13,8,1,15
"787","Exequiel Palacios",675,381,454,1115.1,5996,1697,184,215,1120.1,155,174,1183.4,23,34,NA,1,0.8,1.1,7,33,9,2,38
"788","Ezequiel Ávila",838,144,260,694.3,2893,883,72,103,946,37,70,737.5,32,64,NA,1,1,1.9,13,15,18,11,15
"789","Ezequiel Ponce",512,84,117,950.7,1072,152,58,68,NA,13,18,NA,6,10,NA,0,0.1,0.1,4,8,2,0,4
"790","Ezri Konsa",1261,562,673,1153.4,10399,3746,208,230,NA,300,331,1259.7,49,94,NA,0,0.5,0.3,4,27,4,2,16
"791","Fabian Frei",25,9,14,130.3,150,19,4,4,200,5,7,NA,0,2,0,0,0,0,0,0,0,0,0
"792","Fabian Rieder",68,13,26,102.7,126,34,11,16,143.6,2,7,58.3,0,2,0,0,0.2,0,1,1,0,0,1
"793","Fabián Ruiz Peña",579,509,545,1104.7,7601,2220,271,283,1144.7,188,200,1115,25,31,NA,0,0.4,0.6,4,51,6,0,29
"794","Fabian Schär",1243,525,699,1021.7,10471,4573,197,226,1212.4,259,308,1140.3,67,154,625.1,0,0.3,0.7,8,55,7,1,45
"795","Fabiano Parisi",1220,478,647,1026.5,7919,3902,246,277,1245.9,181,242,1009.6,41,85,741.3,0,0.9,0.8,14,37,20,7,41
"796","Fabien Centonze",173,74,103,200.7,1253,484,36,43,228.9,33,46,200.4,5,11,133.3,0,0,0,1,11,0,0,9
"797","Fabinho",1449,905,1038,1726.1,14605,3608,449,489,1830,349,386,1799.8,75,104,NA,0,0.6,0.3,8,76,4,0,58
"798","Fábio",224,87,117,399.5,1376,431,47,57,487,34,44,389.7,4,11,NA,0,0.6,0.7,4,5,5,1,9
"799","Fábio Cardoso",270,102,120,255.4,1963,531,31,38,244.4,64,68,283.7,5,10,125,0,0,0,0,1,0,0,1
"800","Fabio Carvalho",451,157,190,1153.8,1976,389,95,112,1163.6,38,46,NA,6,7,NA,0,0.1,0.5,3,7,5,0,10
"801","Fabio Chiarodia",3,1,2,50,17,17,0,0,NA,1,2,50,0,0,NA,0,0,0,0,0,0,0,1
"802","Fabio Depaoli",804,227,327,800.5,4007,2097,107,132,NA,82,111,909.3,33,63,NA,2,1,0.7,11,20,12,9,29
"803","Fabio Miretti",837,259,367,1193.3,4039,1118,140,176,NA,92,115,NA,16,42,NA,1,1,0.8,11,28,12,1,30
"804","Fabio Quagliarella",328,66,99,788.4,1039,281,32,37,NA,21,31,NA,6,15,NA,0,0.2,0.3,2,8,4,0,7
"805","Fabio Vieira",246,97,124,646.6,1463,337,57,62,734.8,33,41,685,4,12,NA,1,1.1,0.7,4,11,4,1,8
"806","Fabrizio Angileri",510,130,221,423.8,2254,856,60,74,NA,56,96,413.1,10,30,NA,0,0,0,0,13,1,0,11
"807","Facundo Medina",1225,1007,1132,1242.1,16806,6511,483,515,1311.1,396,440,1259,84,124,969.2,1,0.4,0.7,6,86,6,2,78
"808","Facundo Pellistri",116,23,33,141.7,371,30,12,14,171.4,10,13,172.7,1,2,NA,0,0.2,0.1,3,0,0,0,0
"809","Faitout Maouassa",655,121,187,810.2,2170,781,68,89,1009.7,34,49,NA,17,36,NA,4,1.7,1.4,12,9,9,5,10
"810","Falaye Sacko",881,341,420,978.1,5642,1943,151,171,1058.1,153,178,NA,25,50,NA,2,0.4,0.4,10,17,5,2,18
"811","Fali",556,159,207,611.5,3604,1312,43,55,619.3,84,97,688.3,31,50,498.5,0,0.1,0.1,2,15,1,0,13
"812","Famara Diedhiou",73,6,9,66.7,72,17,4,6,66.7,2,2,100,0,0,NA,0,0,0.1,0,1,1,0,1
"813","Fares Chaïbi",832,204,288,889,2970,792,120,151,1006.1,62,81,993.5,12,26,NA,4,2.8,1.8,14,15,6,1,15
"814","Farid El Melali",190,48,69,368.7,755,223,23,32,NA,23,31,361.3,1,3,NA,0,0,0.1,2,5,1,0,5
"815","Faride Alidou",156,67,83,NA,1050,317,34,35,NA,26,35,NA,5,9,NA,0,0.5,0.1,4,6,6,2,10
"816","Fashion Sakala",235,36,52,287.1,498,119,23,26,357.5,10,14,NA,1,2,NA,0,0.1,0,3,3,1,1,3
"817","Fede San Emeterio",789,240,299,1031.9,4197,1096,115,131,1119.9,94,108,1149.6,25,41,793.4,0,0,0,1,20,1,0,13
"818","Federico Baschirotto",1350,427,573,1105.3,9341,3341,110,127,1274.7,232,282,1229.6,79,144,795,0,0,0.2,1,33,2,1,25
"819","Federico Bonazzoli",732,166,218,1044.2,3118,579,78,91,1226,57,70,NA,26,35,NA,1,0.7,0.3,6,20,4,0,14
"820","Federico Ceccherini",634,229,297,674.7,4202,1690,93,105,778.1,107,129,720.1,25,46,508.1,0,0.1,0,3,24,1,0,15
"821","Federico Chiesa",62,32,37,262,486,106,18,18,300,11,12,NA,1,1,NA,1,0.5,0.3,2,3,3,1,4
"822","Federico Di Francesco",652,109,163,950.4,1515,442,67,81,1228.3,30,48,NA,6,18,NA,1,0.5,0.4,9,8,6,0,10
"823","Federico Dimarco",1280,585,813,1352.2,11538,4149,241,285,1606.8,229,287,1551,98,195,855.3,2,4.5,3.7,33,36,27,17,53
"824","Federico Fazio",809,342,436,710.8,6528,2662,120,144,738,170,192,806.5,44,81,492.1,0,0.1,0,2,21,3,0,28
"825","Federico Fernández",90,8,14,57.1,204,130,1,2,50,5,8,62.5,2,4,50,0,0,0,0,0,0,0,0
"826","Federico Gatti",540,279,328,510,6069,1778,83,91,543.6,139,153,537.9,55,77,449.7,0,0,0,0,21,0,0,12
"827","Federico Valverde",1715,939,1082,1814.3,14361,2863,534,565,1965,294,347,1783.7,77,100,1646.9,4,5.3,3.7,42,83,39,4,72
"828","Felipe",270,164,183,268.8,3067,1130,60,64,280.8,90,100,270.7,13,16,230.6,0,0.1,0,3,16,0,0,14
"829","Felipe Anderson",1217,382,490,1173.1,5365,1112,240,279,1295.7,116,143,1182.6,17,32,NA,2,3.1,2.2,22,24,17,2,35
"830","Felix Afena-Gyan",220,32,40,594,400,64,23,26,621.4,7,8,NA,1,3,NA,0,0,0,1,1,0,0,1
"831","Felix Agu",49,16,25,186.7,299,144,4,5,250,9,10,250,2,6,66.7,0,0.1,0,1,1,1,0,2
"832","Felix Kalu Nmecha",665,141,198,872.2,2322,654,70,88,NA,56,71,NA,9,22,NA,2,0.8,0.3,7,14,2,0,15
"833","Felix Passlack",139,78,97,232.8,1449,411,29,34,243,37,45,265.1,10,14,202.4,0,0,0,1,4,2,1,11
"834","Félix Torres Caicedo",270,168,208,242.3,3340,1317,51,58,262.5,94,103,273.1,23,42,154.6,1,0.4,0,1,3,0,0,2
"835","Ferjani Sassi",48,25,34,78.1,522,135,5,7,NA,17,18,100,3,6,60,0,0,0,0,5,1,0,4
"836","Ferland Mendy",1231,817,879,1474.7,11398,2841,498,523,1522.8,240,263,1451.6,39,42,NA,1,0.8,0.6,14,63,9,1,37
"837","Fernand Mayembo",284,119,134,361.4,2322,441,41,48,344.5,60,63,386.4,16,20,322.3,0,0,0,0,1,0,0,0
"838","Fernando",1819,633,799,1644.5,15212,8305,170,181,NA,307,321,2009.7,145,278,NA,1,0.3,0,5,31,1,0,15
"839","Fernando Calero",873,362,441,974.4,7248,2801,124,134,1106.1,182,204,1055.5,53,92,614.8,0,0.1,0.1,3,33,2,0,24
"840","Fernando Pacheco",90,20,31,64.5,617,423,2,2,100,10,11,90.9,8,17,47.1,0,0,0,0,1,0,0,0
"841","Ferrán Torres",866,275,353,1584,3774,695,174,199,1747.8,80,96,NA,12,22,NA,1,1.9,1.8,10,10,9,1,21
"842","Festy Ebosele",10,2,2,NA,18,0,2,2,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"843","Fidel",165,48,79,239,754,319,26,31,325.1,18,25,298.3,4,15,91.7,0,0,0,2,2,1,0,9
"844","Fikayo Tomori",1661,936,1070,1726,19386,6345,300,326,1829.3,475,514,1849.8,155,202,1436.4,0,0.5,0.2,6,59,6,0,63
"845","Filip Đuričić",1011,285,375,1245.4,4665,1254,147,174,1399.9,102,123,1315.9,25,39,NA,0,1.3,1.1,22,31,15,3,27
