"","Player","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"333","Ben Godfrey",17,4,5,80,109,22,0,0,NA,2,2,100,2,2,100,0,0,0,0,1,0,0,0
"334","Ben Johnson",488,237,321,526.6,4447,1525,95,108,643.3,113,131,620.7,25,61,293.1,0,0.2,0.2,2,16,4,2,16
"335","Ben Mee",1208,532,688,1018.1,10370,3872,188,224,1121.5,270,321,1124.4,70,122,722.3,1,0.1,0.3,2,22,3,0,19
"336","Ben Pearson",214,67,84,NA,1280,365,25,31,NA,34,40,NA,7,11,NA,0,0,0,0,6,0,0,2
"337","Ben White",1150,726,866,1146.3,12495,4400,333,365,1244.9,338,381,1224.3,47,94,690.8,2,1,1.3,11,100,17,5,60
"338","Beñat Turrientes",106,40,47,497.9,707,113,20,23,NA,14,14,NA,5,9,NA,0,0.1,0,2,3,0,0,1
"339","Béni Makouana",105,9,24,126.8,84,39,7,14,180,0,4,NA,0,0,NA,0,0,0,1,0,1,0,2
"340","Benjamin André",1216,696,824,1172.1,11886,3816,324,365,1227.2,271,306,1235.1,70,96,936.6,1,0.7,0.9,9,92,11,0,78
"341","Benjamin Bourigeaud",1180,540,739,1074.4,9557,3464,228,272,1253.5,235,309,1104.3,60,121,758.1,4,4.9,4.2,42,59,43,7,86
"342","Benjamin Henrichs",1053,513,690,NA,8697,2923,266,306,NA,192,242,NA,45,92,NA,1,1,2.4,12,50,16,6,56
"343","Benjamin Lecomte",899,179,275,662.6,6302,5234,21,21,NA,66,67,983.3,92,184,520.8,0,0.1,0,1,5,0,0,0
"344","Benjamin Leroy",1178,201,334,NA,6788,5799,22,22,NA,90,92,NA,89,218,NA,0,0,0,0,5,0,0,0
"345","Benjamin Pavard",1442,1263,1422,1780.2,21556,7936,571,622,1827.9,593,647,1815.8,83,119,1454.2,0,1.7,2.3,13,119,14,6,88
"346","Benjamin Šeško",330,53,88,400.7,628,87,38,57,421.4,8,13,NA,3,5,NA,0,0.1,0.4,3,2,2,0,3
"347","Benjamin Tahirovic",22,14,15,93.3,276,40,5,5,100,6,7,85.7,3,3,100,0,0,0,1,0,1,1,0
"348","Benno Schmitz",1033,378,609,849.3,6726,3368,163,202,1081.7,169,262,866.9,40,101,572.9,0,1.4,1.6,10,37,20,12,44
"349","Benoît Badiashile",839,403,468,947.7,8296,3424,123,137,NA,210,235,NA,60,83,771.1,0,0.4,0.6,1,46,3,0,33
"350","Benoît Costil",1350,336,469,1087.4,11029,8208,48,48,NA,138,144,1445.2,149,274,844.3,0,0,0,0,8,0,0,1
"351","Berat Djimsiti",342,193,220,436,3172,1036,95,104,450.7,82,85,470,12,25,200,0,0,0,1,12,0,0,6
"352","Bernardo",274,49,73,273.3,1078,494,14,19,317.5,25,34,317.1,9,16,220,0,0,0,0,4,0,0,5
"353","Bernardo Espinosa",499,312,358,NA,5746,2365,111,125,NA,179,192,NA,19,36,NA,1,0,0.1,1,7,0,0,11
"354","Bernardo Folha",8,8,10,152.4,137,28,5,6,166.7,2,3,NA,1,1,NA,0,0,0,0,1,0,0,1
"355","Bernardo Silva",1526,1002,1137,1925.5,16560,2974,533,570,2040,357,395,1962.8,84,112,NA,5,2.6,3.2,34,65,27,9,64
"356","Bernd Leno",1170,369,472,1007.2,8977,5605,103,103,1300,181,182,1285.7,85,185,629.2,0,0,0,1,5,0,0,0
"357","Beto",687,54,101,825.3,601,93,39,63,NA,10,22,NA,1,5,NA,0,0.5,0.2,8,3,0,0,1
"358","Bevic Moussiti-Oko",487,52,98,698.4,706,120,27,47,NA,16,33,NA,3,7,NA,0,0.1,0.1,3,5,1,0,2
"359","Bilal Brahimi",327,119,156,779.8,1567,358,68,75,NA,34,42,806.8,5,15,NA,2,0.8,0.5,5,5,6,4,4
