"","Player","Min","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Vs_Dribbles","Att_Vs_Dribbles","Tkl_percent_Vs_Dribbles","Past_Vs_Dribbles","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"1","Aaron Cresswell",1240,13,6,7,6,0,6,16,NA,10,13,7,6,14,27,33,0
"2","Aaron Hickey",679,20,14,12,8,0,8,14,NA,6,9,4,5,10,30,11,0
"3","Aarón Martín",1241,30,21,17,9,4,15,18,NA,3,12,1,11,11,41,17,0
"4","Aaron Mooy",423,8,5,4,3,1,6,9,NA,3,6,4,2,4,12,10,0
"5","Aaron Ramsdale",1260,1,1,1,0,0,1,1,NA,0,0,0,0,0,1,7,2
"6","Aaron Ramsey",844,18,9,7,9,2,6,14,NA,8,12,2,10,9,27,11,0
"7","Aaron Wan-Bissaka",5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"8","Abakar Sylla",402,5,1,5,0,0,3,3,NA,0,7,5,2,4,9,15,1
"9","Abdallah Sima",555,6,1,0,5,1,0,4,NA,4,1,0,1,2,8,6,0
"10","Abdelhamid Sabiri",873,14,5,5,5,4,3,11,NA,8,16,2,14,5,19,3,0
"11","Abdelkarim Hassan",270,7,3,5,2,0,3,4,NA,1,3,1,2,1,8,5,0
"12","Abderrazak Hamdallah",28,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"13","Abdessamad Ezzalzouli",338,12,9,5,6,1,5,5,NA,0,8,0,8,2,14,2,0
"14","Abdón Prats",137,1,0,1,0,0,0,0,NA,0,1,0,1,0,1,2,0
"15","Abdou Diallo",904,12,9,9,3,0,4,7,NA,3,6,5,1,9,21,29,0
"16","Abdou Harroui",271,6,0,3,1,2,1,6,NA,5,3,1,2,0,6,2,0
"17","Abdoul Kader Bamba",78,0,0,0,0,0,0,2,NA,2,3,1,2,0,0,1,0
"18","Abdoulaye Bamba",375,12,5,7,4,1,8,8,NA,0,3,0,3,7,19,7,0
"19","Abdoulaye Doucouré",186,6,4,1,5,0,1,3,NA,2,2,0,2,0,6,2,0
"20","Abdoulaye Seck",397,7,7,6,0,1,5,7,NA,2,9,5,4,4,11,18,0
"21","Abdu Conté",466,12,9,5,4,3,8,13,NA,5,4,2,2,1,13,7,0
"22","Abdul Fatawu Issahaku",89,4,3,3,1,0,0,0,NA,0,1,0,1,0,4,2,0
"23","Abdul Mumin",102,0,0,0,0,0,0,0,NA,0,1,1,0,1,1,2,0
"24","Abdulaziz Hatem",196,1,1,0,0,1,1,2,NA,1,0,0,0,1,2,0,0
"25","Abdulelah Al-Amri",182,1,0,1,0,0,0,1,NA,1,1,1,0,4,5,9,0
"26","Abdulellah Al-Malki",174,3,1,3,0,0,1,3,50,2,3,0,3,2,5,4,1
"27","Abdullah Madu",45,1,0,1,0,0,0,0,NA,0,3,2,1,1,2,1,0
"28","Abdulrahman Al-Aboud",35,3,3,2,1,0,1,5,NA,4,0,0,0,0,3,0,0
"29","Abolfazl Jalali",19,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"30","Achraf Dari",721,11,9,9,2,0,8,11,NA,3,9,5,4,11,22,27,2
"31","Achraf Hakimi",1678,44,26,21,13,10,24,41,NA,17,20,1,19,12,56,13,0
"32","Adam Armstrong",869,8,4,3,3,2,0,4,NA,4,13,3,10,2,10,4,0
"33","Adam Buksa",63,1,0,0,0,1,0,0,NA,0,0,0,0,0,1,0,0
"34","Adam Forshaw",50,0,0,0,0,0,0,3,NA,3,3,0,3,0,0,0,0
"35","Adam Hložek",851,8,4,6,1,1,2,5,NA,3,8,1,7,2,10,11,0
"36","Adam Kronus",3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"37","Adam Lallana",489,8,4,5,2,1,0,5,NA,5,4,0,4,2,10,1,0
"38","Adam Marušić",1061,9,7,5,2,2,3,9,NA,6,2,1,1,12,21,23,0
"39","Adam Masina",304,4,3,2,2,0,2,3,NA,1,2,2,0,7,11,12,1
"40","Adam Ounas",678,9,5,3,4,2,3,7,NA,4,8,0,8,4,13,3,0
"41","Adam Smith",1305,29,17,17,9,3,18,32,NA,14,19,7,12,12,41,38,0
"42","Adam Vlkanova",458,5,2,2,2,1,2,5,NA,3,3,2,1,2,7,5,0
"43","Adam Webster",1170,10,7,6,3,1,5,8,NA,3,16,8,8,13,23,37,2
"44","Adama Soumaoro",602,12,7,5,5,2,2,2,NA,0,5,3,2,8,20,26,0
"45","Adama Traoré",622,6,2,1,3,2,1,3,NA,2,6,1,5,0,6,4,0
"46","Ademola Lookman",778,3,1,0,2,1,0,3,NA,3,6,0,6,1,4,0,0
"47","Adil Aouchiche",43,0,0,0,0,0,0,3,NA,3,0,0,0,0,0,0,0
"48","Adil Rami",539,9,7,6,2,1,8,14,NA,6,2,1,1,9,18,20,1
"49","Adnan Januzaj",99,2,1,1,1,0,1,2,NA,1,0,0,0,2,4,1,0
"50","Ado Onaiwu",288,5,3,0,2,3,2,3,NA,1,1,0,1,0,5,1,0
"51","Adri Embarba",458,17,7,5,11,1,5,10,NA,5,8,0,8,3,20,3,0
"52","Adrian Grbić",25,0,0,0,0,0,0,1,NA,1,3,0,3,0,0,0,0
"53","Adrien Hunou",1088,24,13,13,8,3,7,18,NA,11,15,0,15,0,24,4,0
"54","Adrien Rabiot",1406,37,20,15,15,7,13,20,NA,7,32,5,27,19,56,8,0
"55","Adrien Tameze",881,15,8,8,4,3,8,14,NA,6,16,6,10,7,22,16,0
"56","Adrien Thomasson",757,17,7,8,4,5,9,25,NA,16,15,0,15,2,19,2,0
"57","Adrien Truffert",1115,34,18,20,8,6,18,25,NA,7,22,6,16,17,51,32,0
"58","Agustín Álvarez Martínez",151,2,2,0,2,0,0,0,NA,0,2,1,1,2,4,1,0
"59","Agustín Marchesín",1260,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,5,0
"60","Agustín Rogel",675,9,6,6,3,0,5,5,NA,0,8,2,6,9,18,28,0
"61","Ahmad Nourollahi",223,4,3,1,1,2,1,2,NA,1,3,0,3,6,10,8,0
"62","Ahmed Alaaeldin",6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"63","Aihen Muñoz",666,17,9,10,5,2,10,17,NA,7,12,3,9,3,20,10,0
"64","Aimar Oroz",774,9,5,2,2,5,0,3,NA,3,9,0,9,11,20,5,0
"65","Aimen Dahmen",270,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"66","Ainsley Maitland-Niles",412,11,5,3,7,1,4,7,NA,3,9,1,8,3,14,7,0
"67","Aïssa Laïdouni",243,3,3,3,0,0,1,2,NA,1,7,1,6,4,7,6,0
"68","Aïssa Mandi",261,4,3,3,1,0,1,1,NA,0,3,3,0,7,11,8,0
"69","Aitor Fernández",360,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"70","Aitor Paredes",23,2,1,2,0,0,2,3,NA,1,0,0,0,2,4,0,0
"71","Aitor Ruibal",563,17,8,15,1,1,10,18,NA,8,4,0,4,13,30,14,0
"72","Ajdin Hrustic",250,2,1,1,1,0,1,2,NA,1,1,0,1,1,3,3,1
"73","Akim Zedadka",309,1,1,1,0,0,0,2,NA,2,3,0,3,1,2,5,0
"74","Akram Afif",270,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0
"75","Alan Franco",46,1,0,0,1,0,0,1,NA,1,0,0,0,2,3,1,0
"76","Alan Virginius",66,1,0,1,0,0,0,0,NA,0,0,0,0,1,2,0,0
"77","Alassane Pléa",825,6,2,2,3,1,2,9,NA,7,10,1,9,9,15,10,0
"78","Alban Lafont",1169,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,8,1
"79","Albert Sambi Lokonga",198,1,1,0,0,1,0,2,NA,2,1,0,1,5,6,2,0
"80","Alberto Del Moral",5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"81","Alberto Grassi",306,12,9,8,4,0,6,6,NA,0,5,4,1,11,23,10,0
"82","Alberto Moreno",368,7,2,1,5,1,4,12,NA,8,5,1,4,7,14,7,0
"83","Alberto Perea",45,2,0,2,0,0,0,0,NA,0,2,0,2,0,2,0,0
"84","Albin Ekdal",406,8,6,4,4,0,4,11,NA,7,4,0,4,4,12,6,0
"85","Aleix García",1245,19,7,3,10,6,5,11,NA,6,13,4,9,17,36,12,0
"86","Aleix Vidal",446,4,2,2,1,1,0,7,NA,7,11,1,10,4,8,4,0
"87","Alejandro Alfaro",15,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"88","Alejandro Balde",1175,19,15,11,6,2,8,13,NA,5,14,1,13,6,25,8,0
"89","Alejandro Garnacho",84,2,1,0,0,2,1,1,NA,0,0,0,0,0,2,0,0
"90","Alejandro Pozo Pozo",580,9,5,4,4,1,7,12,NA,5,9,4,5,11,20,13,1
"91","Alejandro Revuelta Montero",1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"92","Aleksa Terzić",262,7,3,4,2,1,5,8,NA,3,6,2,4,3,10,4,0
"93","Aleksandar Mitrović",1189,10,4,4,3,3,4,7,NA,3,9,3,6,1,11,12,1
"94","Aleksandr Golovin",963,23,14,7,12,4,13,31,NA,18,12,0,12,13,36,4,0
"95","Aleksei Miranchuk",503,3,0,0,3,0,0,1,NA,1,0,0,0,0,3,1,0
"96","Aleš Čermák",32,2,1,0,1,1,0,0,NA,0,1,0,1,2,4,0,0
"97","Alessandro Bastoni",1124,17,10,9,6,2,7,10,NA,3,15,7,8,14,31,23,0
"98","Alessandro Buongiorno",754,8,3,7,1,0,3,5,NA,2,12,6,6,21,29,29,0
"99","Alessandro Cortinovis",6,1,0,1,0,0,0,0,NA,0,1,0,1,0,1,0,0
"100","Alessandro Florenzi",97,3,2,2,0,1,2,3,NA,1,0,0,0,1,4,1,0
"101","Alessandro Tuia",180,2,0,1,1,0,0,1,NA,1,1,0,1,4,6,5,0
"102","Alessandro Zanoli",24,3,2,2,1,0,1,1,NA,0,0,0,0,1,4,1,0
"103","Alessio Romagnoli",924,14,7,7,7,0,3,8,NA,5,12,10,2,12,26,36,0
"104","Alessio Zerbin",110,5,2,1,2,2,1,3,NA,2,4,1,3,0,5,2,0
"105","Alex Baena",630,11,4,5,2,4,6,10,NA,4,5,2,3,2,13,10,0
"106","Álex Berenguer",1026,25,14,8,8,9,11,21,NA,10,13,1,12,2,27,5,0
"107","Álex Collado",514,21,11,11,8,2,6,10,NA,4,9,1,8,1,22,3,0
"108","Álex Fernández",699,5,2,3,1,1,2,5,NA,3,7,1,6,4,9,8,0
"109","Alex Ferrari",803,9,5,7,2,0,4,6,NA,2,19,9,10,17,26,20,0
"110","Álex Grimaldo",540,20,9,10,4,6,13,22,358.4,9,7,3,4,9,29,10,0
"111","Alex Iwobi",1332,29,14,16,12,1,11,20,NA,9,12,1,11,9,38,15,0
"112","Alex Král",904,19,11,6,13,0,9,15,NA,6,20,3,17,11,30,23,0
"113","Alex Meret",1710,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,4,2
"114","Álex Moreno",1170,22,15,17,5,0,15,30,NA,15,15,4,11,15,37,29,0
"115","Alex Oxlade-Chamberlain",32,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0
"116","Álex Remiro",1260,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,8,2
"117","Alex Sandro",1093,24,11,13,10,1,7,7,NA,0,11,4,7,17,41,30,0
"118","Alex Sola",275,16,8,12,3,1,7,10,NA,3,5,0,5,3,19,10,0
"119","Alex Telles",1149,18,10,9,4,5,11,19,NA,8,13,3,10,11,29,19,1
"120","Alexander Bah",548,14,11,8,5,1,5,10,NA,5,13,3,10,15,29,9,0
"121","Alexander Djiku",1276,30,19,20,10,0,14,24,NA,10,20,8,12,29,59,61,3
"122","Alexander Hack",988,25,14,18,7,0,17,27,NA,10,13,5,8,20,45,39,0
"123","Alexander Isak",394,5,3,0,3,2,1,2,NA,1,3,0,3,1,6,3,0
"124","Alexander lowry",8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"125","Alexander Meyer",675,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,1,0
"126","Alexander Mighten",8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"127","Alexander Nübel",1350,0,0,0,0,0,0,1,NA,1,0,0,0,1,1,3,1
"128","Alexander Schwolow",1350,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,3,2
"129","Alexander Sørloth",826,3,3,0,1,2,1,4,NA,3,4,1,3,0,3,9,1
"130","Alexandre Coeff",586,10,5,6,4,0,4,9,NA,5,9,4,5,8,18,35,1
"131","Alexandre Lacazette",1297,23,14,6,8,9,7,21,NA,14,5,0,5,9,32,3,0
"132","Alexandro Bernabei",11,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,1,0
"133","Alexis Beka Beka",276,9,4,4,5,0,2,9,NA,7,5,1,4,7,16,1,0
"134","Alexis Blin",600,17,10,5,9,3,11,19,NA,8,17,8,9,8,25,26,0
"135","Alexis Claude-Maurice",283,9,6,4,4,1,5,8,NA,3,3,0,3,3,12,2,0
"136","Alexis Flips",642,16,9,9,6,1,9,21,400,12,12,2,10,14,30,9,0
"137","Alexis Mac Allister",1407,49,29,15,30,4,26,46,1115.4,20,14,1,13,21,70,5,1
"138","Alexis Saelemaekers",403,11,7,4,5,2,7,12,NA,5,4,1,3,3,14,3,0
"139","Alexis Sánchez",1272,14,10,3,9,2,0,4,NA,4,7,0,7,1,15,2,0
"140","Alexis Vega",193,0,0,0,0,0,0,0,NA,0,1,0,1,1,1,2,0
"141","Alexsandro Ribeiro",303,9,7,5,4,0,5,6,NA,1,1,0,1,4,13,11,0
"142","Alfonso Espino",1142,33,23,22,7,4,20,41,NA,21,25,5,20,12,45,29,0
"143","Alfonso Pedraza",805,17,16,8,7,2,11,14,NA,3,7,1,6,5,22,14,0
"144","Alfred Duncan",221,4,1,0,4,0,4,7,NA,3,2,0,2,3,7,2,0
"145","Alfredo Morelos",256,1,1,0,1,0,0,3,NA,3,4,0,4,1,2,3,0
"146","Ali Abdi",188,8,5,5,2,1,3,3,NA,0,1,0,1,4,12,12,1
"147","Ali Al-Bulaihi",216,4,2,2,2,0,2,4,NA,2,1,1,0,3,7,1,0
"148","Ali Al Hassan",45,2,1,0,2,0,1,1,100,0,2,1,1,0,2,1,0
"149","Ali Assadalla",27,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
"150","Ali Gholizadeh",199,0,0,0,0,0,0,2,NA,2,5,0,5,3,3,2,0
"151","Ali Karimi",99,3,3,3,0,0,1,1,NA,0,0,0,0,3,6,1,0
"152","Ali Maâloul",90,1,1,0,1,0,1,1,100,0,2,0,2,0,1,5,0
"153","Ali Mohamed",356,11,2,7,2,2,3,11,NA,8,1,0,1,7,18,3,0
"154","Alidu Seidu",1278,21,13,13,6,2,13,23,NA,10,17,11,6,25,46,30,1
"155","Alireza Beiranvand",109,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"156","Alireza Jahanbakhsh",59,1,1,0,1,0,0,1,NA,1,2,0,2,1,2,0,0
"157","Alisson",1980,0,0,0,0,0,0,1,NA,1,1,0,1,0,0,8,0
"158","Alistair Johnston",180,4,2,4,0,0,1,6,25,5,2,0,2,1,5,3,0
"159","Allan McGregor",450,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"160","Allan Saint-Maximin",378,0,0,0,0,0,0,3,NA,3,0,0,0,4,4,0,0
"161","Almamy Touré",163,5,4,2,3,0,3,5,NA,2,5,2,3,5,10,2,0
"162","Almoez Ali",224,1,0,0,0,1,0,2,NA,2,0,0,0,1,2,1,0
"163","Alphonse Areola",107,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"164","Alphonso Davies",1542,36,20,18,13,5,13,22,NA,9,25,3,22,22,58,15,1
"165","Álvaro Aguado",747,3,1,2,1,0,3,7,NA,4,9,3,6,5,8,5,0
"166","Álvaro Fernández",360,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,4,2
"167","Álvaro García",1095,19,9,8,4,7,3,6,NA,3,14,1,13,7,26,9,0
"168","Álvaro Giménez",17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"169","Álvaro Morata",1210,9,6,4,3,2,2,5,NA,3,7,4,3,0,9,14,0
"170","Álvaro Negredo",410,4,4,1,1,2,1,1,NA,0,4,1,3,0,4,5,0
"171","Alvaro Sanz",14,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0
"172","Álvaro Zamora",30,2,0,0,1,1,1,1,100,0,0,0,0,1,3,0,0
"173","Amadou Haidara",736,15,9,5,9,1,4,10,NA,6,13,2,11,13,28,11,0
"174","Amadou Onana",1139,41,27,15,22,4,16,22,NA,6,11,2,9,10,51,21,0
"175","Amar Dedić",540,19,11,13,5,1,10,12,NA,2,5,1,4,9,28,19,1
"176","Amath",243,7,4,4,0,3,2,2,NA,0,1,0,1,0,7,1,0
"177","Amine Adli",476,8,5,2,3,3,1,6,NA,5,16,0,16,2,10,1,0
"178","Amine Gouiri",1014,11,4,3,3,5,1,8,NA,7,7,0,7,3,14,7,0
"179","Amine Harit",895,7,4,0,4,3,4,9,NA,5,7,2,5,7,14,7,0
"180","Amine Salama",532,3,3,0,2,1,0,4,NA,4,6,2,4,2,5,2,0
"181","Amir Rrahmani",981,16,8,12,4,0,6,9,NA,3,23,12,11,3,19,45,1
"182","Amos Pieper",1102,24,15,14,9,1,10,15,NA,5,16,8,8,17,41,57,0
"183","Anatolii Trubin",540,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,1,1
"184","Ander Barrenetxea",62,4,3,4,0,0,2,5,NA,3,2,0,2,1,5,1,0
"185","Ander Capa",1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"186","Ander Guevara",126,1,0,0,1,0,0,1,NA,1,2,1,1,1,2,2,0
"187","Ander Herrera",238,3,1,2,1,0,2,3,NA,1,5,1,4,4,7,5,0
"188","Andoni Gorosabel",713,19,7,11,3,5,12,16,NA,4,6,0,6,7,26,6,0
"189","András Schäfer",702,19,8,7,11,1,6,12,NA,6,9,1,8,4,23,11,0
"190","Andre-Frank Zambo Anguissa",1493,35,15,13,13,9,8,18,NA,10,22,2,20,28,63,16,0
"191","André Ayew",153,1,1,0,1,0,0,1,NA,1,1,0,1,0,1,3,0
"192","André Gomes",536,15,6,4,6,5,7,20,NA,13,8,3,5,3,18,9,1
"193","André Hahn",391,9,5,4,4,1,8,12,NA,4,9,2,7,4,13,14,0
"194","André Onana",1160,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"195","André Silva",1218,11,3,2,5,4,3,4,NA,1,9,1,8,2,13,2,0
"196","Andrea Barberis",316,6,2,4,2,0,4,9,NA,5,0,0,0,8,14,1,0
"197","Andrea Belotti",316,4,2,0,1,3,2,3,NA,1,3,1,2,1,5,1,0
"198","Andrea Cambiaso",772,25,16,17,7,1,7,20,NA,13,10,1,9,9,34,11,1
"199","Andrea Carboni",155,2,2,1,0,1,1,4,NA,3,3,2,1,2,4,2,1
"200","Andrea Colpani",264,4,3,2,1,1,3,5,NA,2,3,0,3,3,7,0,0
"201","Andrea Consigli",1260,1,0,1,0,0,0,0,NA,0,0,0,0,0,1,4,0
"202","Andrea Conti",23,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"203","Andrea Petagna",351,2,2,1,0,1,1,1,NA,0,2,2,0,1,3,4,0
"204","Andrea Pinamonti",1067,4,3,0,2,2,1,3,NA,2,10,1,9,1,5,5,0
"205","Andrea Ranocchia",47,3,1,1,2,0,3,4,75,1,5,5,0,0,3,7,0
"206","Andreas Bruus",506,4,1,3,1,0,3,4,NA,1,4,1,3,5,9,4,0
"207","Andreas Christensen",804,13,6,6,6,1,4,4,NA,0,10,7,3,10,23,21,0
"208","Andreas Cornelius",201,1,1,0,1,0,0,0,NA,0,3,0,3,0,1,2,0
"209","Andreas Pereira",1240,10,5,1,4,5,5,11,NA,6,13,2,11,4,14,3,0
"210","Andreas Skov Olsen",427,4,2,1,2,1,2,3,NA,1,5,1,4,0,4,3,0
"211","Andreas Ulmer",375,7,1,2,3,2,3,9,NA,6,3,0,3,4,11,13,0
"212","Andrei Girotto",1152,47,27,31,14,2,26,47,NA,21,21,8,13,37,84,70,1
"213","Andrej Kramarić",1168,4,1,1,1,2,1,5,NA,4,7,1,6,1,5,6,0
"214","Andrés Guardado",344,14,7,5,9,0,6,14,NA,8,3,2,1,6,20,5,0
"215","Andrew Gravillon",1032,15,8,9,5,1,8,13,NA,5,18,9,9,21,36,35,0
"216","Andrew Robertson",1060,5,3,2,3,0,3,11,NA,8,9,2,7,5,10,19,0
"217","Andrey Lunyov",90,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"218","Andries Noppert",270,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"219","Andrija Živković",133,3,2,2,1,0,2,3,NA,1,2,0,2,2,5,1,0
"220","Andriy Lunin",540,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"221","Andriy Totovytskyi",17,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"222","Andy Delort",746,2,0,1,1,0,1,2,NA,1,0,0,0,1,3,7,0
"223","Ángel Algobia",362,15,6,10,5,0,11,14,NA,3,7,3,4,1,16,2,0
"224","Ángel Correa",828,7,2,2,3,2,5,10,NA,5,12,2,10,7,14,4,1
"225","Ángel Di María",577,7,3,3,1,3,2,6,NA,4,4,0,4,1,8,0,0
"226","Angel Gomes",1013,16,7,6,5,5,6,14,NA,8,6,1,5,5,21,4,0
"227","Ángel Rodríguez",149,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"228","Angeliño",1174,13,6,3,8,2,5,8,NA,3,12,3,9,9,22,24,0
"229","Angelo Fulgini",493,6,5,2,3,1,5,10,NA,5,4,0,4,5,11,6,0
"230","Angelo Ogbonna",27,1,0,1,0,0,0,0,NA,0,2,0,2,0,1,1,0
"231","Ángelo Preciado",264,7,5,3,3,1,2,4,NA,2,2,0,2,6,13,4,0
"232","Angelo Stiller",241,11,7,1,8,2,4,5,NA,1,2,0,2,3,14,2,0
"233","Anis Ben Slimane",148,3,1,2,1,0,0,0,NA,0,2,0,2,1,4,1,0
"234","Ansgar Knauff",848,21,14,14,6,1,6,14,NA,8,14,2,12,14,35,16,0
"235","Ansu Fati",713,6,6,2,2,2,3,7,NA,4,8,0,8,3,9,3,0
"236","Ante Budimir",554,2,1,0,2,0,0,3,NA,3,3,0,3,2,4,5,0
"237","Ante Palaversa",10,1,1,1,0,0,0,0,NA,0,0,0,0,1,2,0,0
"238","Ante Rebić",598,9,4,2,4,3,2,8,NA,6,4,0,4,1,10,1,0
"239","Anthony Caci",620,19,10,10,9,0,10,12,NA,2,3,1,2,22,41,10,0
"240","Anthony Contreras",124,5,2,3,2,0,1,1,NA,0,0,0,0,1,6,0,0
"241","Anthony Elanga",369,2,0,0,2,0,1,2,NA,1,4,0,4,1,3,3,0
"242","Anthony Gordon",983,28,18,15,10,3,6,18,NA,12,17,0,17,2,30,10,0
"243","Anthony Jung",1142,25,17,10,10,5,18,25,NA,7,10,2,8,8,33,29,0
"244","Anthony Lopes",1016,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,5,0
"245","Anthony Losilla",1329,37,27,21,12,4,18,29,NA,11,16,5,11,21,58,26,0
"246","Anthony Lozano",756,1,1,0,1,0,0,2,NA,2,4,1,3,2,3,11,0
"247","Anthony Martial",201,0,0,0,0,0,0,1,NA,1,1,0,1,0,0,1,0
"248","Anthony Modeste",1036,4,4,2,0,2,2,7,NA,5,9,2,7,2,6,23,0
"249","Anthony Rouault",1342,25,19,19,6,0,14,28,NA,14,25,12,13,27,52,57,1
"250","Antoine Griezmann",1376,31,21,11,14,6,10,21,NA,11,18,3,15,12,43,7,0
"251","Antoine Mendy",12,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0
"252","Antoine Semenyo",1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"253","Anton Stach",1011,12,11,7,5,0,7,12,NA,5,15,1,14,20,32,10,0
"254","Antonee Robinson",1378,25,15,20,5,0,15,22,NA,7,25,7,18,14,39,44,1
"255","Antonín Barák",721,9,5,3,2,4,2,6,NA,4,4,1,3,2,11,7,0
"256","Antonin Bobichon",18,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
"257","Antonino Gallo",825,16,8,11,2,3,11,16,NA,5,11,2,9,7,23,24,0
"258","Antonio Adán",382,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,4,1
"259","Antonio Candreva",1008,6,2,6,0,0,4,17,NA,13,4,1,3,11,17,14,0
"260","Antonio Čolak",284,0,0,0,0,0,0,3,NA,3,0,0,0,1,1,2,0
"261","Antonio Marin",7,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"262","Antonio Nusa",41,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,2,0
"263","Antonio Raillo",1170,10,5,10,0,0,2,5,NA,3,11,7,4,15,25,65,0
"264","Antonio Rüdiger",1181,9,7,4,5,0,4,5,NA,1,11,6,5,8,17,35,0
"265","Antonio Sanabria",679,3,2,0,1,2,0,1,NA,1,2,1,1,3,6,3,0
"266","Antonio Sánchez",580,6,3,4,1,1,3,13,NA,10,7,0,7,8,14,3,0
"267","António Silva",537,9,6,8,1,0,5,8,350,3,9,3,6,11,20,25,0
"268","Antonios Papadopoulos",23,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0
"269","Antony",520,10,2,4,5,1,3,9,NA,6,8,0,8,3,13,1,0
"270","Anuar",210,4,4,0,1,3,0,0,NA,0,5,2,3,3,7,3,0
"271","Ao Tanaka",70,3,1,3,0,0,1,1,100,0,4,1,3,0,3,1,0
"272","Arber Zeneli",669,8,2,3,3,2,5,10,NA,5,5,0,5,1,9,1,0
"273","Ardian Ismajli",755,16,13,9,7,0,6,7,NA,1,23,15,8,12,28,45,0
"274","Arial Mendy",223,4,2,3,0,1,2,2,NA,0,2,0,2,4,8,4,0
"275","Aridane Hernández",144,1,1,1,0,0,0,1,NA,1,2,2,0,3,4,7,0
"276","Arijan Ademi",471,16,11,10,6,0,7,13,NA,6,5,3,2,3,19,3,0
"277","Aritz Elustondo",618,13,9,7,5,1,6,7,NA,1,6,5,1,9,22,18,1
"278","Arkadiusz Milik",1089,6,5,1,3,2,1,7,NA,6,6,0,6,1,7,8,0
"279","Arkadiusz Reca",754,17,9,7,6,4,5,9,NA,4,8,1,7,5,22,17,0
"280","Armand Lauriente",1014,13,10,3,7,3,5,9,NA,4,12,1,11,6,19,5,0
"281","Armando Broja",410,6,2,0,3,3,1,2,NA,1,11,2,9,1,7,1,0
"282","Armando Izzo",435,17,14,10,5,2,4,5,NA,1,5,1,4,10,27,17,0
"283","Armel Bella Kotchap",903,18,6,16,2,0,8,9,NA,1,16,5,11,26,44,54,0
"284","Arnau Martinez",811,17,10,13,2,2,11,20,NA,9,9,2,7,8,25,10,0
"285","Arnau Puigmal",241,2,1,0,1,1,1,2,NA,1,3,0,3,3,5,1,0
"286","Arnaud Kalimuendo",605,5,2,1,2,2,0,2,NA,2,9,1,8,1,6,2,0
"287","Arnaud Nordin",807,9,2,4,4,1,5,6,NA,1,7,0,7,4,13,2,0
"288","Arnaud Souquet",342,20,14,12,6,2,10,13,NA,3,7,3,4,4,24,4,0
"289","Arnaut Groeneveld",476,3,3,1,0,2,1,2,NA,1,0,0,0,0,3,1,1
"290","Arne Maier",528,9,5,4,4,1,3,5,NA,2,6,0,6,2,11,3,0
