"","Player","Min","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Vs_Dribbles","Att_Vs_Dribbles","Tkl_percent_Vs_Dribbles","Past_Vs_Dribbles","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"2391","Roland Sallai",376,4,4,1,3,0,2,6,NA,4,4,0,4,1,5,1,0
"2392","Rolando Mandragora",787,19,11,4,12,3,11,18,NA,7,6,1,5,8,27,12,0
"2393","Romain Del Castillo",514,17,12,6,7,4,5,10,NA,5,4,1,3,3,20,2,0
"2394","Romain Faivre",262,6,3,2,2,2,1,3,NA,2,2,0,2,0,6,0,0
"2395","Romain Hamouma",589,4,2,2,1,1,1,3,NA,2,2,0,2,1,5,0,0
"2396","Romain Perraud",851,25,14,9,12,4,13,18,NA,5,7,2,5,14,39,16,0
"2397","Romain Saïss",180,4,1,2,1,1,1,3,50,2,0,0,0,2,6,15,0
"2398","Roman Yaremchuk",51,1,1,0,0,1,0,0,NA,0,0,0,0,0,1,0,0
"2399","Romano Schmid",932,18,13,4,10,4,7,14,NA,7,17,3,14,5,23,9,0
"2400","Romario Ibarra",68,0,0,0,0,0,0,0,NA,0,1,0,1,1,1,2,0
"2401","Romelu Lukaku",266,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"2402","Roméo Lavia",557,11,7,6,5,0,4,10,NA,6,16,3,13,12,23,3,0
"2403","Rominigue Kouamé",1236,20,14,14,4,2,8,14,NA,6,16,5,11,26,46,15,0
"2404","Ronaël Pierre-Gabriel",635,24,18,11,11,2,14,16,NA,2,15,3,12,9,33,22,0
"2405","Ronald Araújo",600,9,7,5,4,0,2,3,NA,1,3,1,2,7,16,11,0
"2406","Rónald Matarrita",9,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2407","Ronaldo Vieira",506,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"2408","Rony Lopes",638,5,2,2,3,0,2,11,NA,9,2,0,2,1,6,1,0
"2409","Roony Bardghji",98,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"2410","Roozbeh Cheshmi",58,0,0,0,0,0,0,0,NA,0,1,1,0,2,2,3,0
"2411","Roque Mesa",862,18,7,13,5,0,8,23,NA,15,9,0,9,7,25,13,0
"2412","Ross Barkley",390,7,4,3,1,3,3,5,NA,2,2,0,2,3,10,3,0
"2413","Ruan",45,2,2,2,0,0,2,2,NA,0,2,1,1,2,4,2,0
"2414","Rubén",244,9,6,4,3,2,8,8,NA,0,3,1,2,7,16,3,0
"2415","Ruben Aguilar",327,9,3,5,1,3,3,9,NA,6,0,0,0,8,17,11,0
"2416","Rubén Alcaraz",513,14,9,8,6,0,5,13,NA,8,6,0,6,4,18,6,0
"2417","Rubén Blanco",270,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2418","Rúben Dias",1472,13,9,7,6,0,4,7,NA,3,15,4,11,16,29,41,0
"2419","Rubén García",425,7,1,5,1,1,3,8,NA,5,5,0,5,4,11,6,0
"2420","Ruben Loftus-Cheek",1141,18,8,6,11,1,7,16,NA,9,11,2,9,13,31,17,0
"2421","Rúben Neves",1404,42,19,18,15,9,17,38,NA,21,23,13,10,20,62,36,0
"2422","Rubén Peña",563,11,5,2,9,0,8,15,NA,7,6,3,3,8,19,14,0
"2423","Rubén Sobrino",799,11,5,3,5,3,2,4,NA,2,7,0,7,6,17,11,0
"2424","Ruben Vargas",628,7,2,3,2,2,2,6,NA,4,4,2,2,3,10,9,1
"2425","Rúben Vinagre",26,2,2,1,1,0,1,2,NA,1,0,0,0,0,2,1,0
"2426","Rubin Colwill",10,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"2427","Rui Patrício",1170,1,1,1,0,0,1,1,NA,0,0,0,0,2,3,1,2
"2428","Rui Silva",1080,2,1,2,0,0,2,2,NA,0,0,0,0,0,2,7,1
"2429","Ruslan Malinovskyi",522,14,8,5,6,3,6,15,NA,9,7,1,6,4,18,1,0
"2430","Ryan Christie",718,17,13,4,13,0,7,21,NA,14,8,2,6,8,25,9,0
"2431","Ryan Fraser",313,2,2,0,0,2,2,5,NA,3,3,1,2,0,2,3,0
"2432","Ryan Fredericks",451,1,1,1,0,0,0,2,NA,2,6,1,5,0,1,20,0
"2433","Ryan Gravenberch",435,12,8,3,7,2,6,9,NA,3,4,2,2,5,17,6,0
"2434","Ryan Jack",191,4,3,2,2,0,2,2,NA,0,1,1,0,1,5,1,1
"2435","Ryan Kent",507,6,3,3,1,2,1,3,NA,2,4,0,4,1,7,0,0
"2436","Ryan Sessegnon",817,23,16,11,10,2,7,14,NA,7,9,1,8,7,30,21,2
"2437","Ryan Yates",1033,22,12,8,11,3,10,15,NA,5,18,8,10,5,27,29,0
"2438","Saad Al Sheeb",90,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2439","Sacha Delaye",20,1,0,0,0,1,1,1,NA,0,0,0,0,0,1,0,0
"2440","Sada Thioub",421,10,5,5,4,1,4,8,NA,4,5,0,5,2,12,3,0
"2441","Sadegh Moharrami",498,10,4,6,2,2,3,8,NA,5,5,1,4,1,11,5,0
"2442","Sadio Mané",1399,15,9,3,5,7,4,9,NA,5,20,3,17,4,19,4,0
"2443","Saeid Ezatolahi",217,6,1,1,3,2,2,6,133.3,4,3,0,3,2,8,4,0
"2444","Sael Kumbedi",17,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2445","Saïd Benrahma",751,8,3,5,1,2,2,4,NA,2,9,1,8,3,11,4,0
"2446","Saidy Janko",263,4,3,4,0,0,3,5,NA,2,5,1,4,2,6,9,0
"2447","Saîf-Eddine Khaoui",740,15,8,5,9,1,3,11,NA,8,7,0,7,11,26,2,0
"2448","Saleh Al-Shehri",223,3,1,0,1,2,0,1,NA,1,3,1,2,0,3,2,0
"2449","Salem Al-Dawsari",270,5,4,3,2,0,1,2,NA,1,1,0,1,1,6,2,0
"2450","Salih Özcan",1273,18,9,6,10,2,12,32,NA,20,16,1,15,24,42,11,1
"2451","Salis Abdul Samed",1528,23,11,8,13,2,14,23,NA,9,18,5,13,19,42,19,0
"2452","Salman Al-Faraj",44,1,0,0,1,0,0,1,0,1,2,0,2,0,1,0,0
"2453","Salomón Rondón",109,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0
"2454","Salvatore Molina",229,6,5,2,4,0,4,5,NA,1,4,2,2,1,7,2,0
"2455","Salvi",264,7,5,2,3,2,1,3,NA,2,0,0,0,2,9,0,0
"2456","Sam Adekugbe",36,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
"2457","Sam Greenwood",188,6,3,2,4,0,2,8,NA,6,4,1,3,1,7,1,0
"2458","Sam Lammers",767,16,9,5,7,4,6,9,NA,3,4,1,3,2,18,7,0
